Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	22	0.5020785096449469	0.04369428235447906	1.0
AC008738.1	0	1.0	-10.0	1.0
ACVR1	6	0.7155128230320162	-0.2478960193968267	1.0
AGO2	13	0.2563258533430946	0.43226769942333454	1.0
AKT1	6	0.9592227058942568	-0.9694985532931275	1.0
AKT2	5	0.8571869275352011	-0.6122399149740116	1.0
AKT3	22	0.14395764340204156	0.4884595954995952	1.0
ALB	5	0.1503697474970409	1.3012206135161195	1.0
ALK	62	0.40070623166536157	0.0757424125322032	1.0
ALOX12B	5	0.730027131800686	-0.2885170509882219	1.0
AMER1	76	0.0005091392559970317	0.7858454922497151	0.02606792990704802
ANKRD11	23	0.9904024366187735	-0.7476030251484628	1.0
APC	52	0.6791174066679428	-0.09611831804375477	1.0
APLNR	2	0.6563555901538993	-0.024227682485520805	1.0
AR	40	0.17442596759981782	0.30673209342077684	1.0
ARAF	15	0.8591688612825814	-0.40843171346483415	1.0
ARHGAP35	8	0.694333889203305	-0.1954706088577483	1.0
ARID1A	82	0.6122350093390079	-0.0446909894679871	1.0
ARID1B	43	0.3907501418651377	0.1017254463581977	1.0
ARID2	56	0.5715628162561035	-0.02534905440225367	1.0
ARID5B	17	0.37188897773074786	0.20796652546796737	1.0
ASXL1	29	0.2934286591069548	0.22397059505342756	1.0
ASXL2	23	0.6372185765525102	-0.0872656888836654	1.0
ATM	169	2.286813759045962e-16	1.4299132867144702	5.854243223157663e-14
ATR	47	0.3038419289208573	0.161186486285924	1.0
ATRX	82	0.005580733396462417	0.5706371692432372	0.16807855876404454
ATXN7	1	0.9753943427131021	-2.0277847829293187	1.0
AURKA	2	0.9005659023423961	-1.0266132887188746	1.0
AURKB	7	0.15632950103016408	0.9798552655583421	1.0
AXIN1	19	0.381598333192105	0.18198236202755513	1.0
AXIN2	19	0.381598333192105	0.18198236202755513	1.0
AXL	10	0.9277903675256688	-0.6632694670833976	1.0
B2M	10	0.5346224766766714	0.05021282009246676	1.0
BABAM1	8	0.2909612860466068	0.5192123082277912	1.0
BAP1	19	0.3059110405393781	0.27338593374453013	1.0
BARD1	25	0.24420523206991834	0.30329690645515733	1.0
BBC3	2	0.8112599866927684	-0.6103824932256885	1.0
BCL10	3	0.8263381377556838	-0.6110003616226796	1.0
BCL2	3	0.3269306241473137	0.9775405494677264	1.0
BCL2L1	4	0.5382470456013587	0.1689744068188579	1.0
BCL2L11	8	0.060939597206538736	1.396666519368836	0.9750335553046198
BCL6	12	0.5348108663598248	0.037573495382374256	1.0
BCOR	54	0.11270756929252614	0.334441377516771	1.0
BIRC3	8	0.7388923268340215	-0.274072620157442	1.0
BLM	16	0.2844277483748407	0.33584904800742776	1.0
BMPR1A	8	0.23325171634753192	0.6573133449458403	1.0
BRAF	38	0.9999999269506031	-1.2635005458911954	1.0
BRCA1	37	0.45997513839064114	0.057680018986023894	1.0
BRCA2	50	0.1418340492231701	0.3090659439503128	1.0
BRD4	20	0.38592912553917996	0.1710761456899965	1.0
BRIP1	18	0.9096520178228739	-0.4772063203652734	1.0
BTK	29	0.2650890458182925	0.2543250055891485	1.0
C1orf147	0	1.0	-10.0	1.0
CALR	6	0.6613934326349058	-0.1403825591827562	1.0
CARD11	46	0.16053525443768954	0.3000631944391777	1.0
CARM1	4	0.5382470456013587	0.1689744068188579	1.0
CASP8	6	0.9914668910022704	-1.3075258352805352	1.0
CBFB	2	0.8112599866927684	-0.6103824932256885	1.0
CBL	15	0.6926320811621679	-0.1638002674581623	1.0
CCND1	2	0.9912191257447202	-1.937688210975652	1.0
CCND2	9	0.11365072407263777	0.9810168966324272	1.0
CCND3	5	0.45955997785000524	0.2988350072827656	1.0
CCNE1	13	0.11106196104236707	0.7757011211996491	1.0
CD274	1	0.5605841714318265	0.9763874427780495	1.0
CD276	6	0.3935455657544902	0.3925227049410176	1.0
CD79A	2	0.9874298538377348	-1.8375540329395352	1.0
CD79B	7	0.703887908186141	-0.21816966339470667	1.0
CDC42	1	0.9152964481740107	-1.3479233034203069	1.0
CDC73	25	0.0062808164354353	1.111909930098267	0.17458301257148137
CDH1	7	0.9759134490775049	-1.0327290700416485	1.0
CDK12	17	0.9730398807077967	-0.7040722268747067	1.0
CDK4	3	0.900244466964753	-0.9017017573877217	1.0
CDK6	8	0.7388923268340215	-0.274072620157442	1.0
CDK8	6	0.8707711526533025	-0.6128616079095643	1.0
CDKN1A	3	0.8677883303649665	-0.763600720669673	1.0
CDKN1B	4	0.6178290286863608	-0.024267442607078984	1.0
CDKN2A	73	0.9983112290200273	-0.5685278384725325	1.0
CDKN2Ap14ARF	0	1.0	-10.0	1.0
CDKN2Ap16INK4A	1	0.5605841714318265	0.9763874427780495	1.0
CDKN2B	2	0.1135547022696498	10.0	1.0
CDKN2C	7	0.47087612589283884	0.19926135786141763	1.0
CEBPA	11	0.18801907491731548	0.6324640623634898	1.0
CENPA	6	0.2503200419615114	0.7562865742497706	1.0
CHEK1	5	0.9105128624065234	-0.7940099149734543	1.0
CHEK2	15	0.10732932244624928	0.7196876027343706	1.0
CIC	31	0.13451167687117474	0.41555273004381144	1.0
CREBBP	39	0.9310768276193364	-0.38190614100894804	1.0
CRKL	1	0.9152964481740107	-1.3479233034203069	1.0
CRLF2	9	0.5346491850061472	0.05869399425902319	1.0
CSDE1	12	0.7440532344940408	-0.2492257126747182	1.0
CSF1R	32	0.08970846903840926	0.49487232615999716	1.0
CSF3R	11	0.9841317152745468	-0.9339804353373543	1.0
CTCF	17	0.45436884481587464	0.1105464543633806	1.0
CTLA4	5	0.9455069460440715	-0.955673336750326	1.0
CTNNB1	23	0.9961443768689576	-0.8437852635895675	1.0
CTR9	4	0.7487824961657498	-0.34738982153688847	1.0
CUL3	29	0.3837178163817119	0.13641798542072586	1.0
CXCR4	11	0.5346838137822405	0.04330680675099294	1.0
CYLD	11	0.9050675623352934	-0.5709922696429335	1.0
CYP19A1	3	0.8263381377556838	-0.6110003616226796	1.0
CYSLTR2	15	0.06363893018777968	0.8908108559406568	0.9873676441255513
DAXX	7	0.9384961905449181	-0.807931154123917	1.0
DCUN1D1	3	0.4379717339923594	0.5619072644934906	1.0
DDR2	23	0.9776243378701359	-0.6450010485497648	1.0
DICER1	27	0.9485819651692421	-0.4915212317125446	1.0
DIS3	37	0.015780463451383935	0.7433719780638817	0.35027309638169646
DNAJB1	3	0.8677883303649665	-0.763600720669673	1.0
DNMT1	14	0.6971516437817575	-0.17311636200598118	1.0
DNMT3A	28	0.4443465464487394	0.084594157993136	1.0
DNMT3B	27	0.0034018450514493636	1.163330497772644	0.10885904164637963
DOT1L	42	0.4667865771183378	0.04780383743002298	1.0
DROSHA	30	0.35638741133719715	0.1584375084152465	1.0
DUSP4	5	0.37908307943135366	0.4920768567087024	1.0
E2F3	9	0.362758603965038	0.34059817229458256	1.0
EED	6	0.6012300726110953	-0.024307333447153728	1.0
EGFL7	5	0.1503697474970409	1.3012206135161195	1.0
EGFR	26	1.0	-4.275926462153616	1.0
EIF1AX	7	0.8263373520701581	-0.4678949279006864	1.0
EIF4A2	12	0.4863929635330312	0.10230433022632202	1.0
EIF4E	4	0.4509516121669638	0.39196335288610706	1.0
ELF3	16	0.3664011125788093	0.22361498853702658	1.0
EP300	35	0.8662701240920717	-0.29653737951056675	1.0
EPAS1	9	0.7683404623284346	-0.31627352675777043	1.0
EPCAM	5	0.6728673730784097	-0.16238840836509275	1.0
EPHA3	75	0.35981987524430487	0.09106776799761503	1.0
EPHA5	95	0.010356114504911987	0.4794100198422286	0.26511653132574686
EPHA7	41	0.7717205641150806	-0.18082231033542595	1.0
EPHB1	43	0.8616816467937879	-0.2662982328404739	1.0
ERBB2	6	1.0	-3.4864462057234853	1.0
ERBB3	14	0.8439498633101814	-0.3918613515485882	1.0
ERBB4	53	0.8893968903728198	-0.27501682851635395	1.0
ERCC2	19	0.1730628939161266	0.47510324843865853	1.0
ERCC3	13	0.48852767244088025	0.09223147320010375	1.0
ERCC4	13	0.7376422420116	-0.2333063692941324	1.0
ERCC5	21	0.38996772976428795	0.16127719494166468	1.0
ERF	7	0.5351148550416479	0.08318613212581519	1.0
ERG	13	0.30044328606750853	0.3576673694608854	1.0
ERRFI1	10	0.17207408866370047	0.7173691058545709	1.0
ESR1	13	0.934397002980899	-0.6172496054761767	1.0
ETAA1	3	0.4379717339923594	0.5619072644934906	1.0
ETV1	20	0.10629541052745353	0.6053419839191944	1.0
ETV6	12	0.8341601056443649	-0.3978738577096202	1.0
EZH1	10	0.5857883679078034	-0.024387509869982428	1.0
EZH2	6	0.8960258456318012	-0.6914636192092579	1.0
FAM175A	6	0.2503200419615114	0.7562865742497706	1.0
FAM46C	1	0.9990948598168178	-3.032567862456431	1.0
FAM58A	4	0.876785000145588	-0.7276947266136691	1.0
FANCA	21	0.828370528526965	-0.31017768302377957	1.0
FANCC	9	0.2510654520807733	0.5641868582442557	1.0
FAT1	100	0.3414313925656852	0.08740404569877529	1.0
FBXW7	18	0.9586974427059706	-0.6204231517322916	1.0
FGF19	10	0.26613016514352983	0.49378041990489774	1.0
FGF3	12	0.7772086818042823	-0.30045378660503347	1.0
FGF4	10	0.7212221330404625	-0.2278221139914031	1.0
FGFR1	11	0.920713624470968	-0.6159893963417805	1.0
FGFR2	13	0.44118465671200735	0.15423276533946484	1.0
FGFR3	10	0.793492909415853	-0.349318092918868	1.0
FGFR4	26	0.4068005179394841	0.12417390545408913	1.0
FH	14	0.8439498633101814	-0.3918613515485882	1.0
FLCN	13	0.21477093567405744	0.5108697107230281	1.0
FLT1	65	0.001246541470189578	0.7824467387170486	0.05802083933973308
FLT3	30	0.09523267454825422	0.5007154818439528	1.0
FLT4	44	0.22904515823327384	0.23350407691571312	1.0
FOXA1	11	0.3802741647250689	0.2674984738507522	1.0
FOXF1	4	0.6881708290580743	-0.19478946248989512	1.0
FOXL2	10	0.9985055212044627	-1.3043169064187459	1.0
FOXO1	11	0.5346838137822405	0.04330680675099294	1.0
FOXP1	16	0.2844277483748407	0.33584904800742776	1.0
FUBP1	16	0.4514920388869548	0.11931774494748529	1.0
FYN	11	0.43229069421440713	0.1888964625510588	1.0
GAB1	3	0.7742108604883529	-0.44047834173986333	1.0
GAB2	2	0.6563555901538993	-0.024227682485520805	1.0
GATA1	14	0.7639103506607803	-0.2645199337229564	1.0
GATA2	14	0.8439498633101814	-0.3918613515485882	1.0
GATA3	26	0.22177546110070054	0.3248462732301486	1.0
GLI1	48	0.0018938046383025573	0.8863478239883906	0.07458676729314687
GNA11	4	0.7487824961657498	-0.34738982153688847	1.0
GNAQ	2	0.8112599866927684	-0.6103824932256885	1.0
GNAS	22	0.2565189052586813	0.310960354866113	1.0
GNB1	0	1.0	-10.0	1.0
GPS2	7	0.15632950103016408	0.9798552655583421	1.0
GREM1	4	0.5382470456013587	0.1689744068188579	1.0
GRIN2A	74	0.5356116137060218	-0.004850834992242071	1.0
GSK3B	8	0.645200134065718	-0.11240919838057024	1.0
GTF2I	0	1.0	-10.0	1.0
H3F3A	1	0.7087788422809944	-0.0242078512435549	1.0
H3F3B	2	0.8112599866927684	-0.6103824932256885	1.0
H3F3C	13	0.14169915150669088	0.6819929639293141	1.0
HGF	68	0.13510944736625444	0.2695432302872832	1.0
HIST1H1C	12	0.9279060329681403	-0.616618847252227	1.0
HIST1H2BD	3	0.900244466964753	-0.9017017573877217	1.0
