Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
ABL1	22	0.5077611385207944	0.03823526580611479	1.0	1.0
AC008738.1	0	1.0	-10.0	1.0	1.0
ACVR1	6	0.7181746765933987	-0.25329151929371885	1.0	1.0
AGO2	13	0.25961620664866697	0.42686096589639105	1.0	1.0
AKT1	6	0.960018107612178	-0.9749143074602628	1.0	1.0
AKT2	5	0.8589253695383583	-0.6176376578609193	1.0	1.0
AKT3	22	0.14695709319491457	0.4830257094489671	1.0	1.0
ALB	5	0.15167810232671525	1.2958474414172678	1.0	1.0
ALK	62	0.4100570877783229	0.07010810058982554	1.0	1.0
ALOX12B	5	0.7324168786272538	-0.2939080704927877	1.0	1.0
AMER1	76	0.0005533907595890607	0.7802764287750463	0.028333606890959907	0.028333606890959907
ANKRD11	23	0.9908353756572593	-0.7531388474888121	1.0	1.0
APC	52	0.6872267231394504	-0.10173556735000867	1.0	1.0
APLNR	2	0.6579782938522515	-0.02960085458437254	1.0	1.0
AR	40	0.1791963644513142	0.3012221120284987	1.0	1.0
ARAF	15	0.8620205560388566	-0.4138838532176276	1.0	1.0
ARHGAP35	8	0.6974753517207137	-0.20087509191802164	1.0	1.0
ARID1A	82	0.6231683183199229	-0.05045025875667213	1.0	1.0
ARID1B	43	0.3983864570220524	0.09618016711251458	1.0	1.0
ARID2	56	0.5807018222038484	-0.030973603596131816	1.0	1.0
ARID5B	17	0.3764842682132351	0.20253718376095828	1.0	1.0
ASXL1	29	0.29890420572302306	0.21849546498727668	1.0	1.0
ASXL2	23	0.6428102740977419	-0.0927385111971504	1.0	1.0
ATM	169	2.9885008909327085e-16	1.4242321350423013	7.650562280787734e-14	7.650562280787734e-14
ATR	47	0.31106021482289836	0.15563171776890822	1.0	1.0
ATRX	82	0.005999893342844485	0.5650150554524477	0.18070267009037508	0.18070267009037508
ATXN7	1	0.9756714246210252	-2.0331668639351994	1.0	1.0
AURKA	2	0.9015026880879251	-1.0319953697247553	1.0	1.0
AURKB	7	0.15798193937782018	0.974475414547689	1.0	1.0
AXIN1	19	0.38652089209494433	0.17654392401972108	1.0	1.0
AXIN2	19	0.38652089209494433	0.17654392401972108	1.0	1.0
AXL	10	0.9292988655888996	-0.6687033531340255	1.0	1.0
B2M	15	0.23984822175373516	0.42236799600839076	1.0	1.0
BABAM1	8	0.2936709160196273	0.5138235261301742	1.0	1.0
BAP1	19	0.38652089209494433	0.17654392401972108	1.0	1.0
