Gene	Degree	Degree_Centrality	Betweenness_Centrality	Eigenvector_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	15	1.0	0.8937	0.5942	1.0	0.0667
STK11	6	0.4	0.0365	0.3984	0.625	0.4667
RBM10	4	0.2667	0.0032	0.3258	0.5769	0.8333
ATM	3	0.2	0.0	0.2775	0.5556	1.0
U2AF1	3	0.2	0.0	0.2775	0.5556	1.0
DNMT3B	2	0.1333	0.0	0.2089	0.5357	1.0
NKX2-1	2	0.1333	0.0	0.2089	0.5357	1.0
BCL2L11	1	0.0667	0.0	0.1251	0.5172	0.0
CDC73	1	0.0667	0.0	0.1251	0.5172	0.0
HIST1H3E	1	0.0667	0.0	0.1251	0.5172	0.0
IDH1	1	0.0667	0.0	0.1251	0.5172	0.0
IL10	1	0.0667	0.0	0.1251	0.5172	0.0
MAX	1	0.0667	0.0	0.1251	0.5172	0.0
NUF2	1	0.0667	0.0	0.1251	0.5172	0.0
SDHB	1	0.0667	0.0	0.1251	0.5172	0.0
SMARCA2	1	0.0667	0.0	0.1251	0.5172	0.0
