MIN_COOCCURRENCE	LOG2OR_THRESH	Num_Nodes	Num_Edges	Num_Clusters	Network_Density
5	1.0	454	9765	5	0.095
5	1.5	433	6364	6	0.068
5	2.0	420	3034	9	0.0345
5	2.5	385	1156	12	0.0156
5	3.0	301	378	24	0.0084
5	4.0	40	23	17	0.0295
5	5.0	9	6	3	0.1667
10	1.0	341	2932	4	0.0506
10	1.5	279	1663	5	0.0429
10	2.0	224	562	10	0.0225
10	2.5	127	123	21	0.0154
10	3.0	41	26	15	0.0317
10	4.0	3	2	1	0.6667
10	5.0	3	2	1	0.6667
15	1.0	279	1275	3	0.0329
15	1.5	197	653	6	0.0338
15	2.0	109	171	8	0.0291
15	2.5	46	32	14	0.0309
15	3.0	10	7	3	0.1556
15	4.0	2	1	1	1.0
15	5.0	2	1	1	1.0
20	1.0	232	677	4	0.0253
20	1.5	151	322	7	0.0284
20	2.0	66	81	8	0.0378
20	2.5	22	14	8	0.0606
20	3.0	5	3	2	0.3
20	4.0	0	0	0	0.0
20	5.0	0	0	0	0.0
25	1.0	188	398	4	0.0226
25	1.5	110	179	5	0.0299
25	2.0	40	38	5	0.0487
25	2.5	9	6	3	0.1667
25	3.0	2	1	1	1.0
25	4.0	0	0	0	0.0
25	5.0	0	0	0	0.0
30	1.0	153	260	3	0.0224
30	1.5	79	102	4	0.0331
30	2.0	28	27	3	0.0714
30	2.5	8	5	3	0.1786
30	3.0	2	1	1	1.0
30	4.0	0	0	0	0.0
30	5.0	0	0	0	0.0
40	1.0	104	129	3	0.0241
40	1.5	46	47	3	0.0454
40	2.0	15	12	3	0.1143
40	2.5	5	3	2	0.3
40	3.0	2	1	1	1.0
40	4.0	0	0	0	0.0
40	5.0	0	0	0	0.0
50	1.0	78	87	3	0.029
50	1.5	30	28	3	0.0644
50	2.0	10	7	3	0.1556
50	2.5	4	2	2	0.3333
50	3.0	2	1	1	1.0
50	4.0	0	0	0	0.0
50	5.0	0	0	0	0.0
