Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Value_FDR	FDR
ABL1	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
AC008738.1	1	0.8723536737235368	10.0	1.0	1.0
ACVR1	3	0.6636803261918875	10.0	1.0	1.0
AGO2	6	0.4401093281997268	10.0	1.0	1.0
AKT1	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
AKT2	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
AKT3	9	0.6285059592911699	0.39940684756507955	1.0	1.0
ALK	11	0.9080293168384732	-0.9081885669429342	1.0	1.0
ALOX12B	4	0.5788054248385894	10.0	1.0	1.0
AMER1	11	0.9080293168384732	-0.9081885669429342	1.0	1.0
ANKRD11	15	0.8112689072514627	-0.45657196449805654	1.0	1.0
APC	17	0.8810115400493204	-0.6961136952074566	1.0	1.0
APLNR	3	0.9831532694880097	-2.198850227469104	1.0	1.0
AR	11	0.7752246516103688	-0.31610163178839623	1.0	1.0
ARAF	3	0.9831532694880097	-2.198850227469104	1.0	1.0
ARHGAP35	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
ARID1A	109	0.37804768064751304	0.20286787606114592	1.0	1.0
ARID1B	18	0.5200397229339151	0.4016754774769945	1.0	1.0
ARID2	22	0.8805989665182202	-0.6480470279893208	1.0	1.0
ARID5B	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
ASXL1	1	0.9997412544008593	-4.37796212980169	1.0	1.0
ASXL2	9	0.843814961894652	-0.6076825772212398	1.0	1.0
ATM	44	0.9605341603766455	-0.8062921632317264	1.0	1.0
ATR	7	0.7280847107381054	0.034765418160676624	1.0	1.0
ATRX	6	1.0	-4.87685422185371	1.0	1.0
ATXN7	4	0.8750728707609635	-0.7756909634379676	1.0	1.0
AURKA	4	0.5788054248385894	10.0	1.0	1.0
AXIN1	5	0.9999994091291642	-3.680370288649394	1.0	1.0
AXIN2	13	0.4496658797972727	0.9340732075343269	1.0	1.0
AXL	6	0.7784433742532664	-0.1886615640238981	1.0	1.0
B2M	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
BABAM1	1	0.8723536737235368	10.0	1.0	1.0
BAP1	4	0.9933971107771034	-2.3748673233788247	1.0	1.0
BARD1	3	0.9831532694880097	-2.198850227469104	1.0	1.0
BBC3	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
BCL10	1	0.8723536737235368	10.0	1.0	1.0
BCL2	1	0.8723536737235368	10.0	1.0	1.0
BCL2L1	0	1.0	-10.0	1.0	1.0
BCL2L11	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
BCL6	4	0.5788054248385894	10.0	1.0	1.0
BCOR	26	0.9775964581667376	-1.102724365701916	1.0	1.0
BIRC3	2	0.9554340078273491	-1.7777549051932577	1.0	1.0
BLM	6	0.9295193647987494	-1.1957509888102174	1.0	1.0
BMPR1A	4	0.5788054248385894	10.0	1.0	1.0
BRAF	6	0.9999999999992311	-4.393960895568096	1.0	1.0
BRCA1	9	0.6285059592911699	0.39940684756507955	1.0	1.0
BRCA2	27	0.7840758085179047	-0.34735069176726935	1.0	1.0
BRD4	5	0.9514881513895324	-1.4598192141371136	1.0	1.0
BRIP1	5	0.8278847391493424	-0.45272978935079433	1.0	1.0
BTK	8	0.3345254076364267	10.0	1.0	1.0
CALR	4	0.5788054248385894	10.0	1.0	1.0
CARD11	6	0.9952624454494207	-2.210035214816465	1.0	1.0
CARM1	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
CASP8	7	0.7280847107381054	0.034765418160676624	1.0	1.0
CBL	4	0.8750728707609635	-0.7756909634379676	1.0	1.0
CCND1	2	0.760931553403708	10.0	1.0	1.0
CCND2	6	0.4401093281997268	10.0	1.0	1.0
CCND3	2	0.760931553403708	10.0	1.0	1.0
CCNE1	2	0.9925629854029163	-2.784844329979577	1.0	1.0
CD274	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
CD276	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
CD79A	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
CD79B	1	0.9979466871513736	-3.7858751946471525	1.0	1.0
CDC42	1	0.8723536737235368	10.0	1.0	1.0
CDC73	4	0.5788054248385894	10.0	1.0	1.0
CDH1	4	0.5788054248385894	10.0	1.0	1.0
CDK12	7	0.9922052420270915	-1.9866082326318903	1.0	1.0
CDK4	1	0.8723536737235368	10.0	1.0	1.0
CDK6	1	0.8723536737235368	10.0	1.0	1.0
CDK8	2	0.9925629854029163	-2.784844329979577	1.0	1.0
CDKN1A	4	0.9694491339842056	-1.782780388224287	1.0	1.0
CDKN1B	1	0.9837757940433655	-2.7787857698608334	1.0	1.0
CDKN2A	345	2.6382945183874496e-07	1.5955117979360278	6.0944603374750084e-05	6.0944603374750084e-05
CDKN2Ap16INK4A	3	0.6636803261918875	10.0	1.0	1.0
CDKN2B	3	0.918305030251782	-1.1917608026827846	1.0	1.0
CEBPA	3	0.6636803261918875	10.0	1.0	1.0
CENPA	3	0.6636803261918875	10.0	1.0	1.0
CHEK1	2	0.760931553403708	10.0	1.0	1.0
CHEK2	2	0.760931553403708	10.0	1.0	1.0
