MIN_COOCCURRENCE	LOG2OR_THRESH	Num_Nodes	Num_Edges	Num_Clusters	Network_Density
5	1.0	108	157	4	0.0272
5	1.5	96	119	5	0.0261
5	2.0	88	91	10	0.0238
5	2.5	78	79	8	0.0263
5	3.0	64	67	5	0.0332
5	4.0	59	62	5	0.0362
5	5.0	53	56	4	0.0406
10	1.0	33	37	4	0.0701
10	1.5	24	25	4	0.0906
10	2.0	19	19	2	0.1111
10	2.5	16	15	2	0.125
10	3.0	14	13	2	0.1429
10	4.0	14	12	3	0.1319
10	5.0	14	11	3	0.1209
15	1.0	16	18	2	0.15
15	1.5	12	12	2	0.1818
15	2.0	10	9	2	0.2
15	2.5	8	6	2	0.2143
15	3.0	6	4	2	0.2667
15	4.0	5	3	2	0.3
15	5.0	5	3	2	0.3
20	1.0	10	12	1	0.2667
20	1.5	8	9	1	0.3214
20	2.0	6	6	1	0.4
20	2.5	4	3	1	0.5
20	3.0	3	2	1	0.6667
20	4.0	2	1	1	1.0
20	5.0	2	1	1	1.0
25	1.0	9	11	1	0.3056
25	1.5	7	8	1	0.381
25	2.0	5	5	1	0.5
25	2.5	3	2	1	0.6667
25	3.0	2	1	1	1.0
25	4.0	0	0	0	0.0
25	5.0	0	0	0	0.0
30	1.0	9	9	1	0.25
30	1.5	7	7	1	0.3333
30	2.0	5	4	1	0.4
30	2.5	2	1	1	1.0
30	3.0	2	1	1	1.0
30	4.0	0	0	0	0.0
30	5.0	0	0	0	0.0
40	1.0	7	7	1	0.3333
40	1.5	5	5	1	0.5
40	2.0	3	2	1	0.6667
40	2.5	2	1	1	1.0
40	3.0	2	1	1	1.0
40	4.0	0	0	0	0.0
40	5.0	0	0	0	0.0
50	1.0	6	6	1	0.4
50	1.5	5	5	1	0.5
50	2.0	3	2	1	0.6667
50	2.5	2	1	1	1.0
50	3.0	2	1	1	1.0
50	4.0	0	0	0	0.0
50	5.0	0	0	0	0.0
