Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	FLT1	1.0	0.1534	1.0
0	BRCA2	0.8667	0.0578	0.8824
0	LATS2	0.8667	0.0578	0.8824
0	CDK8	0.8	0.0182	0.8333
0	DIS3	0.8	0.0182	0.8333
0	ERCC5	0.8	0.0182	0.8333
0	FLT3	0.8	0.0512	0.8333
0	RB1	0.8	0.0182	0.8333
0	CYSLTR2	0.7333	0.0036	0.7895
0	IRS2	0.7333	0.0036	0.7895
0	FOXO1	0.6667	0.0	0.75
0	KLF5	0.5333	0.0	0.6818
0	CSF3R	0.3333	0.0	0.6
0	EGFR	0.3333	0.0	0.6
0	SERPINB3	0.2	0.0	0.5556
0	ARHGAP35	0.1333	0.0	0.5357
1	MYC	0.6429	0.3234	0.6667
1	AGO2	0.5714	0.158	0.6364
1	PREX2	0.5	0.129	0.6364
1	RAD21	0.5	0.1781	0.6667
1	SOX17	0.5	0.113	0.6364
1	NBN	0.3571	0.0011	0.56
1	PRDM14	0.3571	0.0011	0.56
1	RECQL4	0.3571	0.0133	0.56
1	LYN	0.3214	0.0	0.549
1	TCEB1	0.3214	0.0	0.549
1	ELOC	0.25	0.0	0.5283
1	DROSHA	0.2143	0.0154	0.5185
1	DNMT1	0.1786	0.1462	0.4667
1	NOTCH1	0.1786	0.1392	0.459
1	ABL1	0.1071	0.0	0.4516
1	BRD4	0.1071	0.004	0.4375
1	EIF4A2	0.1071	0.0157	0.4746
1	FOXA1	0.1071	0.0	0.4242
1	MAP2K1	0.1071	0.0078	0.4444
1	SMARCA4	0.1071	0.0031	0.4118
1	DNAJB1	0.0714	0.0	0.4118
1	EGFL7	0.0714	0.0	0.3218
1	MAP2K2	0.0714	0.0135	0.4444
1	TRAF2	0.0714	0.0	0.3218
1	BCL10	0.0357	0.0	0.3944
1	CXCR4	0.0357	0.0	0.4058
1	IDH2	0.0357	0.0	0.4058
1	KEAP1	0.0357	0.0	0.3218
1	TP63	0.0357	0.0	0.3218
2	DNMT3B	0.6429	0.1343	0.7119
2	PTPRT	0.6429	0.1862	0.7
2	TOP1	0.619	0.1291	0.7
2	NCOA3	0.5952	0.105	0.6667
2	NKX3-1	0.4524	0.0499	0.6176
2	ASXL1	0.4286	0.0248	0.5915
2	AURKA	0.4286	0.0107	0.6
2	BCL2L1	0.4286	0.0167	0.5833
2	DUSP4	0.4286	0.0797	0.6087
2	SRC	0.4048	0.006	0.5753
2	FGFR1	0.3571	0.1264	0.5915
2	GNAS	0.3571	0.003	0.5455
2	PAK7	0.3571	0.0088	0.5676
2	RTEL1	0.3571	0.0022	0.56
2	TP53	0.3333	0.0965	0.5753
2	PLK2	0.2857	0.0	0.5185
2	CRLF2	0.2381	0.0	0.5
2	MALT1	0.2143	0.0465	0.4941
2	RET	0.2143	0.0032	0.4941
2	WHSC1L1	0.2143	0.0033	0.525
2	VTCN1	0.1905	0.0	0.4884
2	PALB2	0.1667	0.0084	0.5
2	NUF2	0.119	0.0004	0.4719
2	ZRSR2	0.119	0.0476	0.4719
2	CUL3	0.0952	0.0	0.4667
2	PMAIP1	0.0952	0.0078	0.4038
2	TERT	0.0952	0.0476	0.4516
2	USP8	0.0952	0.0	0.4667
2	GSK3B	0.0714	0.0	0.4375
2	PIK3R2	0.0714	0.0	0.4286
2	BCL2	0.0476	0.0	0.336
2	IL10	0.0476	0.0	0.4286
2	PIK3R3	0.0476	0.0	0.433
