Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	99	1179	1	0.243	23.82	0.144	0.701	5	3.33
1	95	1749	1	0.392	36.82	0.32	0.738	3	3.42
2	71	145	1	0.058	4.08	0.009	0.204	6	11.12
3	34	164	1	0.292	9.65	0.091	0.694	4	17.73
4	27	86	1	0.245	6.37	0.107	0.6	4	7.1
5	20	89	1	0.468	8.9	0.122	0.723	3	9.16
6	8	9	1	0.321	2.25	0.076	0.316	3	8.44
7	5	10	1	1.0	4.0	0.582	1.0	1	12.0
8	4	6	1	1.0	3.0	0.873	1.0	1	10.5
9	2	1	1	1.0	1.0	0.0	0.0	1	6.0
10	2	1	1	1.0	1.0	0.0	0.0	1	5.0
