Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of protein kinase B signaling (GO:0051898)	2/40	2.334065334170721e-05	0.0042676857394803	0	0	525.2105263157895	5601.535147297049	FLCN;PTEN
GO_Biological_Process_2021	negative regulation of ERK1 and ERK2 cascade (GO:0070373)	2/50	3.66324956178569e-05	0.0042676857394803	0	0	415.5833333333333	4245.007066016978	FLCN;PTEN
GO_Biological_Process_2021	negative regulation of MAPK cascade (GO:0043409)	2/94	0.00013032854218989194	0.0089375498834821	0	0	216.34782608695653	1935.3291039529583	FLCN;PTEN
GO_Biological_Process_2021	cell junction assembly (GO:0034329)	2/102	0.0001535036034265559	0.0089375498834821	0	0	198.96	1747.2242452474318	FLCN;PTEN
GO_Biological_Process_2021	negative regulation of cell motility (GO:2000146)	2/114	0.00019179291595455188	0.0089375498834821	0	0	177.53571428571428	1519.5449256468326	FLCN;PTEN
GO_Biological_Process_2021	negative regulation of cell migration (GO:0030336)	2/144	0.00030596902992034974	0.0118817973285735	0	0	139.81690140845072	1131.4020951900786	FLCN;PTEN
KEGG_2021_Human	mTOR signaling pathway	2/154	0.0003498651799126191	0.0097962250375533	0	0	130.55263157894737	1038.932969612003	FLCN;PTEN
GO_Biological_Process_2021	negative regulation of intracellular signal transduction (GO:1902532)	2/198	0.0005774853732252264	0.0120168737649607	0	0	101.0204081632653	753.291751959309	FLCN;PTEN
GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	2/207	0.0006309359397081324	0.0120168737649607	0	0	96.54146341463417	711.3470656009248	FLCN;PTEN
GO_Biological_Process_2021	negative regulation of multicellular organismal process (GO:0051241)	2/214	0.0006741202012763989	0.0120168737649607	0	0	93.32075471698111	681.4376811182983	FLCN;PTEN
GO_Biological_Process_2021	regulation of ERK1 and ERK2 cascade (GO:0070372)	2/238	0.0008328568634324932	0.0120168737649607	0	0	83.72881355932203	593.6916083066342	FLCN;PTEN
GO_Biological_Process_2021	meiotic mismatch repair (GO:0000710)	1/5	0.000999677239285086	0.0120168737649607	0	0	1666.0	11508.858100931304	MSH3
Reactome_2022	Diseases Of Mismatch Repair (MMR) R-HSA-5423599	1/5	0.000999677239285086	0.0269712248285866	0	0	1666.0	11508.858100931304	MSH3
GO_Biological_Process_2021	negative regulation of organ growth (GO:0046621)	1/5	0.000999677239285086	0.0120168737649607	0	0	1666.0	11508.858100931304	PTEN
GO_Biological_Process_2021	negative regulation of organelle organization (GO:0010639)	1/5	0.000999677239285086	0.0120168737649607	0	0	1666.0	11508.858100931304	FLCN
GO_Biological_Process_2021	negative regulation of histone deacetylation (GO:0031064)	1/5	0.000999677239285086	0.0120168737649607	0	0	1666.0	11508.858100931304	KDM5A
GO_Biological_Process_2021	regulation of protein phosphorylation (GO:0001932)	2/266	0.0010388586896426	0.0120168737649607	0	0	74.74242424242425	513.4529928508706	FLCN;PTEN
GO_Biological_Process_2021	maintenance of DNA repeat elements (GO:0043570)	1/6	0.0011995241237685	0.0120168737649607	0	0	1332.7333333333331	8963.738320936684	MSH3
GO_Biological_Process_2021	negative regulation of cell size (GO:0045792)	1/6	0.0011995241237685	0.0120168737649607	0	0	1332.7333333333331	8963.738320936684	PTEN
GO_Biological_Process_2021	regulation of pro-B cell differentiation (GO:2000973)	1/6	0.0011995241237685	0.0120168737649607	0	0	1332.7333333333331	8963.738320936684	FLCN
GO_Biological_Process_2021	prepulse inhibition (GO:0060134)	1/6	0.0011995241237685	0.0120168737649607	0	0	1332.7333333333331	8963.738320936684	PTEN
