Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Melanoma	4/72	1.0768511474954489e-07	5.491940852226788e-06	0	0	130.18954248366012	2088.768111376785	CDKN2A;FGF19;MET;FGF3
KEGG_2021_Human	Pathways in cancer	6/531	4.986130605738465e-07	1.2714633044633089e-05	0	0	31.77469387755102	461.096419837349	SMAD2;CDKN2A;FGF19;BRCA2;MET;FGF3
KEGG_2021_Human	Gastric cancer	4/149	2.0075953460239315e-06	3.412912088240684e-05	0	0	60.8183908045977	797.85049326947	SMAD2;FGF19;MET;FGF3
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	5/404	3.6945310459973553e-06	0.0011231374379831	0	0	30.682957393483708	383.8025875547	PTPRT;FLT1;FGF19;MET;FGF3
KEGG_2021_Human	Rap1 signaling pathway	4/210	7.84113736411945e-06	9.9974501392523e-05	0	0	42.67745415318231	501.72155664375856	FLT1;FGF19;MET;FGF3
KEGG_2021_Human	Ras signaling pathway	4/232	1.161941387499368e-05	0.00010690419886126284	0	0	38.51656920077973	437.6573531467586	FLT1;FGF19;MET;FGF3
KEGG_2021_Human	Calcium signaling pathway	4/240	1.3279968946639178e-05	0.00010690419886126284	0	0	37.195856873822976	417.6817153694309	FLT1;FGF19;MET;FGF3
KEGG_2021_Human	Pancreatic cancer	3/76	1.467312533389882e-05	0.00010690419886126284	0	0	81.83835616438355	910.8194076413552	SMAD2;CDKN2A;BRCA2
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	4/253	1.6343761095832106e-05	0.0024842516865664	0	0	35.23070058009817	388.3009554746096	FLT1;FGF19;MET;FGF3
Reactome_2022	PIP3 Activates AKT Signaling R-HSA-1257604	4/268	2.049414254099609e-05	0.0029283760083969	0	0	33.2037037037037	358.4463147434108	PREX2;FGF19;AGO2;FGF3
KEGG_2021_Human	MAPK signaling pathway	4/294	2.94613167385478e-05	0.0001878158942082422	0	0	30.186973180076627	314.9235586350809	FLT1;FGF19;MET;FGF3
Reactome_2022	Intracellular Signaling By Second Messengers R-HSA-9006925	4/306	3.4451482451729126e-05	0.0029283760083969	0	0	28.969830757910227	297.69277947346853	PREX2;FGF19;AGO2;FGF3
KEGG_2021_Human	PI3K-Akt signaling pathway	4/354	6.080344835873073e-05	0.0003445528740328075	0	0	24.935873015873018	242.07406531024048	FLT1;FGF19;MET;FGF3
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	2/20	7.361293042472065e-05	0.0046371325738186	0	0	201.7070707070707	1919.5836350009777	LATS2;CDKN2A
GO_Biological_Process_2021	negative regulation of cyclin-dependent protein kinase activity (GO:1904030)	2/22	8.943236467078837e-05	0.0046371325738186	0	0	181.51818181818183	1692.1175589643474	LATS2;CDKN2A
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	3/140	9.120169026860544e-05	0.0046371325738186	0	0	43.46715328467153	404.3504605380954	PTPRT;FLT1;MET
KEGG_2021_Human	Breast cancer	3/147	0.00010540881757809426	0.0005375849696482806	0	0	41.33958333333333	378.5740251092952	FGF19;BRCA2;FGF3
GO_Biological_Process_2021	regulation of cell migration (GO:0030334)	4/408	0.00010544064086358696	0.0046371325738186	0	0	21.543454345434544	197.28121898796343	PTPRT;FLT1;FGF19;FGF3
GO_Biological_Process_2021	regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	2/24	0.00010677607900240272	0.0046371325738186	0	0	165.0	1508.888144924087	SMAD2;LATS2
GO_Biological_Process_2021	positive regulation of protein kinase B signaling (GO:0051897)	3/161	0.00013800564627649116	0.0052442145585066	0	0	37.65	334.64133084117816	FGF19;MET;FGF3
KEGG_2021_Human	Hepatocellular carcinoma	3/168	0.00015651106954988272	0.0007256422315494563	0	0	36.04	315.796312820085	SMAD2;CDKN2A;MET
GO_Biological_Process_2021	production of miRNAs involved in gene silencing by miRNA (GO:0035196)	2/29	0.0001567819481163321	0.0052957458030405	0	0	134.41077441077442	1177.5263669114754	SMAD2;AGO2
GO_Biological_Process_2021	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	2/31	0.00017943408999380463	0.0054547963358116	0	0	125.12852664576802	1079.32145813929	SMAD2;LATS2
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	4/496	0.00022361922922843825	0.0061800223350404	0	0	17.610659439927733	148.0275570918902	SMAD2;FLT1;LATS2;TOP1
GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	3/207	0.0002894902458887823	0.0073337528958491	0	0	29.09264705882353	237.0291113035397	FGF19;MET;FGF3
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	4/546	0.00032278286662777906	0.0075481531888342	0	0	15.945059450594506	128.17484991232507	FLT1;FGF19;MET;FGF3
Reactome_2022	PI3K Cascade R-HSA-109704	2/44	0.0003633083772215516	0.0099634113892959	0	0	86.34199134199135	683.8508960409997	FGF19;FGF3
Reactome_2022	Signal Transduction R-HSA-162582	7/2465	0.00037299547227028656	0.0099634113892959	0	0	8.319975589910497	65.6774236934167	SMAD2;PREX2;FLT1;LATS2;FGF19;AGO2;FGF3
Reactome_2022	IRS-mediated Signaling R-HSA-112399	2/47	0.0004146987327513304	0.0099634113892959	0	0	80.57373737373737	627.5049024340954	FGF19;FGF3
Reactome_2022	IRS-related Events Triggered By IGF1R R-HSA-2428928	2/51	0.0004884058068615739	0.0099634113892959	0	0	73.98144712430427	564.0614766653882	FGF19;FGF3
Reactome_2022	IGF1R Signaling Cascade R-HSA-2428924	2/52	0.0005077559934978225	0.0099634113892959	0	0	72.49818181818182	549.935650796121	FGF19;FGF3
