Cluster_ID	Gene
0	AKT2
0	ALOX12B
0	AR
0	ARAF
0	ATM
0	ATR
0	ATRX
0	AURKB
0	AXIN1
0	AXL
0	BARD1
0	BCL2L11
0	BLM
0	BMPR1A
0	BRAF
0	CASP8
0	CD79B
0	DDR2
0	DOT1L
0	EGFR
0	EIF1AX
0	ELF3
0	EP300
0	EPHA3
0	EPHA5
0	ERBB4
0	ERCC3
0	ERCC4
0	ERF
0	ETV1
0	EZH2
0	FANCC
0	FH
0	FLT4
0	FYN
0	GATA3
0	GNAQ
0	GPS2
0	GRIN2A
0	HLA-B
0	IGF1
0	IGF1R
0	IKZF1
0	INHBA
0	INPP4A
0	INPP4B
0	KDR
0	KIT
0	LATS1
0	MAP2K4
0	MAPK1
0	MAX
0	MET
0	MSH3
0	MYD88
0	NEGR1
0	NKX2-1
0	NOTCH2
0	NOTCH3
0	NOTCH4
0	NPM1
0	NTRK1
0	NTRK3
0	PALB2
0	PARP1
0	PAX5
0	PBRM1
0	PDGFRA
0	PGR
0	PIK3C3
0	PIK3CB
0	PIK3CD
0	PIK3R1
0	PMS1
0	PPP2R1A
0	PRDM1
0	PRKD1
0	PTPN11
0	PTPRS
0	RAD50
0	RAF1
0	RET
0	RICTOR
0	RIT1
0	RNF43
0	ROS1
0	SESN1
0	SESN3
0	SETD2
0	SPRED1
0	STAG2
0	TBX3
0	TET2
0	WHSC1
0	WT1
0	WWTR1
0	XPO1
0	YES1
0	ZRSR2
1	AKT1
1	AKT3
1	ALB
1	ALK
1	ANKRD11
1	ARID1B
1	ARID2
1	ARID5B
1	ATXN7
1	AXIN2
1	B2M
1	BCL6
1	BIRC3
1	BRCA1
1	BTK
1	CARD11
1	CCNE1
1	CDC73
1	CDH1
1	CEBPA
1	CHEK2
1	CIC
1	CREBBP
1	CSDE1
1	CSF1R
1	CTR9
1	CYLD
1	DAXX
1	DCUN1D1
1	DICER1
1	ERBB3
1	ERCC2
1	ERG
1	ESR1
1	ETAA1
1	FAT1
1	FGFR4
1	IKBKE
1	INPPL1
1	INSR
1	IRS1
1	JAK1
1	JAK2
1	KDM5C
1	KMT2A
1	KMT2B
1	KMT2C
1	KMT2D
1	MAP3K1
1	MDM4
1	MED12
1	MGA
1	MITF
1	MRE11A
1	MSH6
1	MST1R
1	MTOR
1	MYOD1
1	NCOR1
1	NF1
1	NFKBIA
1	NSD1
1	NTRK2
1	PDGFRB
1	PHOX2B
1	PIK3C2G
1	PIK3CG
1	PLCG2
1	PMS2
1	POLE
1	PTCH1
1	PTPRD
1	RAC1
1	RAD54L
1	RASA1
1	RFWD2
1	RPS6KA4
1	RPTOR
1	RUNX1
1	SLX4
1	SMARCA2
1	SMO
1	SOS1
1	SPEN
1	STAT3
1	SUFU
1	TEK
1	TET1
1	TGFBR1
1	TGFBR2
1	TP53BP1
1	TSC1
1	TSHR
1	UPF1
1	ZFHX3
2	AMER1
2	APC
2	ARID1A
2	BAP1
2	BCL2
2	BCOR
2	CCND2
2	CCNQ
2	CD274
2	CDKN1B
2	CTNNB1
2	EGFL7
2	EIF4A2
2	EPAS1
2	EPHA7
2	ETV6
2	FAM175A
2	FBXW7
2	FGFR2
2	FLCN
2	FOXP1
2	GATA1
2	GATA2
2	GSK3B
2	H3F3C
2	HGF
2	ICOSLG
2	IDH1
2	IL7R
2	IRF4
2	KDM5A
2	KDM6A
2	KLF4
2	KRAS
2	MALT1
2	MAPK3
2	MAPKAP1
2	MDC1
2	MLH1
2	MPL
2	MUTYH
2	NOTCH1
2	NRAS
2	PGBD5
2	PIK3CA
2	PMAIP1
2	POLD1
2	PPP4R2
2	PTEN
2	RAD52
2	RBM10
2	RECQL
2	REL
2	RPS6KB2
2	RTEL1-TNFRSF6B
2	RXRA
2	SDHA
2	SMAD2
2	SMAD3
2	SMAD4
2	SMYD3
2	SOX2
2	SOX9
2	SYK
2	TCF3
2	TCF7L2
2	TERT
2	TMPRSS2
2	TRAF2
2	TRAF7
2	U2AF1
3	ASXL1
3	AURKA
3	BCL2L1
3	BRIP1
3	CRKL
3	CRLF2
3	CUL3
3	DNMT3B
3	DUSP4
3	FGFR1
3	FGFR3
3	GLI1
3	GNAS
3	IL10
3	MAP3K13
3	NCOA3
3	NKX3-1
3	NSD3
3	NTHL1
3	NUF2
3	PAK7
3	PIK3R2
3	PIK3R3
3	PLK2
3	PTPRT
3	RTEL1
3	SRC
3	TOP1
3	TP53
3	TSC2
3	USP8
3	VTCN1
3	WHSC1L1
3	XIAP
4	ABL1
4	AGO2
4	BCL10
4	BRD4
4	CXCR4
4	DNAJB1
4	DNMT1
4	DROSHA
4	ELOC
4	EPHB1
4	FOXA1
4	IDH2
4	KEAP1
4	LYN
4	MAP2K1
4	MAP2K2
4	MYC
4	NBN
4	PRDM14
4	PREX2
4	RAD21
4	RECQL4
4	SETDB1
4	SMARCA4
4	SOX17
4	TCEB1
4	TP63
5	ARHGAP35
5	ASXL2
5	BRCA2
5	CBL
5	CDK8
5	CSF3R
5	CYSLTR2
5	DIS3
5	DNMT3A
5	ERCC5
5	FLT1
5	FLT3
5	FOXO1
5	IRS2
5	KLF5
5	LATS2
5	RB1
5	SERPINB3
5	SF3B1
5	TNFAIP3
6	CDK12
6	ERBB2
6	FANCA
6	PARK2
6	PRKAR1A
6	RARA
6	STK11
6	SUZ12
7	CDKN2A
7	CDKN2Ap14ARF
7	CDKN2Ap16INK4A
7	CDKN2B
7	MTAP
8	CCND1
8	FGF19
8	FGF3
8	FGF4
9	CCND3
9	VEGFA
10	PTPRK
10	RSPO3
