Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	5/94	8.634023969285415e-09	3.807604570454868e-06	RB1;FLT1;FLT3;IRS2;EGFR
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	6/451	8.407592749302975e-07	0.00019924650653238297	RB1;CDK8;FLT3;IRS2;EGFR;FOXO1
0	GO_Biological_Process_2021	regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	4/106	1.2915562860882618e-06	0.0002847881610824617	FLT1;FLT3;IRS2;EGFR
0	Reactome_Pathways_2024	PI3K AKT Signaling in Cancer	4/110	1.4980940340780677e-06	0.00019924650653238297	FLT3;IRS2;EGFR;FOXO1
0	KEGG_2021_Human	Pathways in cancer	6/531	2.173834409147983e-06	0.0001804282559592826	RB1;CSF3R;FLT3;BRCA2;EGFR;FOXO1
0	GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	3/56	1.1346263946382128e-05	0.0013148868167462	FLT1;FLT3;EGFR
0	GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	5/404	1.1926411036247476e-05	0.0013148868167462	FLT1;FLT3;IRS2;EGFR;FOXO1
0	GO_Molecular_Function_2021	vascular endothelial growth factor-activated receptor activity (GO:0005021)	2/7	1.2570489476168942e-05	0.000288910625578833	FLT1;FLT3
0	GO_Molecular_Function_2021	transmembrane receptor protein kinase activity (GO:0019199)	3/60	1.3979546398975793e-05	0.000288910625578833	FLT1;FLT3;EGFR
0	GO_Molecular_Function_2021	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	3/60	1.3979546398975793e-05	0.000288910625578833	FLT1;FLT3;EGFR
0	GO_Biological_Process_2021	positive regulation of MAP kinase activity (GO:0043406)	3/69	2.131029472269665e-05	0.0015663066621182	FLT1;FLT3;EGFR
0	GO_Biological_Process_2021	peptidyl-tyrosine phosphorylation (GO:0018108)	3/69	2.131029472269665e-05	0.0015663066621182	FLT1;FLT3;EGFR
0	GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	5/474	2.576185381985448e-05	0.0015691201858024	SERPINB3;FLT1;FLT3;IRS2;EGFR
0	KEGG_2021_Human	Pancreatic cancer	3/76	2.849581800417708e-05	0.0011825764471733	RB1;BRCA2;EGFR
0	GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	3/77	2.9636600591150203e-05	0.0015691201858024	FLT1;FLT3;IRS2
0	GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	5/496	3.20228609347441e-05	0.0015691201858024	CDK8;FLT1;LATS2;FLT3;EGFR
0	Reactome_Pathways_2024	Constitutive Signaling by Aberrant PI3K in Cancer	3/83	3.711668681597383e-05	0.0025632618153371	FLT3;IRS2;EGFR
0	Reactome_Pathways_2024	Developmental Biology	7/1385	4.932595405858775e-05	0.0025632618153371	CDK8;CSF3R;KLF5;IRS2;ARHGAP35;EGFR;FOXO1
