Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
RAD52	PTEN	2	CNA,MUT
KDM5A	PTEN	2	CNA,MUT
KDM5A	PTPRD	2	CNA,MUT
KRAS	CTNNB1	2	CNA,MUT
KRAS	SMAD2	2	CNA,MUT
KRAS	KDM5A	2	CNA,MUT
KRAS	PTEN	2	CNA,MUT
KRAS	CDKN1B	2	CNA,MUT
KDM5A	CDKN1B	2	CNA,MUT
PTPRD	RAD52	2	CNA,MUT
KRAS	RAD52	2	CNA,MUT
KDM5A	RAD52	2	CNA,MUT
KRAS	KMT2C	1	MUT
KMT2C	KMT2D	1	MUT
KRAS	EP300	1	MUT
KMT2C	FLCN	1	MUT
AMER1	SMAD2	1	MUT
KMT2D	MED12	1	MUT
KRAS	MED12	1	MUT
EP300	CTNNB1	1	MUT
EP300	PIK3CA	1	MUT
EP300	RAD52	1	MUT
MSH3	CTNNB1	1	MUT
EP300	PTPRD	1	MUT
KDM5A	CTNNB1	1	MUT
KDM5A	FLCN	1	MUT
KRAS	MSH3	1	MUT
EP300	PTEN	1	MUT
KRAS	PIK3CA	1	MUT
KRAS	PTPRD	1	MUT
AMER1	FLCN	1	MUT
EP300	SMAD2	1	MUT
KMT2D	PIK3CA	1	MUT
EP300	KDM5A	1	MUT
PTPRD	PTEN	1	MUT
PTPRD	CTNNB1	1	MUT
MED12	PIK3CA	1	MUT
PIK3CA	CTNNB1	1	MUT
KRAS	FLCN	1	MUT
AMER1	PTEN	1	MUT
EP300	CDKN1B	1	MUT
EP300	MSH3	1	MUT
KRAS	KMT2D	1	MUT
EP300	MED12	1	MUT
KMT2C	MSH3	1	MUT
CDKN1B	PIK3CA	1	MUT
KMT2C	MED12	1	MUT
PIK3CA	PTPRD	1	MUT
AMER1	KRAS	1	MUT
EP300	KMT2C	1	MUT
