Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
NKX3-1	PARP1	2	CNA,MUT
ARID5B	NKX3-1	2	CNA,MUT
CSF3R	FLT1	2	CNA,MUT
DNMT3B	TP53	2	CNA,MUT
FGFR1	RAD52	2	CNA,MUT
AKT2	INHBA	2	CNA,MUT
BRCA2	NKX3-1	2	CNA,MUT
AKT2	PIK3C3	2	CNA,MUT
NKX3-1	PAK7	2	CNA,MUT
RNF43	RARA	2	CNA,MUT
BRCA2	FLT1	2	CNA,MUT
PMS2	KMT2B	2	CNA,MUT
LYN	RAD21	2	CNA,MUT
SMAD2	WHSC1	2	CNA,MUT
CCND2	MPL	2	CNA,MUT
KDM5A	TCF7L2	2	CNA,MUT
FGFR1	PMS2	2	CNA,MUT
CDKN1B	ELF3	2	CNA,MUT
PTEN	CCND2	2	CNA,MUT
SRC	PLK2	2	CNA,MUT
FLT1	PAX5	2	CNA,MUT
FGFR1	KDM5A	2	CNA,MUT
AGO2	FGFR1	2	CNA,MUT
RAD21	KDM5A	2	CNA,MUT
FGFR1	MET	2	CNA,MUT
RAD21	MET	2	CNA,MUT
TOP1	FLCN	2	CNA,MUT
DNMT3B	GPS2	2	CNA,MUT
PTPRD	FGF3	2	CNA,MUT
ASXL1	PDGFRB	2	CNA,MUT
FAT1	FYN	2	CNA,MUT
SOX17	FGFR1	2	CNA,MUT
FLT3	ELF3	2	CNA,MUT
DOT1L	SMARCA4	2	CNA,MUT
BRCA2	ZFHX3	2	CNA,MUT
PIK3C3	FYN	2	CNA,MUT
FLT1	NCOR1	2	CNA,MUT
MYC	PLK2	2	CNA,MUT
PRDM14	RECQL4	2	CNA,MUT
SESN1	FYN	2	CNA,MUT
SMAD2	ROS1	2	CNA,MUT
KDM5A	BCOR	2	CNA,MUT
TP53BP1	TOP1	2	CNA,MUT
FAT1	NCOA3	2	CNA,MUT
NOTCH1	TSC1	2	CNA,MUT
PIK3C3	MET	2	CNA,MUT
FYN	MALT1	2	CNA,MUT
NCOA3	PLK2	2	CNA,MUT
CARD11	SLX4	2	CNA,MUT
DNMT3B	RAD21	2	CNA,MUT
MAP2K4	FLCN	2	CNA,MUT
PTPRT	FLCN	2	CNA,MUT
CARD11	CREBBP	2	CNA,MUT
LATS2	PAX5	2	CNA,MUT
CDK8	IRS2	2	CNA,MUT
NKX3-1	ETV1	2	CNA,MUT
SLX4	CREBBP	2	CNA,MUT
FGFR1	NBN	2	CNA,MUT
SESN1	MET	2	CNA,MUT
PMS2	CARD11	2	CNA,MUT
FLT3	TP53BP1	2	CNA,MUT
PIK3CG	MET	2	CNA,MUT
DNMT3B	WHSC1L1	2	CNA,MUT
SLX4	TSC2	2	CNA,MUT
DNMT1	MAP2K2	2	CNA,MUT
DNMT3B	PLK2	2	CNA,MUT
FLT3	CDK8	2	CNA,MUT
PREX2	LYN	2	CNA,MUT
KDM5A	MPL	2	CNA,MUT
PIK3C3	ROS1	2	CNA,MUT
AGO2	ARID5B	2	CNA,MUT
NKX3-1	FYN	2	CNA,MUT
FGFR1	RECQL4	2	CNA,MUT
DIS3	KDM5A	2	CNA,MUT
RB1	EGFR	2	CNA,MUT
MALT1	CCND2	2	CNA,MUT
DIS3	ZFHX3	2	CNA,MUT
FGFR1	SESN1	2	CNA,MUT
LYN	PRDM14	2	CNA,MUT
CCND2	PTPRD	2	CNA,MUT
NBN	CDC73	2	MUT,SV
LYN	RECQL4	2	CNA,MUT
ASXL1	TOP1	2	CNA,MUT
NKX3-1	NOTCH2	2	CNA,MUT
FLT1	NKX3-1	2	CNA,MUT
B2M	TOP1	2	CNA,MUT
NKX3-1	WHSC1	2	CNA,MUT
FYN	MET	2	CNA,MUT
RAD21	RECQL4	2	CNA,MUT
AKT2	ERBB3	2	CNA,MUT
B2M	EGFR	2	CNA,MUT
SMAD2	PRDM1	2	CNA,MUT
PMS2	SLX4	2	CNA,MUT
FGFR1	RAD21	2	CNA,MUT
AGO2	LATS2	2	CNA,MUT
NBN	DIS3	2	CNA,MUT
FLCN	CSF1R	2	CNA,MUT
PMS2	GRIN2A	2	CNA,MUT
PREX2	FGFR1	2	CNA,MUT
BRCA2	DIS3	2	CNA,MUT
DNMT3B	MAP2K4	2	CNA,MUT
BRD4	NOTCH3	2	CNA,MUT
FLT1	TNFAIP3	2	CNA,MUT
CDK8	RB1	2	CNA,MUT
FLT1	TP53BP1	2	CNA,MUT
DNMT1	KEAP1	2	CNA,MUT
NBN	IRS2	2	CNA,MUT
PRDM14	CARD11	2	CNA,MUT
PIK3C2G	RECQL	2	CNA,MUT
AGO2	PREX2	2	CNA,MUT
TP53	TOP1	2	CNA,MUT
TOP1	WHSC1L1	2	CNA,MUT
CDK8	ERCC5	2	CNA,MUT
ZFHX3	EGFR	2	CNA,MUT
TET1	RET	2	CNA,MUT
NBN	FLCN	2	CNA,MUT
MYC	MAP2K2	2	CNA,MUT
RECQL4	ARID1A	2	CNA,MUT
NF1	SUZ12	2	CNA,MUT
FGFR1	NKX3-1	2	CNA,MUT
FGFR1	PRDM1	2	CNA,MUT
AGO2	NCOA3	2	CNA,MUT
NKX3-1	RB1	2	CNA,MUT
RB1	CCND2	2	CNA,MUT
FLT1	FOXO1	2	CNA,MUT
DIS3	IRS2	2	CNA,MUT
PIK3C3	PRDM1	2	CNA,MUT
SMAD2	SESN1	2	CNA,MUT
KDM5A	MALT1	2	CNA,MUT
CARD11	YES1	2	CNA,MUT
PIK3C2G	RAD52	2	CNA,MUT
PTPRT	VTCN1	2	CNA,MUT
CCND2	IRS2	2	CNA,MUT
EGFR	CCND1	2	CNA,MUT
FGFR1	YES1	2	CNA,MUT
DNMT3B	VTCN1	2	CNA,MUT
B2M	DNMT3B	2	CNA,MUT
ETV1	INHBA	2	CNA,MUT
BRCA2	RB1	2	CNA,MUT
MET	PRDM1	2	CNA,MUT
ETV1	SLX4	2	CNA,MUT
PRDM14	RAD21	2	CNA,MUT
FYN	WHSC1	2	CNA,MUT
NCOA3	MAPK3	2	CNA,MUT
GRIN2A	TSC2	2	CNA,MUT
DNMT3B	FGFR1	2	CNA,MUT
FGFR1	WHSC1	2	CNA,MUT
ROS1	SESN1	2	CNA,MUT
LATS2	CYSLTR2	2	CNA,MUT
DNMT3B	TOP1	2	CNA,MUT
FLT1	RB1	2	CNA,MUT
RB1	KDM5A	2	CNA,MUT
SOX17	ERCC5	2	CNA,MUT
FGFR1	PRDM14	2	CNA,MUT
ASXL1	DNMT3B	2	CNA,MUT
RARA	ERBB2	2	CNA,MUT
WHSC1	WHSC1L1	2	CNA,MUT
SMAD2	FYN	2	CNA,MUT
FAT1	ROS1	2	CNA,MUT
ALOX12B	FLCN	2	CNA,MUT
MYC	FYN	2	CNA,MUT
AURKA	ALOX12B	2	CNA,MUT
EGFR	IKZF1	2	CNA,MUT
NOTCH2	WHSC1L1	2	CNA,MUT
ASXL1	UPF1	2	CNA,MUT
MSH3	NOTCH2	2	CNA,MUT
KDM5A	KRAS	2	CNA,MUT
FLT1	PARP1	2	CNA,MUT
TOP1	TERT	2	CNA,MUT
RASA1	SERPINB3	2	CNA,MUT
CYLD	WHSC1L1	2	CNA,MUT
ERBB2	CDK12	2	CNA,MUT
PREX2	NKX3-1	2	CNA,MUT
AURKA	PAK7	2	CNA,MUT
FAT1	MYC	2	CNA,MUT
TGFBR2	ALOX12B	2	CNA,MUT
CREBBP	TRAF7	2	CNA,MUT
