Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	TP53	408	187	576	62	5.45586546409355e-22	-2.090197808971578	4.2664867929211555e-19
KRAS	BRAF	10	585	97	541	2.238916265996819e-19	-3.3907927779437173	8.754162600047562e-17
KRAS	NRAS	4	591	48	590	1.411110195757335e-10	-3.5874056766494853	3.6782939102741195e-08
KRAS	SRC	10	585	47	591	8.029450965908358e-07	-2.2179392510835094	0.0001569757663835084
KRAS	RTEL1	16	579	48	590	8.033527944252509e-05	-1.5578108944611893	0.012564437704810924
KRAS	ASXL1	22	573	57	581	0.00010974690917598033	-1.3534553708798205	0.013459744609981578
KRAS	DNMT3B	16	579	47	591	0.00012048364740392717	-1.5249940694893416	0.013459744609981578
KRAS	TOP1	12	583	37	601	0.00044738372465485325	-1.5806217573971044	0.0437317590850119
KRAS	BCL2L1	19	576	48	590	0.0005278281191084946	-1.3023888444706795	0.045862398793649194
KRAS	RECQL4	15	580	40	598	0.0009718002781391546	-1.3709449150956734	0.0759947817504819
KRAS	AURKA	11	584	33	605	0.0011434095300478931	-1.5339957274392166	0.08128602295431386
KRAS	MYC	24	571	53	585	0.0012863319987718625	-1.108012074734119	0.08382596858663303
KRAS	NCOA3	16	579	39	599	0.002480110259012699	-1.2364095640626993	0.14918817096522544
KRAS	GNAS	19	576	42	596	0.00415164169347724	-1.0951463903153256	0.21870876417040297
KRAS	RAD21	7	588	23	615	0.004195180898409264	-1.6514367786091708	0.21870876417040297
KRAS	PTPRT	38	557	68	570	0.004831971988092225	-0.8062507360946817	0.2361626309180075
KRAS	PRDM14	2	593	12	626	0.008880948852918218	-2.5068319483345416	0.40852364723423806
KRAS	LYN	2	593	11	627	0.015011803324164597	-2.378998280381262	0.6521794555275953
KRAS	CDK12	12	583	27	611	0.018856024781419727	-1.1022485048240793	0.7066171596560535
KRAS	RIT1	0	595	6	632	0.018975652625034686	-10.0	0.7066171596560535
KRAS	MYCN	0	595	6	632	0.018975652625034686	-10.0	0.7066171596560535
KRAS	CSF3R	3	592	12	626	0.02359701134911748	-1.9194345186963313	0.8008140856529846
KRAS	PHOX2B	3	592	12	626	0.02359701134911748	-1.9194345186963313	0.8008140856529846
KRAS	TCEB1	1	594	8	630	0.024577414393441983	-2.915111102413487	0.8008140856529846
KRAS	RNF43	10	585	23	615	0.026574496076859057	-1.1294840754138151	0.8312502372841513
KRAS	RARA	7	588	18	620	0.031011220060283742	-1.286118018946835	0.9327220802746878
KRAS	SMO	4	591	13	625	0.03305206556877947	-1.6197416587691753	0.9572857509179833
KRAS	TMPRSS2	0	595	5	633	0.036812166545880876	-10.0	0.9926591116854774
KRAS	LZTR1	0	595	5	633	0.036812166545880876	-10.0	0.9926591116854774
KRAS	IGF2	2	593	9	629	0.041392217925453084	-2.0848970891090266	1.0
KRAS	ZFHX3	11	584	23	615	0.04276758294853084	-0.9895122960731306	1.0
KRAS	ERCC5	5	590	14	624	0.04301169885846039	-1.404595752557197	1.0
KRAS	EGFR	7	588	17	621	0.04467851004029408	-1.2013308058086183	1.0
KRAS	MAP2K4	13	582	25	613	0.05444715116145705	-0.868548550851135	1.0
KRAS	FGFR4	3	592	10	628	0.05868275184015529	-1.6517982109035287	1.0
KRAS	MAP2K1	3	592	10	628	0.05868275184015529	-1.6517982109035287	1.0
KRAS	PREX2	15	580	27	611	0.06634451305697953	-0.7728774267511548	1.0
KRAS	ZNRF3	0	595	4	634	0.07135986227900253	-10.0	1.0
KRAS	MLH1	1	594	6	632	0.07418598666853415	-2.495500873344819	1.0
KRAS	MET	4	591	11	627	0.07570173023518192	-1.3741243060127908	1.0
KRAS	NBN	6	589	14	624	0.0763329417187269	-1.1391140263046604	1.0
KRAS	NOTCH1	6	589	14	624	0.0763329417187269	-1.1391140263046604	1.0
KRAS	FGFR1	20	575	33	605	0.0763633379333255	-0.6490928381408719	1.0
KRAS	ERBB2	23	572	36	602	0.0918105590238533	-0.5726147054039868	1.0
KRAS	B2M	5	590	12	626	0.09210097294714398	-1.177586703150379	1.0
KRAS	NF1	15	580	25	613	0.1102491904688985	-0.657131420490359	1.0
KRAS	JAK1	4	591	10	628	0.11166062381037348	-1.2343216661732679	1.0
KRAS	FGF3	9	586	17	621	0.11292366239299495	-0.8338452360097934	1.0
KRAS	MSI1	1	594	5	633	0.1259947361501118	-2.230185526259787	1.0
KRAS	STK40	1	594	5	633	0.1259947361501118	-2.230185526259787	1.0
KRAS	VTCN1	1	594	5	633	0.1259947361501118	-2.230185526259787	1.0
KRAS	NTRK2	3	592	8	630	0.1362572615505253	-1.3252828465205149	1.0
KRAS	ETV1	3	592	8	630	0.1362572615505253	-1.3252828465205149	1.0
KRAS	MST1R	3	592	8	630	0.1362572615505253	-1.3252828465205149	1.0
KRAS	GLI1	3	592	8	630	0.1362572615505253	-1.3252828465205149	1.0
KRAS	SPEN	8	587	15	623	0.13659002202857104	-0.821018935694569	1.0
KRAS	CDC42	0	595	3	635	0.13822461512310721	-10.0	1.0
KRAS	RAD51B	0	595	3	635	0.13822461512310721	-10.0	1.0
KRAS	NUP93	0	595	3	635	0.13822461512310721	-10.0	1.0
KRAS	ELOC	0	595	3	635	0.13822461512310721	-10.0	1.0
KRAS	PDPK1	0	595	3	635	0.13822461512310721	-10.0	1.0
KRAS	SLFN11	0	595	3	635	0.13822461512310721	-10.0	1.0
KRAS	CXCR4	0	595	3	635	0.13822461512310721	-10.0	1.0
KRAS	RHOA	0	595	3	635	0.13822461512310721	-10.0	1.0
KRAS	DICER1	6	589	12	626	0.14940172188338577	-0.9121049768978423	1.0
KRAS	BLM	4	591	9	629	0.16143792481895688	-1.0800231147405555	1.0
KRAS	MST1	2	593	6	632	0.1678093834682367	-1.4930700470900569	1.0
KRAS	SUZ12	2	593	6	632	0.1678093834682367	-1.4930700470900569	1.0
KRAS	NKX3-1	21	574	30	608	0.1868223352641599	-0.4315525860618606	1.0
KRAS	NCOR1	9	586	15	623	0.19568965784532902	-0.6486340955644523	1.0
KRAS	SESN1	3	592	7	631	0.20098580882157294	-1.1303495919828486	1.0
KRAS	PLK2	3	592	7	631	0.20098580882157294	-1.1303495919828486	1.0
KRAS	JAK3	3	592	7	631	0.20098580882157294	-1.1303495919828486	1.0
KRAS	ARHGAP35	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	CDK4	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	SUFU	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	NSD3	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	GNAQ	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	SERPINB4	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	USP8	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	FOXA1	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	FOXL2	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	HNF1A	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	MEF2B	1	594	4	634	0.20955064521148908	-1.9059800906613587	1.0
KRAS	SOX17	15	580	22	616	0.21616653024961383	-0.46566357234881184	1.0
KRAS	AGO2	21	574	29	609	0.2241766093603083	-0.3802720811181672	1.0
KRAS	PARK2	4	591	8	630	0.22817232836892581	-0.9078063017902536	1.0
KRAS	ALK	12	583	18	620	0.2329192451852558	-0.496190168647415	1.0
KRAS	IL7R	5	590	9	629	0.2510370666344071	-0.7556518439248645	1.0
KRAS	AXL	9	586	14	624	0.25119027737837457	-0.5467845561752914	1.0
KRAS	SETDB1	2	593	5	633	0.25551660985405605	-1.2277547000050246	1.0
KRAS	CTR9	2	593	5	633	0.25551660985405605	-1.2277547000050246	1.0
KRAS	PPARG	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	GPR128	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	H2BC5	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	H1-2	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	TMEM127	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	TFG	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	LMO1	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	RHEB	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	H3C7	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	CYP19A1	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	ID3	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	H3C2	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	H3C3	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	H3C4	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	H3C6	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	H3C1	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	H3C8	0	595	2	636	0.26753852392538524	-10.0	1.0
KRAS	RAC2	0	595	2	636	0.26753852392538524	-10.0	1.0
