Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	13	1.0	0.4989	1.0	0.0421
PIK3CA	11	0.8462	0.2585	0.8667	0.0461
EP300	6	0.4615	0.0182	0.65	0.0865
SMAD2	5	0.3846	0.0032	0.619	0.1255
PTEN	5	0.3846	0.0032	0.619	0.1209
AMER1	4	0.3077	0.0	0.5909	0.1247
ATRX	3	0.2308	0.0	0.5652	0.1457
FOXP1	2	0.1538	0.0	0.5417	0.1662
HLA-A	2	0.1538	0.0	0.5417	0.1361
STAG2	2	0.1538	0.0	0.5417	0.162
DNMT1	2	0.1538	0.0	0.5417	0.1785
FLCN	2	0.1538	0.0	0.5417	0.1582
PMS2	2	0.1538	0.0	0.5417	0.151
SESN3	1	0.0769	0.0	0.52	0.0
