Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	ZFHX3	0.6548	0.0546	0.7368
0	SPEN	0.6429	0.0618	0.7368
0	ARID1A	0.631	0.1188	0.7241
0	FAT1	0.631	0.0829	0.7241
0	PTPRS	0.619	0.0574	0.7179
0	TGFBR2	0.5952	0.0435	0.7059
0	KMT2B	0.5833	0.0564	0.7059
0	POLD1	0.5476	0.0223	0.6829
0	FLT4	0.5357	0.0276	0.6667
0	EPHA5	0.5119	0.0258	0.6667
0	NOTCH1	0.5119	0.045	0.6614
0	POLE	0.5119	0.0327	0.672
0	KMT2A	0.5	0.0179	0.6512
0	TCF7L2	0.4762	0.0462	0.6462
0	BCOR	0.4643	0.0481	0.6462
0	KMT2C	0.4405	0.012	0.6364
0	RNF43	0.4167	0.011	0.6222
0	MSH3	0.3929	0.0058	0.6176
0	TET2	0.3929	0.014	0.6
0	RPTOR	0.381	0.0128	0.6131
0	CIC	0.369	0.0129	0.6043
0	MGA	0.3333	0.0134	0.5874
0	MSH6	0.3333	0.0027	0.5915
0	NOTCH2	0.3214	0.0023	0.5874
0	SLX4	0.3214	0.0032	0.5874
0	BAP1	0.2976	0.005	0.5793
0	DOT1L	0.2976	0.0027	0.5753
0	MAP3K1	0.2976	0.0021	0.5753
0	EGFR	0.2738	0.0019	0.56
0	SMO	0.2619	0.0024	0.5638
0	ERG	0.25	0.0005	0.56
0	GLI1	0.25	0.0024	0.5638
0	HLA-B	0.25	0.0015	0.5638
0	SMARCA4	0.25	0.0026	0.5563
0	EPHB1	0.2381	0.0033	0.5385
0	HNF1A	0.2381	0.0012	0.5638
0	RECQL	0.2381	0.0004	0.56
0	KDM6A	0.2143	0.0023	0.5455
0	CTCF	0.2024	0.0008	0.5455
0	RPS6KA4	0.2024	0.0017	0.5385
0	PTCH1	0.1905	0.0008	0.5385
0	RFWD2	0.1905	0.0008	0.5316
0	MDC1	0.1786	0.0014	0.5385
0	SOX9	0.1786	0.0061	0.5122
0	CTR9	0.1667	0.0026	0.5185
0	SH2B3	0.1667	0.0015	0.535
0	ARAF	0.1548	0.0009	0.5122
0	CSF3R	0.1548	0.0008	0.5283
0	DAXX	0.1548	0.0003	0.5316
0	YES1	0.1548	0.0002	0.5316
0	AXIN2	0.1429	0.002	0.497
0	NTRK1	0.1429	0.0013	0.5122
0	TAP2	0.1429	0.0034	0.506
0	MST1R	0.131	0.0005	0.5122
0	TRAF7	0.131	0.0004	0.5185
0	CTLA4	0.119	0.0005	0.497
0	MLH1	0.119	0.0001	0.5122
0	MPL	0.1071	0.0	0.4941
0	RBM10	0.1071	0.0011	0.4855
0	FGFR2	0.0952	0.0007	0.4719
0	SOX17	0.0952	0.0002	0.4828
0	BARD1	0.0833	0.0004	0.4941
0	FANCA	0.0833	0.0	0.497
0	PDCD1	0.0833	0.0	0.4941
0	PIK3R2	0.0833	0.0	0.4855
0	HLA-A	0.0714	0.0	0.4884
0	TCF3	0.0714	0.0004	0.4641
0	RHOA	0.0595	0.0	0.4693
0	BRIP1	0.0476	0.0	0.4746
0	SHOC2	0.0476	0.0	0.459
0	TRAF2	0.0476	0.0	0.4615
0	VEGFA	0.0476	0.0238	0.4615
0	FUBP1	0.0357	0.0001	0.4492
0	IL7R	0.0357	0.0	0.4541
0	JAK3	0.0357	0.0001	0.4565
0	SETDB1	0.0357	0.0	0.4264
0	FGFR4	0.0238	0.0	0.4242
0	PALB2	0.0238	0.0	0.4352
0	CCND3	0.0119	0.0	0.317
0	EPCAM	0.0119	0.0	0.4221
0	HLA-C	0.0119	0.0	0.3944
0	IDH1	0.0119	0.0	0.3944
0	RXRA	0.0119	0.0	0.4
0	SHQ1	0.0119	0.0	0.4221
0	STK11	0.0119	0.0	0.4221
1	KMT2D	0.8095	0.3863	0.84
1	NOTCH4	0.5238	0.122	0.6462
1	ARID1B	0.5	0.0413	0.6364
1	ATRX	0.5	0.0748	0.6364
1	MED12	0.4762	0.0663	0.6462
1	ERBB3	0.4524	0.0376	0.6269
1	NCOR1	0.4286	0.0597	0.6
1	PIK3R1	0.4048	0.0155	0.5915
1	B2M	0.3571	0.0103	0.5833
1	IKBKE	0.3571	0.0075	0.5753
1	PPP2R1A	0.3333	0.004	0.5676
1	SYK	0.3333	0.0039	0.5676
1	AXL	0.3095	0.0093	0.5676
1	FBXW7	0.2857	0.0136	0.525
1	ABL1	0.2143	0.0018	0.5316
1	IRS1	0.2143	0.0128	0.5316
1	WWTR1	0.2143	0.0005	0.5316
1	PDGFRB	0.1905	0.0284	0.5122
1	CSF1R	0.1667	0.0253	0.5122
1	ERBB2	0.1667	0.0716	0.506
1	KDM5C	0.1667	0.001	0.506
1	NTRK3	0.1667	0.0001	0.5122
1	SESN3	0.1667	0.0	0.5185
1	PTPN11	0.1429	0.0005	0.4941
1	TSC2	0.1429	0.0004	0.4941
1	CDK12	0.119	0.0253	0.5
1	MTOR	0.119	0.0011	0.4828
1	PIK3R3	0.119	0.0	0.5
1	TERT	0.119	0.0483	0.4941
1	AKT1	0.0952	0.0012	0.4773
1	BCL10	0.0952	0.0	0.4884
1	IKZF1	0.0952	0.0017	0.4828
1	RPS6KB2	0.0952	0.0	0.4941
1	BRD4	0.0476	0.0	0.4667
1	CHEK2	0.0476	0.0	0.3559
1	RARA	0.0476	0.0	0.35
1	BBC3	0.0238	0.0	0.3925
1	DCUN1D1	0.0238	0.0	0.4615
1	DICER1	0.0238	0.0	0.3784
1	MLL2	0.0238	0.0	0.3962
1	PRDM14	0.0238	0.0	0.3962
1	SDHA	0.0238	0.0	0.3333
1	TBX3	0.0238	0.0	0.3387
2	FLT3	0.4906	0.0948	0.6092
2	BRCA2	0.4717	0.1407	0.631
2	FLT1	0.434	0.0483	0.5699
2	IRS2	0.434	0.0485	0.5761
2	DIS3	0.3774	0.0279	0.5761
2	DNMT3B	0.3585	0.0428	0.5638
2	NCOA3	0.3585	0.0853	0.5889
2	TOP1	0.3585	0.0588	0.5579
2	FGFR1	0.3396	0.0489	0.5408
2	LATS2	0.3396	0.0151	0.5408
2	RTEL1	0.3396	0.0283	0.5464
2	CDK8	0.3208	0.0078	0.53
2	RB1	0.3208	0.06	0.5579
2	AGO2	0.3019	0.0164	0.5464
2	NKX3-1	0.3019	0.0598	0.5196
2	PTPRT	0.3019	0.0941	0.5248
2	ASXL1	0.2642	0.0145	0.5196
2	BCL2L1	0.2642	0.0239	0.5196
2	TP53	0.2642	0.0141	0.5248
2	CYSLTR2	0.2453	0.0047	0.4818
2	MYC	0.2453	0.0489	0.5096
2	ERCC5	0.2264	0.0031	0.4818
2	AURKA	0.1887	0.0012	0.4775
2	FOXO1	0.1887	0.0	0.469
2	DROSHA	0.1698	0.0262	0.4862
2	GNAS	0.1698	0.0027	0.4775
2	SRC	0.1698	0.0005	0.4492
2	CARD11	0.1509	0.0984	0.4862
2	KLF5	0.1509	0.0	0.453
2	PARP1	0.1321	0.0025	0.4649
2	AKT2	0.1132	0.0606	0.4309
2	ELF3	0.1132	0.0201	0.4454
2	RECQL4	0.1132	0.0018	0.424
2	WHSC1L1	0.1132	0.0019	0.424
2	FOXP1	0.0943	0.0496	0.4173
2	MAP2K4	0.0943	0.0033	0.4173
2	MAPK3	0.0943	0.0012	0.4309
2	RET	0.0943	0.001	0.424
2	DUSP4	0.0755	0.0002	0.4109
2	SMAD2	0.0755	0.0096	0.3533
2	APC	0.0566	0.0086	0.3813
2	CEBPA	0.0566	0.0043	0.351
2	SMAD3	0.0566	0.0065	0.363
2	XPO1	0.0566	0.0	0.4046
2	CCNE1	0.0377	0.0	0.3046
2	E2F3	0.0377	0.0	0.3759
2	BIRC3	0.0189	0.0	0.3605
2	GATA1	0.0189	0.0	0.3292
2	GATA3	0.0189	0.0	0.3813
2	MAP2K1	0.0189	0.0	0.2961
2	PPP6C	0.0189	0.0	0.3897
2	RAD21	0.0189	0.0	0.3397
2	SESN1	0.0189	0.0	0.3464
2	STAT3	0.0189	0.0	0.3897
3	DNMT3A	0.7119	0.0359	0.7763
3	ARID2	0.6949	0.0259	0.7662
3	NOTCH3	0.678	0.0566	0.7468
3	CTNNB1	0.661	0.0726	0.7284
3	INPPL1	0.661	0.0344	0.7468
3	RAD50	0.6441	0.0228	0.7375
3	FLCN	0.6271	0.0364	0.7108
3	NF1	0.5932	0.0171	0.6941
3	SETD2	0.5932	0.0251	0.686
3	ERBB4	0.5763	0.0603	0.686
3	IGF1R	0.5763	0.0167	0.6782
3	PIK3CG	0.5763	0.0582	0.6705
3	CDH1	0.5593	0.0256	0.6705
3	PIK3CD	0.5424	0.0193	0.686
3	MITF	0.5254	0.0266	0.6556
3	ASXL2	0.5085	0.0059	0.6484
3	RASA1	0.5085	0.0183	0.6629
3	RICTOR	0.5085	0.007	0.6484
3	ETV1	0.4915	0.01	0.6484
3	INPP4B	0.4915	0.0109	0.6629
3	CDC73	0.4746	0.0084	0.6484
3	MET	0.4746	0.0053	0.6277
3	TET1	0.4746	0.0036	0.6277
3	BRCA1	0.4576	0.0034	0.6277
3	WHSC1	0.4576	0.0071	0.6484
3	INSR	0.4407	0.0028	0.6146
3	DDR2	0.4237	0.0379	0.6277
3	NSD1	0.4237	0.0037	0.6082
3	ESR1	0.4068	0.007	0.6146
3	ROS1	0.3898	0.0059	0.602
3	JAK2	0.3729	0.0071	0.602
3	NTRK2	0.3729	0.0036	0.602
3	PIK3CB	0.3559	0.0003	0.5842
3	PREX2	0.3559	0.0098	0.5842
3	PTPRD	0.3559	0.0084	0.596
3	MALT1	0.339	0.0554	0.5842
3	RUNX1	0.322	0.0028	0.5842
3	CASP8	0.2881	0.0029	0.5673
3	BTK	0.2712	0.0002	0.5619
3	EZH2	0.2712	0.0002	0.5619
3	ATM	0.2542	0.0109	0.5268
3	JAK1	0.2203	0.0008	0.5221
3	SMAD4	0.1525	0.0173	0.4958
3	STAG2	0.1525	0.0001	0.5043
3	ERF	0.1356	0.0003	0.5086
3	ALK	0.1186	0.0	0.4958
3	WT1	0.1186	0.0002	0.4836
3	PIK3C3	0.1017	0.0034	0.4958
3	PRDM1	0.0847	0.0	0.472
3	NFE2L2	0.0678	0.0007	0.4836
3	BCL2	0.0508	0.0001	0.3882
3	LATS1	0.0508	0.0002	0.4436
3	PAX5	0.0508	0.0	0.4574
3	PMAIP1	0.0508	0.0001	0.3882
3	RAF1	0.0508	0.0	0.4338
3	UPF1	0.0339	0.0	0.4307
3	AKT3	0.0169	0.0	0.3882
3	MDM4	0.0169	0.0	0.4041
3	MYD88	0.0169	0.0	0.4307
3	PARK2	0.0169	0.0	0.4097
4	PTEN	0.7255	0.1884	0.7727
4	EP300	0.6863	0.0616	0.7391
4	KDM5A	0.6275	0.1287	0.6986
4	PIK3C2G	0.6078	0.0634	0.6892
4	ANKRD11	0.5882	0.0443	0.6892
4	AR	0.549	0.0566	0.6892
4	CYLD	0.549	0.04	0.6623
4	GRIN2A	0.549	0.0328	0.6711
4	CREBBP	0.5294	0.0509	0.6456
4	PAK7	0.5294	0.0219	0.6538
4	RAD54L	0.5294	0.0141	0.6538
4	INPP4A	0.4902	0.0115	0.6375
4	PLCG2	0.4902	0.0179	0.6375
4	ALOX12B	0.451	0.0098	0.6296
4	PMS2	0.451	0.0043	0.622
4	PRKD1	0.451	0.007	0.6
4	ARID5B	0.4314	0.0014	0.6145
4	EPAS1	0.4314	0.0015	0.6145
4	NBN	0.4314	0.0021	0.6145
4	TSC1	0.4314	0.0015	0.6145
4	BLM	0.4118	0.0003	0.6071
4	NKX2-1	0.4118	0.0003	0.6071
4	EPHA7	0.2745	0.0057	0.5543
4	CCND2	0.2549	0.0115	0.5484
4	ERCC3	0.2353	0.0013	0.5258
4	PIK3CA	0.2353	0.0559	0.5204
4	AXIN1	0.2157	0.0052	0.5484
4	TNFAIP3	0.2157	0.0011	0.5426
4	ATR	0.1961	0.0019	0.5152
4	EPHA3	0.1961	0.0021	0.505
4	INHBA	0.1765	0.0007	0.5204
4	KIT	0.1569	0.0008	0.5204
4	KLF4	0.1569	0.0012	0.5
4	CDKN1B	0.1373	0.0029	0.5
4	PLK2	0.1373	0.0001	0.5152
4	RAD52	0.1373	0.0038	0.51
4	TEK	0.1373	0.0002	0.4904
4	CSDE1	0.098	0.0	0.4679
4	FGF19	0.098	0.0769	0.4951
4	ETV6	0.0588	0.0	0.4215
4	FYN	0.0588	0.0002	0.4474
4	SPRED1	0.0588	0.0	0.4636
4	TGFBR1	0.0588	0.0007	0.4397
4	CCND1	0.0392	0.0	0.3355
