Cluster_ID	Gene
0	ABL1
0	AKT1
0	ARAF
0	ARID1A
0	ARID1B
0	AXIN2
0	BAP1
0	BARD1
0	BCL10
0	BCOR
0	BRD4
0	BRIP1
0	CCND3
0	CDK12
0	CIC
0	CSF3R
0	CTCF
0	CTLA4
0	CTR9
0	DAXX
0	DCUN1D1
0	DOT1L
0	EGFR
0	EIF1AX
0	EPCAM
0	EPHA5
0	EPHB1
0	ERBB2
0	ERBB3
0	ERG
0	FANCA
0	FAT1
0	FBXW7
0	FGFR2
0	FLT4
0	FUBP1
0	GLI1
0	HLA-A
0	HLA-B
0	HLA-C
0	HNF1A
0	IDH1
0	IKZF1
0	IL7R
0	IRS1
0	JAK2
0	JAK3
0	KDM6A
0	KMT2A
0	KMT2B
0	KMT2C
0	KMT2D
0	MAP3K1
0	MDC1
0	MED12
0	MGA
0	MLH1
0	MSH2
0	MSH3
0	MSH6
0	MST1R
0	MTOR
0	NOTCH1
0	NOTCH2
0	NTRK1
0	NTRK3
0	PALB2
0	PDCD1
0	PIK3R2
0	PIK3R3
0	POLD1
0	POLE
0	PTCH1
0	PTPRS
0	RARA
0	RECQL
0	RFWD2
0	RHOA
0	RNF43
0	RPS6KA4
0	RPTOR
0	RXRA
0	SETDB1
0	SH2B3
0	SHOC2
0	SHQ1
0	SLX4
0	SMARCA4
0	SMO
0	SOX17
0	SOX9
0	SPEN
0	STK11
0	SYK
0	TAP2
0	TCF7L2
0	TERT
0	TET2
0	TGFBR2
0	TRAF2
0	TRAF7
0	TSC2
0	VEGFA
0	YES1
0	ZFHX3
1	ALOX12B
1	AR
1	ARID2
1	ARID5B
1	ATRX
1	AXIN1
1	AXL
1	BBC3
1	BLM
1	BMPR1A
1	CASP8
1	CCND2
1	CD274
1	CDKN1B
1	CREBBP
1	CSDE1
1	CYLD
1	E2F3
1	EP300
1	EPAS1
1	EPHA3
1	EPHA7
1	ERCC3
1	ETV1
1	ETV6
1	GRIN2A
1	IGF1R
1	INHBA
1	INPP4A
1	JUN
1	KDM5A
1	KDR
1	KIT
1	KLF4
1	MAP2K4
1	MLL2
1	MPL
1	NBN
1	NCOA3
1	NKX2-1
1	NOTCH4
1	NRAS
1	PAK7
1	PIK3C2G
1	PIK3CA
1	PLCG2
1	PLK2
1	PMS2
1	PRDM14
1	PRKD1
1	PTEN
1	RAD52
1	RAD54L
1	RICTOR
1	ROS1
1	RPS6KB2
1	SPRED1
1	STAG2
1	TET1
1	TGFBR1
1	TNFAIP3
1	TSC1
1	WT1
2	AKT3
2	ALK
2	ANKRD11
2	ASXL2
2	ATM
2	ATR
2	B2M
2	BIRC3
2	BRCA1
2	BTK
2	CDC73
2	CDH1
2	CTNNB1
2	DDR2
2	DICER1
2	DNMT3A
2	ERBB4
2	ERF
2	ESR1
2	EZH2
2	FLCN
2	FYN
2	IKBKE
2	INPP4B
2	INPPL1
2	INSR
2	JAK1
2	KDM5C
2	LATS1
2	MALT1
2	MDM4
2	MET
2	MITF
2	NCOR1
2	NF1
2	NFE2L2
2	NOTCH3
2	NSD1
2	NTRK2
2	PARK2
2	PIK3CB
2	PIK3CD
2	PIK3CG
2	PIK3R1
2	PMS1
2	PPP2R1A
2	PRDM1
2	PREX2
2	PTPN11
2	PTPRD
2	RAD50
2	RAF1
2	RASA1
2	RUNX1
2	SESN3
2	SETD2
2	TEK
2	UPF1
2	WHSC1
2	WWTR1
2	ZRSR2
3	AGO2
3	ASXL1
3	AURKA
3	BCL2L1
3	BRCA2
3	CDK8
3	CYSLTR2
3	DIS3
3	DNMT3B
3	DROSHA
3	DUSP4
3	ELF3
3	ERCC4
3	ERCC5
3	FGFR1
3	FLT1
3	FLT3
3	FOXO1
3	GATA3
3	GNAS
3	IRS2
3	KLF5
3	LATS2
3	MAPK3
3	MYC
3	MYOD1
3	NEGR1
3	NKX3-1
3	PARP1
3	PAX5
3	PPP6C
3	PTPRT
3	RAD21
3	RB1
3	RECQL4
3	RET
3	RTEL1
3	SESN1
3	SRC
3	STAT3
3	TOP1
3	TP53
3	TP63
3	WHSC1L1
3	XPO1
4	AKT2
4	AMER1
4	APC
4	BCL2
4	CARD11
4	CCNE1
4	CEBPA
4	FGFR4
4	FOXP1
4	GATA1
4	GSK3B
4	MAP2K1
4	MYD88
4	PBRM1
4	PDGFRA
4	PGR
4	PIK3C3
4	PMAIP1
4	PPM1D
4	RBM10
4	SDHA
4	SMAD2
4	SMAD3
4	SMAD4
4	TBX3
4	TCF3
4	TP53BP1
5	CDKN2A
5	CDKN2Ap14ARF
5	CDKN2Ap16INK4A
5	CDKN2B
6	CHEK2
6	CSF1R
6	PDGFRB
7	CCND1
7	FGF19
7	FGF4
