Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	TP53	0.5484	0.2845	0.6327
0	NF1	0.3226	0.1525	0.5741
0	DIS3	0.2903	0.1471	0.5536
0	EPHA3	0.2903	0.0952	0.5082
0	HGF	0.2903	0.0653	0.5082
0	PTPRD	0.2903	0.0941	0.5167
0	MTOR	0.2581	0.0632	0.5
0	GRIN2A	0.2258	0.2112	0.4844
0	INPP4B	0.2258	0.0272	0.4921
0	PAK7	0.1935	0.0252	0.4697
0	PARK2	0.1935	0.0133	0.4559
0	RB1	0.1935	0.0689	0.4769
0	TSC1	0.1613	0.0472	0.4697
0	NOTCH2	0.129	0.0048	0.4366
0	AR	0.0968	0.002	0.4306
0	ATR	0.0968	0.0	0.4493
0	B2M	0.0968	0.0015	0.4247
0	EPHA5	0.0968	0.0161	0.3974
0	INPPL1	0.0968	0.065	0.4247
0	MAP2K4	0.0968	0.0	0.4429
0	PGR	0.0968	0.0	0.4493
0	TSHR	0.0968	0.0168	0.4306
0	CUL3	0.0645	0.0009	0.4079
0	EPAS1	0.0645	0.0	0.369
0	PPP6C	0.0645	0.0	0.4306
0	ROS1	0.0645	0.0645	0.337
0	FAM175A	0.0323	0.0	0.3444
0	FGFR3	0.0323	0.0	0.3605
0	IGF2	0.0323	0.0	0.301
0	PHOX2B	0.0323	0.0	0.2541
0	SRSF2	0.0323	0.0	0.3298
0	YES1	0.0323	0.0	0.3263
1	CIC	0.3333	0.26	0.5217
1	FAT1	0.3333	0.3187	0.5217
1	KMT2B	0.2083	0.2259	0.4364
1	MDC1	0.2083	0.1385	0.4528
1	PDGFRA	0.2083	0.1467	0.4528
1	PIK3C2G	0.2083	0.0882	0.4138
1	RPTOR	0.2083	0.0944	0.4528
1	TET1	0.2083	0.1755	0.4444
1	FBXW7	0.1667	0.0786	0.375
1	IRS2	0.1667	0.0271	0.3871
1	PARP1	0.1667	0.0857	0.375
1	PIK3C3	0.1667	0.0146	0.4528
1	PPM1D	0.1667	0.0913	0.4068
1	ERCC5	0.125	0.0	0.3288
1	PAK1	0.125	0.021	0.4211
1	POLE	0.125	0.0153	0.4068
1	BRCA1	0.0833	0.0118	0.338
1	IRS1	0.0833	0.0181	0.3288
1	CBL	0.0417	0.0	0.3158
1	CEBPA	0.0417	0.0	0.3077
1	ERF	0.0417	0.0	0.3478
1	FH	0.0417	0.0	0.2759
1	LATS2	0.0417	0.0	0.3077
1	NCOA3	0.0417	0.0	0.3117
1	NF2	0.0417	0.0	0.2927
2	CCND2	0.5	0.2198	0.56
2	KDM5A	0.5	0.2198	0.56
2	AXIN2	0.4286	0.6209	0.6087
2	CDKN1B	0.4286	0.0	0.4242
2	ETV6	0.4286	0.0	0.4242
2	H3F3C	0.4286	0.0	0.4242
2	RAD52	0.4286	0.0	0.4242
2	RECQL	0.4286	0.0	0.4242
2	FGFR4	0.2857	0.0769	0.4667
2	PTPRT	0.2857	0.3132	0.4828
2	MLL3	0.1429	0.1429	0.35
2	MYCN	0.1429	0.0	0.35
2	XPO1	0.1429	0.0	0.4118
2	CD79B	0.0714	0.0	0.3889
2	PBRM1	0.0714	0.0	0.2642
3	AGO2	0.7	0.2222	0.7692
3	MYC	0.7	0.3111	0.7692
3	RECQL4	0.6	0.2	0.6667
3	WHSC1L1	0.6	0.0667	0.6667
3	FGFR1	0.5	0.0	0.625
3	RAD21	0.5	0.0	0.625
3	NKX3-1	0.3	0.2	0.5556
3	NBN	0.2	0.0	0.4762
3	DUSP4	0.1	0.0	0.3704
3	PRDM14	0.1	0.0	0.4167
3	TCEB1	0.1	0.0	0.4545
4	CREBBP	0.5556	0.3287	0.6
4	SMARCA4	0.5556	0.2315	0.5625
4	KEAP1	0.4444	0.0093	0.5
4	PTEN	0.3333	0.2778	0.4737
4	STK11	0.3333	0.0	0.4737
4	TSC2	0.3333	0.0	0.4737
4	PDCD1	0.2222	0.1528	0.5
4	PMS1	0.2222	0.0972	0.45
4	SLX4	0.2222	0.2639	0.5294
4	TCF7L2	0.1111	0.0	0.3333
5	EPHA7	0.5	0.5714	0.5333
5	PRDM1	0.5	0.25	0.4444
5	FYN	0.375	0.0	0.4211
5	PNRC1	0.375	0.0	0.4211
5	ARID1A	0.25	0.25	0.3333
5	MALT1	0.25	0.4286	0.4211
5	SF3B1	0.25	0.5357	0.5
5	KLF4	0.125	0.0	0.32
5	SOX17	0.125	0.0	0.2581
6	CDKN2Ap14ARF	0.875	0.1042	0.8889
6	CDKN2Ap16INK4A	0.875	0.1042	0.8889
6	CDKN2B	0.875	0.1042	0.8889
6	CDKN2A	0.75	0.0446	0.8
6	RTEL1	0.625	0.25	0.7273
6	BCL2	0.5	0.0	0.6154
6	MTAP	0.5	0.0	0.6154
6	TEK	0.375	0.0	0.5714
6	GNAS	0.125	0.0	0.4444
7	IL7R	0.8571	0.4881	0.875
7	DROSHA	0.7143	0.0119	0.7
7	SDHA	0.7143	0.0119	0.7
7	TERT	0.7143	0.0119	0.7
7	RICTOR	0.5714	0.0	0.6364
7	TRIP13	0.5714	0.0	0.6364
7	CTCF	0.2857	0.2857	0.5833
7	SMYD3	0.1429	0.0	0.3889
