Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	GO_Biological_Process_2021	double-strand break repair via homologous recombination (GO:0000724)	3/97	1.7739381339581437e-05	0.0039676944968858	RECQL4;RAD21;NBN
0	Reactome_Pathways_2024	MAPK Family Signaling Cascades	4/314	1.803031649683228e-05	0.003749560981517	DUSP4;MYC;AGO2;FGFR1
0	GO_Biological_Process_2021	positive regulation of chromosome organization (GO:2001252)	2/15	2.8762512286659284e-05	0.0039676944968858	RAD21;NBN
0	Reactome_Pathways_2024	Estrogen-dependent Gene Expression	3/121	3.4399642032266456e-05	0.003749560981517	MYC;RAD21;AGO2
0	GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	3/148	6.272587056543153e-05	0.0039676944968858	MYC;NBN;FGFR1
0	GO_Biological_Process_2021	double-strand break repair (GO:0006302)	3/164	8.510809953826162e-05	0.0039676944968858	RECQL4;RAD21;NBN
0	GO_Biological_Process_2021	regulation of telomere maintenance (GO:0032204)	2/26	8.873438171949139e-05	0.0039676944968858	MYC;NBN
0	GO_Biological_Process_2021	DNA geometric change (GO:0032392)	2/26	8.873438171949139e-05	0.0039676944968858	RECQL4;NBN
0	GO_Biological_Process_2021	cellular response to drug (GO:0035690)	2/26	8.873438171949139e-05	0.0039676944968858	MYC;NKX3-1
0	Reactome_Pathways_2024	ESR-mediated Signaling	3/192	0.00013578524153320484	0.0098670608847462	MYC;RAD21;AGO2
0	GO_Molecular_Function_2021	transcription cis-regulatory region binding (GO:0000976)	4/549	0.00015892878721473035	0.0036247819611902	MYC;AGO2;PRDM14;NKX3-1
0	GO_Molecular_Function_2021	DNA-binding transcription factor binding (GO:0140297)	3/208	0.00017201755323353809	0.0036247819611902	MYC;NBN;NKX3-1
0	GO_Molecular_Function_2021	core promoter sequence-specific DNA binding (GO:0001046)	2/37	0.00018123909805951383	0.0036247819611902	MYC;AGO2
0	GO_Biological_Process_2021	DNA recombination (GO:0006310)	2/39	0.000201528095808739	0.00684532169609	RECQL4;RAD21
0	GO_Biological_Process_2021	regulation of response to DNA damage stimulus (GO:2001020)	2/41	0.00022287992498854552	0.00684532169609	MYC;NKX3-1
0	GO_Biological_Process_2021	branching morphogenesis of an epithelial tube (GO:0048754)	2/44	0.0002568962468343873	0.00684532169609	MYC;NKX3-1
0	GO_Biological_Process_2021	positive regulation of response to stimulus (GO:0048584)	2/46	0.0002808966966300349	0.00684532169609	MYC;NKX3-1
0	GO_Biological_Process_2021	regulation of DNA metabolic process (GO:0051052)	2/46	0.0002808966966300349	0.00684532169609	MYC;NBN
0	GO_Biological_Process_2021	telomere organization (GO:0032200)	2/47	0.0002932930686478756	0.00684532169609	RECQL4;NBN
0	GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	3/253	0.00030618052314779746	0.00684532169609	NBN;FGFR1;NKX3-1
0	GO_Biological_Process_2021	DNA duplex unwinding (GO:0032508)	2/51	0.0003455139191258262	0.0072097237790922	RECQL4;NBN
0	Reactome_Pathways_2024	Signaling by Nuclear Receptors	3/270	0.000370516358834525	0.0201931415564816	MYC;RAD21;AGO2
0	GO_Biological_Process_2021	DNA metabolic process (GO:0006259)	3/277	0.0003993568917816076	0.0072459764374983	RECQL4;RAD21;NBN
0	GO_Biological_Process_2021	positive regulation of response to DNA damage stimulus (GO:2001022)	2/55	0.00040193981025798	0.0072459764374983	MYC;NKX3-1
0	GO_Biological_Process_2021	telomere maintenance (GO:0000723)	2/56	0.0004167015203673172	0.0072459764374983	RECQL4;NBN
0	KEGG_2021_Human	MAPK signaling pathway	3/294	0.0004753462886887655	0.0143159797999346	DUSP4;MYC;FGFR1
0	GO_Biological_Process_2021	regulation of cell cycle (GO:0051726)	3/296	0.0004848543233653669	0.0075026858258068	MYC;NBN;NKX3-1
0	GO_Biological_Process_2021	DNA repair (GO:0006281)	3/298	0.0004944843358391435	0.0075026858258068	RECQL4;RAD21;NBN
0	GO_Biological_Process_2021	positive regulation of cysteine-type endopeptidase activity (GO:2001056)	2/62	0.0005107573333408307	0.0075026858258068	MYC;NKX3-1
0	GO_Biological_Process_2021	positive regulation of DNA metabolic process (GO:0051054)	2/63	0.0005273453296094256	0.0075026858258068	MYC;NBN
0	Reactome_Pathways_2024	Ca2+ Pathway	2/63	0.0005273453296094256	0.0229922563709709	MYC;AGO2
0	GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	3/314	0.0005759960475793936	0.007838554908363	RECQL4;AGO2;NBN
0	GO_Biological_Process_2021	cellular response to decreased oxygen levels (GO:0036294)	2/69	0.0006323237618724635	0.0082465557277533	MYC;NKX3-1
0	KEGG_2021_Human	Central carbon metabolism in cancer	2/70	0.0006507263545424821	0.0143159797999346	MYC;FGFR1
0	GO_Biological_Process_2021	regulation of cell division (GO:0051302)	2/76	0.000766557415655506	0.0091563642729105	MYC;NKX3-1
0	GO_Biological_Process_2021	positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)	2/77	0.000786762964181551	0.0091563642729105	FGFR1;NKX3-1
0	GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	3/350	0.0007898461193884478	0.0091563642729105	RECQL4;MYC;NBN
0	GO_Biological_Process_2021	recombinational repair (GO:0000725)	2/79	0.0008279436780256868	0.0092552275436442	RECQL4;NBN
0	Reactome_Pathways_2024	MAPK6 MAPK4 Signaling	2/80	0.0008489183706752518	0.0308440341345341	MYC;AGO2
0	GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	3/384	0.0010332398906773	0.010946426067362	MYC;AGO2;NKX3-1
0	GO_Biological_Process_2021	regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	2/89	0.001049178217319	0.010946426067362	MYC;NKX3-1
0	Reactome_Pathways_2024	Meiosis	2/89	0.001049178217319	0.0326744073393644	RAD21;NBN
0	GO_Biological_Process_2021	regulation of epithelial cell proliferation (GO:0050678)	2/93	0.0011447913297592	0.0110908925007005	MYC;NKX3-1
0	GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	2/94	0.001169327324355	0.0110908925007005	NBN;FGFR1
0	GO_Biological_Process_2021	negative regulation of MAPK cascade (GO:0043409)	2/94	0.001169327324355	0.0110908925007005	DUSP4;MYC
0	KEGG_2021_Human	Prostate cancer	2/97	0.0012444500801154	0.0174609263025625	FGFR1;NKX3-1
0	GO_Biological_Process_2021	regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	2/106	0.0014833966434543	0.0136559749823884	FGFR1;NKX3-1
0	GO_Biological_Process_2021	DNA replication (GO:0006260)	2/108	0.0015392498663643	0.0137652916620585	RECQL4;NBN
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	3/451	0.0016422595437389	0.0424384026661864	MYC;AGO2;FGFR1
0	GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	2/114	0.0017127866353649	0.0148917282463671	NBN;FGFR1
0	GO_Biological_Process_2021	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	2/119	0.0018642217762422	0.0156000004168769	MYC;NKX3-1
0	GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	3/474	0.0018939297630713	0.0156000004168769	MYC;FGFR1;NKX3-1
0	GO_Biological_Process_2021	positive regulation of gene expression (GO:0010628)	3/482	0.0019868432153906	0.0159456904209555	MYC;AGO2;NKX3-1
0	KEGG_2021_Human	Cell cycle	2/124	0.0020218271883785	0.0174609263025625	MYC;RAD21
0	GO_Biological_Process_2021	regulation of gene expression (GO:0010468)	4/1079	0.0020478719259197	0.0160245978203218	MYC;AGO2;PRDM14;NKX3-1
0	Reactome_Pathways_2024	Reproduction	2/127	0.0021193401920992	0.0424384026661864	RAD21;NBN
0	GO_Biological_Process_2021	cellular response to hypoxia (GO:0071456)	2/131	0.002252786052583	0.0171980984014265	MYC;NKX3-1
0	Reactome_Pathways_2024	Beta-catenin Independent WNT Signaling	2/134	0.0023554338192288	0.0424384026661864	MYC;AGO2
