Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
SMARCA4	12	4	6	2	0.6111	0.0402	0.0878
CDKN1B	11	1	10	0	0.1653	0.1244	0.1136
CDKN2Ap16INK4A	11	0	9	2	0.2975	0.0506	0.1016
CDKN2Ap14ARF	10	0	8	2	0.32	0.019	0.1001
CDKN2B	9	0	9	0	0.0	0.0242	0.1001
RECQL4	9	3	6	0	0.4444	0.0005	0.0333
CIC	8	7	1	0	0.2188	0.0366	0.0906
EIF1AX	8	3	5	0	0.4688	0.0275	0.086
CCND2	8	2	6	0	0.375	0.0358	0.0962
TP53	7	7	0	0	0.0	0.0257	0.0863
ARAF	7	3	4	0	0.4898	0.0049	0.0739
ETV6	7	0	7	0	0.0	0.0072	0.0995
AGO2	7	2	5	0	0.4082	0.0003	0.0312
DROSHA	7	3	4	0	0.4898	0.0	0.0223
TERT	7	3	4	0	0.4898	0.0003	0.0223
IL7R	7	3	4	0	0.4898	0.0005	0.0272
RECQL	6	0	6	0	0.0	0.0	0.0947
PTPRD	6	6	0	0	0.0	0.0431	0.0958
GATA1	6	2	4	0	0.4444	0.0048	0.0737
CDKN2A	6	1	5	0	0.2778	0.0001	0.0865
WHSC1L1	6	1	5	0	0.2778	0.0005	0.0312
IRS2	6	4	2	0	0.4444	0.0293	0.1041
RAD21	6	1	5	0	0.2778	0.0001	0.0312
MYC	6	0	6	0	0.0	0.0008	0.0357
RAD52	6	0	6	0	0.0	0.0	0.0947
FAT1	5	5	0	0	0.0	0.029	0.0894
DIS3	5	5	0	0	0.0	0.049	0.0962
NF1	5	5	0	0	0.0	0.0719	0.1084
RB1	5	4	1	0	0.32	0.0066	0.0839
PARK2	5	4	1	0	0.32	0.0073	0.0756
MDC1	5	5	0	0	0.0	0.1253	0.1185
PRDM1	5	2	3	0	0.48	0.0005	0.0178
EPHA7	5	3	2	0	0.48	0.0008	0.02
PIK3C2G	5	3	2	0	0.48	0.1197	0.1182
KDM5A	5	1	4	0	0.32	0.0	0.0943
NTRK1	4	2	2	0	0.5	0.0003	0.0164
EPHA3	4	4	0	0	0.0	0.0172	0.0828
AXIN2	4	3	1	0	0.375	0.032	0.0824
FGFR1	4	0	4	0	0.0	0.0	0.0278
FGF3	4	1	3	0	0.375	0.0	0.015
NKX3-1	4	1	3	0	0.375	0.0005	0.0263
GRIN2A	4	4	0	0	0.0	0.0149	0.0653
SDHA	4	0	4	0	0.0	0.0	0.0223
MTOR	4	4	0	0	0.0	0.0285	0.0827
H3F3C	4	0	4	0	0.0	0.0	0.0943
FGF4	4	1	3	0	0.375	0.0	0.015
FGF19	4	1	3	0	0.375	0.0	0.015
CCND1	4	1	3	0	0.375	0.0	0.015
KDM6A	4	2	2	0	0.5	0.0	0.0734
MTAP	4	0	4	0	0.0	0.0	0.0849
PARP1	4	3	1	0	0.375	0.0048	0.0769
RICTOR	4	1	3	0	0.375	0.0	0.0188
MCL1	4	0	4	0	0.0	0.0004	0.02
PTEN	4	3	1	0	0.375	0.0143	0.0533
KEAP1	4	3	1	0	0.375	0.0274	0.076
NKX2-1	4	1	3	0	0.375	0.0001	0.016
FYN	4	1	3	0	0.375	0.0001	0.0168
KMT2B	4	3	1	0	0.375	0.0096	0.0761
RAC1	3	1	2	0	0.4444	0.0002	0.0114
NFKBIA	3	0	3	0	0.0	0.0001	0.016
SLX4	3	2	1	0	0.4444	0.0187	0.0593
HGF	3	3	0	0	0.0	0.0076	0.0744
TET1	3	3	0	0	0.0	0.017	0.0919
TSC1	3	3	0	0	0.0	0.016	0.0725
CREBBP	3	2	1	0	0.4444	0.0231	0.0667
FOXA1	3	1	2	0	0.4444	0.0002	0.016
KIT	3	2	1	0	0.4444	0.0001	0.01
RTEL1	3	0	3	0	0.0	0.0048	0.0846
CDK4	3	1	2	0	0.4444	0.0001	0.01
PDGFRA	3	3	0	0	0.0	0.0308	0.1007
ZRSR2	3	0	3	0	0.0	0.0	0.0736
PAK7	3	3	0	0	0.0	0.005	0.0814
CARD11	3	2	1	0	0.4444	0.0002	0.0133
STK11	3	2	1	0	0.4444	0.0	0.0753
SETDB1	3	1	2	0	0.4444	0.0002	0.018
PRKD1	3	1	2	0	0.4444	0.0	0.0114
FGFR4	3	3	0	0	0.0	0.0188	0.0631
FBXW7	2	2	0	0	0.0	0.0082	0.0926
SF3B1	2	2	0	0	0.0	0.0008	0.0188
ERCC5	2	1	1	0	0.5	0.0	0.0858
TRIP13	2	1	1	0	0.5	0.0	0.0144
PNRC1	2	0	2	0	0.0	0.0	0.0133
RET	2	2	0	0	0.0	0.0001	0.0112
FH	2	1	1	0	0.5	0.0	0.0664
NBN	2	1	1	0	0.5	0.0	0.02
TCF7L2	2	1	1	0	0.5	0.0	0.0481
PRDM14	2	1	1	0	0.5	0.0	0.0208
PPP2R1A	2	2	0	0	0.0	0.0001	0.0112
EPHA5	2	2	0	0	0.0	0.0033	0.0661
RBM10	2	1	1	0	0.5	0.0	0.0641
RIT1	2	0	2	0	0.0	0.0	0.0138
DNMT1	2	2	0	0	0.0	0.0002	0.0114
B2M	2	2	0	0	0.0	0.0	0.0742
XPO1	2	2	0	0	0.0	0.0231	0.0716
CD79B	2	1	1	0	0.5	0.0	0.0705
RPTOR	2	2	0	0	0.0	0.0095	0.077
BRCA1	2	2	0	0	0.0	0.0048	0.0667
GLI1	2	1	1	0	0.5	0.0	0.0067
ERF	2	1	1	0	0.5	0.0	0.0765
MALT1	2	2	0	0	0.0	0.0006	0.016
ARID1A	2	2	0	0	0.0	0.0004	0.0128
CEBPA	2	1	1	0	0.5	0.0	0.0659
EP300	2	2	0	0	0.0	0.0001	0.01
PTCH1	2	2	0	0	0.0	0.0001	0.01
PMS1	2	2	0	0	0.0	0.0048	0.0482
ROS1	2	2	0	0	0.0	0.0048	0.0578
LYN	2	1	1	0	0.5	0.0	0.005
H3C14	2	0	2	0	0.0	0.0	0.0138
PTPRT	2	2	0	0	0.0	0.0095	0.0562
MLL3	2	2	0	0	0.0	0.0048	0.0505
NEGR1	2	2	0	0	0.0	0.0001	0.01
PREX2	2	1	1	0	0.5	0.0	0.005
INPPL1	2	2	0	0	0.0	0.0048	0.0736
PPM1D	2	2	0	0	0.0	0.0048	0.0759
NOTCH2	2	2	0	0	0.0	0.0063	0.0862
MAP2K4	2	2	0	0	0.0	0.0219	0.1036
EPAS1	2	2	0	0	0.0	0.0	0.0715
NOTCH4	2	2	0	0	0.0	0.0001	0.01
PAK1	2	2	0	0	0.0	0.0	0.0767
PIK3C3	2	2	0	0	0.0	0.022	0.101
CTCF	2	2	0	0	0.0	0.0003	0.0188
KDR	2	1	1	0	0.5	0.0	0.0067
SDHC	2	0	2	0	0.0	0.0002	0.018
ALK	1	1	0	0	0.0	0.0	0.0067
AR	1	1	0	0	0.0	0.0	0.0709
CCND3	1	0	1	0	0.0	0.0	0.005
CBL	1	1	0	0	0.0	0.0	0.0836
SOX17	1	1	0	0	0.0	0.0	0.01
BTK	1	1	0	0	0.0	0.0	0.0642
ATR	1	1	0	0	0.0	0.0	0.0801
FOXO1	1	1	0	0	0.0	0.0	0.005
ASXL1	1	1	0	0	0.0	0.0	0.005
ARID5B	1	1	0	0	0.0	0.0	0.0112
BCL2	1	0	1	0	0.0	0.0	0.0831
IRS1	1	1	0	0	0.0	0.0	0.0587
REL	1	1	0	0	0.0	0.0	0.005
BRCA2	1	1	0	0	0.0	0.0	0.005
CHEK2	1	1	0	0	0.0	0.0	0.0067
TEK	1	0	1	0	0.0	0.0	0.0831
MDM2	1	0	1	0	0.0	0.0	0.0067
PIM1	1	0	1	0	0.0	0.0	0.005
EZH1	1	1	0	0	0.0	0.0	0.005
FLT1	1	1	0	0	0.0	0.0	0.0067
MYCN	1	1	0	0	0.0	0.0	0.0559
FLCN	1	1	0	0	0.0	0.0	0.0075
MGA	1	1	0	0	0.0	0.0	0.01
TSHR	1	1	0	0	0.0	0.0	0.0709
NTRK2	1	1	0	0	0.0	0.0	0.005
DNAJB1	1	1	0	0	0.0	0.0	0.005
FGFR3	1	1	0	0	0.0	0.0	0.0804
ESR1	1	1	0	0	0.0	0.0	0.008
DUSP4	1	0	1	0	0.0	0.0	0.0179
MST1R	1	1	0	0	0.0	0.0	0.0067
SMYD3	1	1	0	0	0.0	0.0	0.0129
DNMT3A	1	1	0	0	0.0	0.0	0.0067
PIK3CA	1	1	0	0	0.0	0.0	0.005
CUL3	1	1	0	0	0.0	0.0	0.0888
CSF1R	1	1	0	0	0.0	0.0	0.0067
KDM5C	1	1	0	0	0.0	0.0	0.005
FAM175A	1	1	0	0	0.0	0.0	0.0801
POLE	1	1	0	0	0.0	0.0	0.0756
ERCC2	1	1	0	0	0.0	0.0	0.005
KMT2D	1	1	0	0	0.0	0.0	0.005
IGF2	1	1	0	0	0.0	0.0	0.064
INPP4B	1	1	0	0	0.0	0.0	0.0655
SRSF2	1	1	0	0	0.0	0.0	0.0577
GNAS	1	0	1	0	0.0	0.0	0.0722
GSK3B	1	1	0	0	0.0	0.0	0.0067
IL10	1	1	0	0	0.0	0.0	0.005
ZFHX3	1	1	0	0	0.0	0.0	0.005
MLL2	1	1	0	0	0.0	0.0	0.0067
RUNX1	1	1	0	0	0.0	0.0	0.005
MLL	1	1	0	0	0.0	0.0	0.005
MED12	1	1	0	0	0.0	0.0	0.005
LATS1	1	1	0	0	0.0	0.0	0.005
LATS2	1	1	0	0	0.0	0.0	0.0659
KLF4	1	1	0	0	0.0	0.0	0.0128
SETD2	1	1	0	0	0.0	0.0	0.005
SPEN	1	1	0	0	0.0	0.0	0.0067
TCEB1	1	0	1	0	0.0	0.0	0.0217
NCOA3	1	1	0	0	0.0	0.0	0.0774
PGR	1	1	0	0	0.0	0.0	0.0707
PBRM1	1	1	0	0	0.0	0.0	0.0458
PIK3R1	1	1	0	0	0.0	0.0	0.005
MSH6	1	1	0	0	0.0	0.0	0.005
PIK3CG	1	1	0	0	0.0	0.0	0.005
PHOX2B	1	1	0	0	0.0	0.0	0.0517
PDCD1	1	1	0	0	0.0	0.0	0.0438
PPP6C	1	1	0	0	0.0	0.0	0.0888
NF2	1	1	0	0	0.0	0.0	0.0657
PMS2	1	0	1	0	0.0	0.0	0.008
SMAD2	1	1	0	0	0.0	0.0	0.005
