Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	A2BP1	1	597	0	0	1.0		1.0
KRAS	ABL1	7	591	0	0	1.0		1.0
KRAS	ABRAXAS1	0	598	0	0	1.0		1.0
KRAS	ACTG1	0	598	0	0	1.0		1.0
KRAS	ACVR1	3	595	0	0	1.0		1.0
KRAS	AGO2	14	584	0	0	1.0		1.0
KRAS	AKAP6	1	597	0	0	1.0		1.0
KRAS	AKT1	4	594	0	0	1.0		1.0
KRAS	AKT2	6	592	0	0	1.0		1.0
KRAS	AKT3	13	585	0	0	1.0		1.0
KRAS	ALB	2	596	0	0	1.0		1.0
KRAS	ALK	28	570	0	0	1.0		1.0
KRAS	ALOX12B	4	594	0	0	1.0		1.0
KRAS	AMER1	33	565	0	0	1.0		1.0
KRAS	ANKRD11	11	587	0	0	1.0		1.0
KRAS	ANKRD26	0	598	0	0	1.0		1.0
KRAS	APC	35	563	0	0	1.0		1.0
KRAS	APLNR	0	598	0	0	1.0		1.0
KRAS	AR	14	584	0	0	1.0		1.0
KRAS	ARAF	7	591	0	0	1.0		1.0
KRAS	ARHGAP35	6	592	0	0	1.0		1.0
KRAS	ARHGEF28	0	598	0	0	1.0		1.0
KRAS	ARID1A	55	543	0	0	1.0		1.0
KRAS	ARID1B	12	586	0	0	1.0		1.0
KRAS	ARID2	26	572	0	0	1.0		1.0
KRAS	ARID3A	0	598	0	0	1.0		1.0
KRAS	ARID3B	0	598	0	0	1.0		1.0
KRAS	ARID3C	0	598	0	0	1.0		1.0
KRAS	ARID4A	0	598	0	0	1.0		1.0
KRAS	ARID4B	0	598	0	0	1.0		1.0
KRAS	ARID5A	0	598	0	0	1.0		1.0
KRAS	ARID5B	13	585	0	0	1.0		1.0
KRAS	ASXL1	17	581	0	0	1.0		1.0
KRAS	ASXL2	19	579	0	0	1.0		1.0
KRAS	ATM	72	526	0	0	1.0		1.0
