Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
AGO2	7	2	5	0	0.4082	0.0003	0.0312	0
GNAS	1	0	1	0	0.0	0.0	0.0722	0
FLCN	1	1	0	0	0.0	0.0	0.0075	0
RET	2	2	0	0	0.0	0.0001	0.0112	0
FLT1	1	1	0	0	0.0	0.0	0.0067	0
KIT	3	2	1	0	0.4444	0.0001	0.01	0
FOXA1	3	1	2	0	0.4444	0.0002	0.016	0
MGA	1	1	0	0	0.0	0.0	0.01	0
NFKBIA	3	0	3	0	0.0	0.0001	0.016	0
NKX2-1	4	1	3	0	0.375	0.0001	0.016	0
PNRC1	2	0	2	0	0.0	0.0	0.0133	0
RBM10	2	1	1	0	0.5	0.0	0.0641	0
ROS1	2	2	0	0	0.0	0.0048	0.0578	0
MST1R	1	1	0	0	0.0	0.0	0.0067	0
SRSF2	1	1	0	0	0.0	0.0	0.0577	0
GSK3B	1	1	0	0	0.0	0.0	0.0067	0
H3C14	2	0	2	0	0.0	0.0	0.0138	0
MCL1	4	0	4	0	0.0	0.0004	0.02	0
RIT1	2	0	2	0	0.0	0.0	0.0138	0
PARK2	5	4	1	0	0.32	0.0073	0.0756	0
IGF2	1	1	0	0	0.0	0.0	0.064	0
INPPL1	2	2	0	0	0.0	0.0048	0.0736	0
IL10	1	1	0	0	0.0	0.0	0.005	0
KMT2D	1	1	0	0	0.0	0.0	0.005	0
FH	2	1	1	0	0.5	0.0	0.0664	0
PTPRT	2	2	0	0	0.0	0.0095	0.0562	0
MYCN	1	1	0	0	0.0	0.0	0.0559	0
FGFR4	3	3	0	0	0.0	0.0188	0.0631	0
TSC1	3	3	0	0	0.0	0.016	0.0725	0
HGF	3	3	0	0	0.0	0.0076	0.0744	0
TSHR	1	1	0	0	0.0	0.0	0.0709	0
EPHA5	2	2	0	0	0.0	0.0033	0.0661	0
GRIN2A	4	4	0	0	0.0	0.0149	0.0653	0
EPHA7	5	3	2	0	0.48	0.0008	0.02	0
FYN	4	1	3	0	0.375	0.0001	0.0168	0
PRDM1	5	2	3	0	0.48	0.0005	0.0178	0
SF3B1	2	2	0	0	0.0	0.0008	0.0188	0
ERCC2	1	1	0	0	0.0	0.0	0.005	0
NTRK2	1	1	0	0	0.0	0.0	0.005	0
ERCC5	2	1	1	0	0.5	0.0	0.0858	0
IRS2	6	4	2	0	0.4444	0.0293	0.1041	0
EZH1	1	1	0	0	0.0	0.0	0.005	0
KDM5C	1	1	0	0	0.0	0.0	0.005	0
FAM175A	1	1	0	0	0.0	0.0	0.0801	0
POLE	1	1	0	0	0.0	0.0	0.0756	0
PPM1D	2	2	0	0	0.0	0.0048	0.0759	0
FBXW7	2	2	0	0	0.0	0.0082	0.0926	0
NOTCH2	2	2	0	0	0.0	0.0063	0.0862	0
WHSC1L1	6	1	5	0	0.2778	0.0005	0.0312	0
INPP4B	1	1	0	0	0.0	0.0	0.0655	0
KDR	2	1	1	0	0.5	0.0	0.0067	0
STK11	3	2	1	0	0.4444	0.0	0.0753	0
PPP6C	1	1	0	0	0.0	0.0	0.0888	0
PRKD1	3	1	2	0	0.4444	0.0	0.0114	0
RB1	5	4	1	0	0.32	0.0066	0.0839	0
PDCD1	1	1	0	0	0.0	0.0	0.0438	0
PMS1	2	2	0	0	0.0	0.0048	0.0482	0
PHOX2B	1	1	0	0	0.0	0.0	0.0517	0
PIK3CG	1	1	0	0	0.0	0.0	0.005	0
SMAD2	1	1	0	0	0.0	0.0	0.005	0
PLK2	1	1	0	0	0.0	0.0	0.0075	0
PPP2R1A	2	2	0	0	0.0	0.0001	0.0112	0
PTEN	4	3	1	0	0.375	0.0143	0.0533	0
PMS2	1	0	1	0	0.0	0.0	0.008	0
POT1	1	1	0	0	0.0	0.0	0.005	0
WT1	1	1	0	0	0.0	0.0	0.005	0
PRDM14	2	1	1	0	0.5	0.0	0.0208	0
TCF7L2	2	1	1	0	0.5	0.0	0.0481	0
YES1	1	1	0	0	0.0	0.0	0.0716	0
SDHB	1	1	0	0	0.0	0.0	0.005	0
U2AF1	1	1	0	0	0.0	0.0	0.005	0
TSC2	1	1	0	0	0.0	0.0	0.0744	0
SMO	1	1	0	0	0.0	0.0	0.005	0
TP63	1	1	0	0	0.0	0.0	0.005	0
NF2	1	1	0	0	0.0	0.0	0.0657	0
SPEN	1	1	0	0	0.0	0.0	0.0067	0
KLF4	1	1	0	0	0.0	0.0	0.0128	0
NCOA3	1	1	0	0	0.0	0.0	0.0774	0
LATS2	1	1	0	0	0.0	0.0	0.0659	0
LATS1	1	1	0	0	0.0	0.0	0.005	0
SETD2	1	1	0	0	0.0	0.0	0.005	0
LYN	2	1	1	0	0.5	0.0	0.005	0
PREX2	2	1	1	0	0.5	0.0	0.005	0
MDC1	5	5	0	0	0.0	0.1253	0.1185	0
SDHC	2	0	2	0	0.0	0.0002	0.018	0
SETDB1	3	1	2	0	0.4444	0.0002	0.018	0
MED12	1	1	0	0	0.0	0.0	0.005	0
RUNX1	1	1	0	0	0.0	0.0	0.005	0
MLL	1	1	0	0	0.0	0.0	0.005	0
ZFHX3	1	1	0	0	0.0	0.0	0.005	0
MLL2	1	1	0	0	0.0	0.0	0.0067	0
NEGR1	2	2	0	0	0.0	0.0001	0.01	0
MLL3	2	2	0	0	0.0	0.0048	0.0505	0
PBRM1	1	1	0	0	0.0	0.0	0.0458	0
MSH6	1	1	0	0	0.0	0.0	0.005	0
PIK3R1	1	1	0	0	0.0	0.0	0.005	0
PGR	1	1	0	0	0.0	0.0	0.0707	0
TCEB1	1	0	1	0	0.0	0.0	0.0217	0
NBN	2	1	1	0	0.5	0.0	0.02	0
EPAS1	2	2	0	0	0.0	0.0	0.0715	0
DUSP4	1	0	1	0	0.0	0.0	0.0179	0
FGFR1	4	0	4	0	0.0	0.0	0.0278	0
BRCA2	1	1	0	0	0.0	0.0	0.005	0
CD79B	2	1	1	0	0.5	0.0	0.0705	0
XPO1	2	2	0	0	0.0	0.0231	0.0716	0
B2M	2	2	0	0	0.0	0.0	0.0742	0
PAK7	3	3	0	0	0.0	0.005	0.0814	0
TP53	7	7	0	0	0.0	0.0257	0.0863	0
BCL2	1	0	1	0	0.0	0.0	0.0831	0
CDKN2B	9	0	9	0	0.0	0.0242	0.1001	0
BRCA1	2	2	0	0	0.0	0.0048	0.0667	0
IRS1	1	1	0	0	0.0	0.0	0.0587	0
RPTOR	2	2	0	0	0.0	0.0095	0.077	0
REL	1	1	0	0	0.0	0.0	0.005	0
TERT	7	3	4	0	0.4898	0.0003	0.0223	0
