Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	TP53	0.5152	0.2375	0.6111
0	PTPRD	0.3636	0.1278	0.5593
0	DIS3	0.3333	0.159	0.5789
0	NF1	0.3333	0.1331	0.5789
0	GRIN2A	0.2727	0.2206	0.5238
0	HGF	0.2727	0.0551	0.5238
0	MDC1	0.2727	0.0685	0.5238
0	EPHA3	0.2424	0.0411	0.4853
0	PAK7	0.2121	0.0323	0.4783
0	PARK2	0.2121	0.0174	0.5
0	MTOR	0.1818	0.0407	0.4783
0	PDGFRA	0.1818	0.0235	0.4783
0	RB1	0.1818	0.0631	0.4521
0	EPHA5	0.1515	0.0261	0.4286
0	TSC1	0.1515	0.0468	0.4714
0	MAP2K4	0.1212	0.0005	0.4583
0	PIK3C3	0.1212	0.0129	0.4342
0	TSHR	0.1212	0.0097	0.4231
0	ATR	0.0909	0.0	0.4521
0	CBL	0.0909	0.0038	0.4024
0	INPPL1	0.0909	0.0108	0.4714
0	NOTCH2	0.0909	0.0005	0.4125
0	PGR	0.0909	0.0	0.4459
0	B2M	0.0606	0.0	0.4024
0	CUL3	0.0606	0.0007	0.3929
0	EPAS1	0.0606	0.0	0.3587
0	KMT2C	0.0606	0.0	0.4286
0	PPP6C	0.0606	0.0	0.4286
0	ROS1	0.0606	0.0606	0.3548
0	FAM175A	0.0303	0.0	0.3626
0	FGFR3	0.0303	0.0	0.3708
0	PHOX2B	0.0303	0.0	0.264
0	SRSF2	0.0303	0.0	0.3474
0	YES1	0.0303	0.0	0.3143
1	FAT1	0.3913	0.5158	0.575
1	PTPRT	0.3043	0.3485	0.5111
1	AXIN2	0.2609	0.1443	0.4259
1	CIC	0.2174	0.1014	0.434
1	KMT2B	0.2174	0.1377	0.451
1	FGFR4	0.1739	0.0171	0.3898
1	PARP1	0.1739	0.0277	0.377
1	PPM1D	0.1739	0.0903	0.4259
1	RPTOR	0.1739	0.1765	0.434
1	CEBPA	0.1304	0.0303	0.3898
