Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	7/140	3.252577940746082e-09	2.657356177589549e-06	EPHA5;PTPRD;PDGFRA;YES1;ROS1;FGFR3;EPHA3
0	GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	6/94	1.1089184059603406e-08	4.529931688347991e-06	RB1;EPHA5;PDGFRA;ROS1;FGFR3;EPHA3
0	GO_Molecular_Function_2021	protein tyrosine kinase activity (GO:0004713)	6/108	2.5626604661003013e-08	1.955803439229561e-06	EPHA5;PDGFRA;YES1;ROS1;FGFR3;EPHA3
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	9/451	4.4270727776395146e-08	2.0187451866036184e-05	RB1;PDGFRA;YES1;HGF;NF1;CBL;FGFR3;TP53;MTOR
0	GO_Molecular_Function_2021	transmembrane receptor protein kinase activity (GO:0019199)	5/60	5.334009379716986e-08	1.955803439229561e-06	EPHA5;PDGFRA;ROS1;FGFR3;EPHA3
0	GO_Molecular_Function_2021	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	5/60	5.334009379716986e-08	1.955803439229561e-06	EPHA5;PDGFRA;ROS1;FGFR3;EPHA3
0	KEGG_2021_Human	Pathways in cancer	9/531	1.7778987867120006e-07	2.311268422725601e-05	NOTCH2;RB1;PDGFRA;EPAS1;HGF;CBL;FGFR3;TP53;MTOR
0	GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	8/404	2.96477448965628e-07	8.074069193497269e-05	EPHA5;PDGFRA;YES1;HGF;CBL;ROS1;FGFR3;EPHA3
0	GO_Biological_Process_2021	regulation of actin cytoskeleton organization (GO:0032956)	5/91	4.37479997102834e-07	8.935528940825385e-05	NOTCH2;EPHA5;PDGFRA;MTOR;EPHA3
0	Reactome_Pathways_2024	Disease	15/2131	6.359635070183343e-07	0.00014499967960018023	NOTCH2;RB1;MAP2K4;PDGFRA;YES1;CUL3;HGF;CBL;MTOR;NF1;PIK3C3;B2M;FGFR3;TP53;ATR
0	Reactome_Pathways_2024	RNA Polymerase II Transcription	12/1360	1.252534166465074e-06	0.00019038519330269124	NOTCH2;RB1;MDC1;GRIN2A;YES1;KMT2C;SRSF2;TSC1;PGR;TP53;MTOR;ATR
0	GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	5/114	1.3431258829123222e-06	0.00021946676926787347	EPHA5;PDGFRA;ROS1;FGFR3;EPHA3
0	KEGG_2021_Human	Human cytomegalovirus infection	6/225	1.9599358643648782e-06	0.00012739583118371708	RB1;PDGFRA;TSC1;B2M;TP53;MTOR
0	Reactome_Pathways_2024	Signaling by Receptor Tyrosine Kinases	8/536	2.4804940304642803e-06	0.000282776319472928	PDGFRA;YES1;HGF;PGR;PIK3C3;CBL;FGFR3;MTOR
0	Reactome_Pathways_2024	Generic Transcription Pathway	11/1230	3.4976242765633368e-06	0.0003189833340225763	NOTCH2;RB1;MDC1;GRIN2A;YES1;KMT2C;TSC1;PGR;TP53;MTOR;ATR
0	GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	6/253	3.858886005499479e-06	0.0005254516444155123	EPHA5;PDGFRA;HGF;ROS1;FGFR3;EPHA3
0	KEGG_2021_Human	Breast cancer	5/147	4.694555710031701e-06	0.0001429378861392579	NOTCH2;RB1;PGR;TP53;MTOR
0	GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	5/148	4.852824304672357e-06	0.0005663939224167594	EPHA5;PDGFRA;ROS1;FGFR3;EPHA3
0	GO_Biological_Process_2021	cellular response to decreased oxygen levels (GO:0036294)	4/69	5.563613593606419e-06	0.0005681840382470555	EPAS1;TSC1;TP53;MTOR
0	KEGG_2021_Human	Central carbon metabolism in cancer	4/70	5.893727936484645e-06	0.0001429378861392579	PDGFRA;FGFR3;TP53;MTOR
0	KEGG_2021_Human	Cellular senescence	5/156	6.275367578608478e-06	0.0001429378861392579	RB1;TSC1;TP53;MTOR;ATR
0	KEGG_2021_Human	Melanoma	4/72	6.597133206427288e-06	0.0001429378861392579	RB1;PDGFRA;HGF;TP53
0	Reactome_Pathways_2024	Gene Expression (Transcription)	12/1615	7.537712323097023e-06	0.0005619225745113487	NOTCH2;RB1;MDC1;GRIN2A;YES1;KMT2C;SRSF2;TSC1;PGR;TP53;MTOR;ATR
0	KEGG_2021_Human	Glioma	4/75	7.76609458273691e-06	0.00014422747082225691	RB1;PDGFRA;TP53;MTOR
