Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of macrophage apoptotic process (GO:2000109)	1/6	0.000599909243874975	0.0077974954600463	0	0	3998.6	29664.54247254577	CDKN2A
GO_Biological_Process_2021	phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	1/8	0.0007998405838081707	0.0077974954600463	0	0	2855.8571428571427	20365.397503539734	PIK3C3
GO_Biological_Process_2021	positive regulation of myeloid cell apoptotic process (GO:0033034)	1/8	0.0007998405838081707	0.0077974954600463	0	0	2855.8571428571427	20365.397503539734	CDKN2A
GO_Biological_Process_2021	positive regulation of smooth muscle cell apoptotic process (GO:0034393)	1/9	0.0008997988691311835	0.0077974954600463	0	0	2498.75	17524.581571772524	CDKN2A
GO_Biological_Process_2021	regulation of smooth muscle cell apoptotic process (GO:0034391)	1/9	0.0008997988691311835	0.0077974954600463	0	0	2498.75	17524.581571772524	CDKN2A
Reactome_2022	RUNX3 Regulates p14-ARF R-HSA-8951936	1/10	0.0009997522177478495	0.0167766823181424	0	0	2221.0	15342.674867192924	CDKN2A
GO_Biological_Process_2021	lipoprotein biosynthetic process (GO:0042158)	1/11	0.0010997006223853	0.0077974954600463	0	0	1998.8	13617.25933461938	PIK3C3
GO_Biological_Process_2021	positive regulation of leukocyte apoptotic process (GO:2000108)	1/11	0.0010997006223853	0.0077974954600463	0	0	1998.8	13617.25933461938	CDKN2A
Reactome_2022	Synthesis Of PIPs At Late Endosome Membrane R-HSA-1660517	1/11	0.0010997006223853	0.0167766823181424	0	0	1998.8	13617.25933461938	PIK3C3
GO_Biological_Process_2021	autophagy of peroxisome (GO:0030242)	1/12	0.001199644077055	0.0077974954600463	0	0	1817.0	12220.65207981443	PIK3C3
GO_Biological_Process_2021	replicative senescence (GO:0090399)	1/12	0.001199644077055	0.0077974954600463	0	0	1817.0	12220.65207981443	CDKN2A
GO_Biological_Process_2021	positive regulation of cellular senescence (GO:2000774)	1/12	0.001199644077055	0.0077974954600463	0	0	1817.0	12220.65207981443	CDKN2A
Reactome_2022	Translation Of Replicase And Assembly Of Replication Transcription Complex R-HSA-9679504	1/12	0.001199644077055	0.0167766823181424	0	0	1817.0	12220.65207981443	PIK3C3
