Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	GO_Molecular_Function_2021	cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861)	2/10	3.3713141681840526e-06	6.068365502731295e-05	CDKN2B;CDKN2A
0	GO_Biological_Process_2021	negative regulation of phosphate metabolic process (GO:0045936)	2/22	1.7278715595310902e-05	0.001155931189535	CDKN2B;CDKN2A
0	GO_Biological_Process_2021	cellular senescence (GO:0090398)	2/27	2.623727537628245e-05	0.001155931189535	CDKN2B;CDKN2A
0	GO_Molecular_Function_2021	protein serine/threonine kinase inhibitor activity (GO:0030291)	2/30	3.250333722969562e-05	0.0002925300350672606	CDKN2B;CDKN2A
0	GO_Biological_Process_2021	negative regulation of cell cycle G1/S phase transition (GO:1902807)	2/35	4.44290689748568e-05	0.001155931189535	CDKN2B;CDKN2A
0	Reactome_Pathways_2024	Oncogene Induced Senescence	2/35	4.44290689748568e-05	0.0024982993204934	CDKN2B;CDKN2A
0	GO_Biological_Process_2021	negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	2/37	4.9717470517636224e-05	0.001155931189535	CDKN2B;CDKN2A
0	GO_Molecular_Function_2021	cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	2/44	7.055399376325239e-05	0.00042332396257951433	CDKN2B;CDKN2A
0	Reactome_Pathways_2024	G1 Phase	2/47	8.059030066108036e-05	0.0024982993204934	CDKN2B;CDKN2A
0	Reactome_Pathways_2024	Cyclin D Associated Events in G1	2/47	8.059030066108036e-05	0.0024982993204934	CDKN2B;CDKN2A
0	GO_Biological_Process_2021	regulation of G1/S transition of mitotic cell cycle (GO:2000045)	2/71	0.00018466939611485445	0.0034348507677362	CDKN2B;CDKN2A
0	Reactome_Pathways_2024	Senescence-Associated Secretory Phenotype (SASP)	2/81	0.0002404553354155533	0.0055905865484116	CDKN2B;CDKN2A
0	GO_Biological_Process_2021	regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	2/82	0.0002464338466373958	0.0036014056089693	CDKN2B;CDKN2A
0	GO_Biological_Process_2021	negative regulation of phosphorylation (GO:0042326)	2/86	0.00027107354046006227	0.0036014056089693	CDKN2B;CDKN2A
0	GO_Biological_Process_2021	negative regulation of mitotic cell cycle phase transition (GO:1901991)	2/92	0.00031020679033826466	0.0036061539376823	CDKN2B;CDKN2A
0	Reactome_Pathways_2024	Oxidative Stress Induced Senescence	2/94	0.0003238299215620844	0.0060232365410547	CDKN2B;CDKN2A
0	KEGG_2021_Human	Cell cycle	2/124	0.0005627213564920427	0.0112519549627965	CDKN2B;CDKN2A
0	GO_Biological_Process_2021	regulation of phosphorylation (GO:0042325)	2/125	0.0005717949105969484	0.0059085474095018	CDKN2B;CDKN2A
0	Reactome_Pathways_2024	Mitotic G1 Phase and G1 S Transition	2/139	0.0007063014590670453	0.0109476726155392	CDKN2B;CDKN2A
0	KEGG_2021_Human	Cushing syndrome	2/155	0.0008770408644773522	0.0112519549627965	CDKN2B;CDKN2A
0	KEGG_2021_Human	Cellular senescence	2/156	0.0008883122339049933	0.0112519549627965	CDKN2B;CDKN2A
0	Reactome_Pathways_2024	Cellular Senescence	2/167	0.0010169394827926	0.0116610839462201	CDKN2B;CDKN2A
0	Reactome_Pathways_2024	SUMO E3 Ligases SUMOylate Target Proteins	2/170	0.0010534936635288	0.0116610839462201	CDKN2A;IKBKE
0	Reactome_Pathways_2024	SUMOylation	2/176	0.0011284919947954	0.0116610839462201	CDKN2A;IKBKE
