Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	CYLD	2	0.0006578947368421054	10.0	0.028523763687291103
ABL1	KRAS	2	1.0	-10.0	1.0
ABL1	MED12	2	0.004605263157894736	10.0	0.06032894736842106
ABL1	TP53	2	0.32565789473684204	10.0	0.5153700105969622
AGO2	KEAP1	2	0.06578947368421052	10.0	0.18645622469635628
AGO2	KLF4	2	0.0002192982456140351	10.0	0.017091764468788562
AGO2	KRAS	2	1.0	-10.0	1.0
AGO2	STK11	2	0.10197368421052631	10.0	0.24342921551244273
AKT3	EPHB1	2	0.007671675757685223	5.491853096329675	0.07121973006543998
AKT3	KRAS	4	1.0	-10.0	1.0
AKT3	STK11	2	0.38857782754759235	1.1192989283723445	0.5903930070583349
AKT3	TP53	2	0.7930227937723513	-0.44251823570095095	1.0
ALK	FLT3	2	0.04131008042920706	3.5193741590935796	0.14199587412838227
ALK	KRAS	7	1.0	-10.0	1.0
ALK	MED12	2	0.08064094892441906	2.7484612330040354	0.21174984138505581
ALK	NTRK1	2	0.04131008042920706	3.5193741590935796	0.14199587412838227
ALK	PGR	2	0.0597464250363377	3.0874628412503395	0.17654394766376477
ALK	PIK3CG	2	0.08064094892441906	2.7484612330040354	0.21174984138505581
ALK	STK11	2	0.7267637178051513	-0.27301849440641596	0.9364529216308998
ALK	TP53	6	0.11674485518502176	2.2921807514933104	0.26115982952902006
AMER1	AR	2	0.013325867861142218	5.137503523749935	0.08098555777467359
AMER1	ARAF	2	0.013325867861142218	5.137503523749935	0.08098555777467359
AMER1	ARID1A	2	0.21075657434135167	1.6599245584023783	0.3828690310453831
AMER1	B2M	2	0.013325867861142218	5.137503523749935	0.08098555777467359
AMER1	BRAF	2	0.0597464250363377	3.0874628412503395	0.17654394766376477
AMER1	CDKN2A	2	0.6134142193163072	0.11547721741993588	0.8190434479885914
AMER1	CDKN2Ap14ARF	2	0.4202971240212744	0.7605340653046105	0.617226812782911
AMER1	CDKN2Ap16INK4A	2	0.4202971240212744	0.7605340653046105	0.617226812782911
AMER1	EIF1AX	2	0.013325867861142218	5.137503523749935	0.08098555777467359
AMER1	EPHA3	2	0.0597464250363377	3.0874628412503395	0.17654394766376477
AMER1	EPHA7	2	0.04131008042920706	3.5193741590935796	0.14199587412838227
AMER1	ERBB4	2	0.08064094892441906	2.7484612330040354	0.21174984138505581
AMER1	ESR1	2	0.004605263157894737	10.0	0.06032894736842106
AMER1	FAT1	2	0.15474545218519703	2.017921907997262	0.3240584158549686
AMER1	HGF	2	0.013325867861142218	5.137503523749935	0.08098555777467359
AMER1	IL7R	2	0.0597464250363377	3.0874628412503395	0.17654394766376477
AMER1	INPPL1	2	0.04131008042920706	3.5193741590935796	0.14199587412838227
AMER1	KMT2B	2	0.013325867861142218	5.137503523749935	0.08098555777467359
AMER1	KRAS	7	1.0	-10.0	1.0
AMER1	MED12	3	0.0075101153161342355	3.994353436858858	0.07121973006543998
AMER1	MTOR	3	0.004437391214945795	4.426264754702098	0.06032894736842106
AMER1	RBM10	2	0.10364840219444126	2.4681488357384063	0.24342921551244273
AMER1	STK11	2	0.7267637178051513	-0.27301849440641596	0.9364529216308998
AMER1	TP53	6	0.11674485518502176	2.2921807514933104	0.26115982952902006
APC	CDKN2A	3	0.28340196751315483	1.1057946640225966	0.4743922837901119
APC	CDKN2Ap14ARF	3	0.13683946775226505	1.7747870596011734	0.2933340590544009
APC	CDKN2Ap16INK4A	3	0.13683946775226505	1.7747870596011734	0.2933340590544009
