Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	AKT2	1.0	0.4111	1.0
0	CCNE1	0.8333	0.0778	0.8571
0	CEBPA	0.6667	0.0222	0.75
0	KMT2B	0.6667	0.0222	0.75
0	AXL	0.5	0.0	0.6667
0	TP53	0.5	0.0	0.6667
0	ARID5B	0.1667	0.0	0.5455
1	BRCA2	0.3148	0.3908	0.5192
1	EP300	0.2037	0.2095	0.4576
1	ATM	0.1852	0.0993	0.4286
1	DOT1L	0.1852	0.1372	0.4286
1	ARID1A	0.1481	0.0854	0.4091
1	INSR	0.1481	0.0592	0.439
1	RB1	0.1481	0.0892	0.3803
1	RBM10	0.1481	0.1199	0.4219
1	BCOR	0.1296	0.1357	0.4426
1	KMT2C	0.1296	0.0709	0.3942
1	RNF43	0.1296	0.1585	0.3699
1	SMARCA4	0.1296	0.0624	0.3942
1	TSC2	0.1111	0.0241	0.4091
1	ZFHX3	0.1111	0.1067	0.4426
1	GNAS	0.0926	0.0571	0.3885
1	FLT1	0.0741	0.0055	0.3724
1	AMER1	0.0556	0.0127	0.3214
1	AR	0.0556	0.0086	0.3253
1	ERBB2	0.0556	0.0727	0.3253
1	KDM5C	0.0556	0.0114	0.3506
1	LATS2	0.0556	0.0128	0.3576
1	NKX2-1	0.0556	0.0734	0.3529
1	NOTCH3	0.0556	0.037	0.3375
1	NTRK3	0.0556	0.0025	0.3576
1	PIK3CA	0.0556	0.0066	0.3051
1	PTPRT	0.0556	0.006	0.3506
1	ARID1B	0.037	0.0027	0.3724
1	AXIN1	0.037	0.0	0.36
1	CDK12	0.037	0.037	0.2488
1	DNMT1	0.037	0.0	0.3121
1	FLT3	0.037	0.0	0.3462
1	FOXO1	0.037	0.0	0.3553
1	NOTCH2	0.037	0.0039	0.3103
1	POLD1	0.037	0.0	0.3724
1	PTPRD	0.037	0.004	0.3051
1	RARA	0.037	0.0	0.3214
1	SETD2	0.037	0.0	0.3176
1	TGFBR2	0.037	0.037	0.2741
1	BRCA1	0.0185	0.0	0.2842
1	CARM1	0.0185	0.0	0.2842
1	CSF1R	0.0185	0.0	0.3086
1	FOXA1	0.0185	0.0	0.2621
1	GNA11	0.0185	0.0	0.3017
1	INPPL1	0.0185	0.0	0.2535
1	JAK3	0.0185	0.0	0.2714
1	LATS1	0.0185	0.0	0.2769
1	MGA	0.0185	0.0	0.2769
1	NFKBIA	0.0185	0.0	0.2621
1	NOTCH1	0.0185	0.0	0.3017
1	PALB2	0.0185	0.0	0.3017
1	PIK3CD	0.0185	0.0	0.2714
1	PTPRS	0.0185	0.0	0.216
1	RET	0.0185	0.0	0.2
1	RPTOR	0.0185	0.0	0.2919
1	SRC	0.0185	0.0	0.2983
2	CDKN2Ap14ARF	0.8571	0.1908	0.875
2	CDKN2Ap16INK4A	0.8571	0.2088	0.875
2	CDKN2B	0.7857	0.1282	0.8235
2	CDKN2A	0.5714	0.0333	0.7
2	SMAD4	0.5714	0.1505	0.7
2	TEK	0.5	0.0077	0.6667
2	MTAP	0.4286	0.0	0.6364
2	KDM6A	0.3571	0.0147	0.6087
2	CRLF2	0.2143	0.0022	0.5385
2	GATA3	0.2143	0.0	0.5385
2	HIST1H3C	0.2143	0.0	0.5385
2	RYBP	0.2143	0.0	0.5385
2	STAG2	0.2143	0.0	0.5385
2	XIAP	0.2143	0.0	0.5385
2	NCOA3	0.0714	0.0	0.4242
3	CCND2	0.4	0.7048	0.5357
3	RECQL4	0.3333	0.5143	0.4688
3	CDKN1B	0.2667	0.0	0.3846
3	ETV6	0.2667	0.0	0.3846
3	KDM5A	0.2667	0.0	0.3846
3	MYC	0.2667	0.1333	0.3571
3	RAD52	0.2667	0.0	0.3846
3	AGO2	0.2	0.0	0.3488
3	KMT2D	0.2	0.4476	0.4412
3	RAD21	0.2	0.0	0.3488
3	ANKRD11	0.1333	0.2476	0.3409
3	PREX2	0.1333	0.1333	0.2679
3	FAT1	0.0667	0.0	0.3125
3	FLCN	0.0667	0.0	0.3261
3	NBN	0.0667	0.0	0.2679
3	TET1	0.0667	0.0	0.2143
4	BCL2	1.0	0.0	1.0
4	MALT1	1.0	0.0	1.0
4	PIK3C3	1.0	0.0	1.0
4	PMAIP1	1.0	0.0	1.0
4	SMAD2	1.0	0.0	1.0
6	RICTOR	0.7	0.8667	0.7692
6	TERT	0.3	0.2	0.5263
6	DDR2	0.2	0.2	0.5
6	DROSHA	0.2	0.0	0.4762
6	IL7R	0.2	0.0	0.4762
6	JAK2	0.2	0.2	0.5
6	SDHA	0.2	0.0	0.5
6	ERF	0.1	0.0	0.3448
6	MCL1	0.1	0.0	0.4545
6	SDHC	0.1	0.0	0.3448
6	TRIP13	0.1	0.0	0.3571
8	CCND1	1.0	0.0	1.0
8	FGF19	1.0	0.0	1.0
8	FGF3	1.0	0.0	1.0
8	FGF4	1.0	0.0	1.0
10	CDK4	1.0	0.0	1.0
10	ERBB3	1.0	0.0	1.0
10	GLI1	1.0	0.0	1.0
11	HIST1H2BD	1.0	0.0	1.0
11	HIST1H3D	1.0	0.0	1.0
11	HIST1H3E	1.0	0.0	1.0
11	HIST1H3F	1.0	0.0	1.0
11	HIST1H3G	1.0	0.0	1.0
12	CRKL	1.0	0.0	1.0
12	LZTR1	1.0	0.0	1.0
12	MAPK1	1.0	0.0	1.0
14	FGFR1	1.0	1.0	1.0
14	NSD3	0.5	0.0	0.6667
14	WHSC1L1	0.5	0.0	0.6667
