Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	6/474	2.558269334294269e-07	8.49345418985697e-05	0	0	35.74908424908425	542.6269367123421	CCND2;TERT;ERBB3;GLI1;FGF3;DDR2
KEGG_2021_Human	Pathways in cancer	6/531	4.986130605738465e-07	3.191123587672618e-05	0	0	31.77469387755102	461.096419837349	CCND2;TERT;EP300;BRCA2;GLI1;FGF3
GO_Biological_Process_2021	establishment of protein localization to telomere (GO:0070200)	2/5	3.895617501090222e-06	0.0006466725051809768	0	0	1211.1515151515152	15085.689488070864	TERT;BRCA2
Reactome_2022	Signaling By Receptor Tyrosine Kinases R-HSA-9006934	5/496	1.0035768335596375e-05	0.0023383340221939	0	0	24.81670061099796	285.62421758496885	ERBB3;EP300;PIK3C3;RICTOR;FGF3
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	4/253	1.6343761095832106e-05	0.001808709561272	0	0	35.23070058009817	388.3009554746096	CCND2;ERBB3;FGF3;DDR2
GO_Biological_Process_2021	establishment of protein localization to chromosome (GO:0070199)	2/13	3.029746908559031e-05	0.0025146899341039	0	0	330.1818181818182	3435.359022086964	TERT;BRCA2
Reactome_2022	PI3K/AKT Signaling In Cancer R-HSA-2219528	3/105	3.870343315352935e-05	0.0030563817562837	0	0	58.48529411764706	594.1861559969922	ERBB3;RICTOR;FGF3
Reactome_2022	Disease R-HSA-1643685	7/1736	3.9352554801937205e-05	0.0030563817562837	0	0	12.319838056680162	124.95949722982874	CCND2;ERBB3;EP300;PIK3C3;RICTOR;BRCA2;FGF3
GO_Biological_Process_2021	protein localization to chromosome, telomeric region (GO:0070198)	2/15	4.07552681828681e-05	0.0027061498073424	0	0	279.35664335664336	2823.716123913941	TERT;BRCA2
Reactome_2022	Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202	4/424	0.00012233309593338604	0.0071259028381197	0	0	20.705820105820106	186.5338247946138	ERBB3;EP300;RICTOR;FGF3
GO_Biological_Process_2021	positive regulation of protein kinase B signaling (GO:0051897)	3/161	0.00013800564627649116	0.007435943824946	0	0	37.65	334.64133084117816	ERBB3;RICTOR;FGF3
GO_Biological_Process_2021	beta-catenin-TCF complex assembly (GO:1904837)	2/29	0.0001567819481163321	0.007435943824946	0	0	134.41077441077442	1177.5263669114754	TERT;EP300
GO_Biological_Process_2021	positive regulation of cell cycle G1/S phase transition (GO:1902808)	2/35	0.00022926240241596203	0.0095143897002624	0	0	109.93939393939394	921.3628505376656	CCND2;GLI1
GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	3/207	0.0002894902458887823	0.0106789735150084	0	0	29.09264705882353	237.0291113035397	ERBB3;RICTOR;FGF3
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	4/546	0.00032278286662777906	0.0107163911720422	0	0	15.945059450594506	128.17484991232507	ERBB3;EP300;RICTOR;FGF3
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	3/219	0.0003415406720594045	0.0109293015059009	0	0	27.459722222222226	219.18470517790172	CCND2;TERT;EP300
Reactome_2022	PI3K Cascade R-HSA-109704	2/44	0.0003633083772215516	0.0111728736274617	0	0	86.34199134199135	683.8508960409997	PIK3C3;FGF3
Reactome_2022	Signal Transduction R-HSA-162582	7/2465	0.00037299547227028656	0.0111728736274617	0	0	8.319975589910497	65.6774236934167	TERT;ERBB3;EP300;PIK3C3;RICTOR;GLI1;FGF3
Reactome_2022	IRS-mediated Signaling R-HSA-112399	2/47	0.0004146987327513304	0.0111728736274617	0	0	80.57373737373737	627.5049024340954	PIK3C3;FGF3
GO_Biological_Process_2021	telomere organization (GO:0032200)	2/47	0.0004146987327513304	0.0119677872326894	0	0	80.57373737373737	627.5049024340954	RECQL4;TERT
GO_Biological_Process_2021	histone H4 acetylation (GO:0043967)	2/48	0.0004325706228682951	0.0119677872326894	0	0	78.81818181818181	610.5071105483304	EP300;BRCA2
Reactome_2022	IRS-related Events Triggered By IGF1R R-HSA-2428928	2/51	0.0004884058068615739	0.0111728736274617	0	0	73.98144712430427	564.0614766653882	PIK3C3;FGF3
Reactome_2022	IGF1R Signaling Cascade R-HSA-2428924	2/52	0.0005077559934978225	0.0111728736274617	0	0	72.49818181818182	549.935650796121	PIK3C3;FGF3
GO_Biological_Process_2021	positive regulation of signal transduction (GO:0009967)	3/252	0.0005148767659566537	0.0127859143847936	0	0	23.780722891566263	180.0577165870464	TERT;EP300;GLI1
Reactome_2022	Insulin Receptor Signaling Cascade R-HSA-74751	2/53	0.0005274747206097833	0.0111728736274617	0	0	71.07308377896614	536.4176760073683	PIK3C3;FGF3
