Cluster_ID	Gene
0	AMER1
0	AR
0	ARID1A
0	ARID1B
0	ATM
0	AXIN1
0	BCOR
0	BRCA1
0	BRCA2
0	CARM1
0	CDK12
0	CSF1R
0	DNMT1
0	DOT1L
0	EP300
0	ERBB2
0	FAT1
0	FLT1
0	FLT3
0	FOXA1
0	FOXO1
0	GNA11
0	GNAS
0	INPPL1
0	INSR
0	JAK3
0	KDM5C
0	KMT2C
0	KMT2D
0	LATS1
0	LATS2
0	MGA
0	NFKBIA
0	NKX2-1
0	NOTCH1
0	NOTCH2
0	NOTCH3
0	NTRK3
0	PALB2
0	PIK3CA
0	PIK3CD
0	POLD1
0	PTPRS
0	PTPRT
0	RARA
0	RB1
0	RBM10
0	RET
0	RNF43
0	RPTOR
0	SETD2
0	SMARCA4
0	SRC
0	TGFBR2
0	TSC2
0	ZFHX3
1	ANKRD11
1	BCL2
1	CRLF2
1	KDM6A
1	MALT1
1	NCOA3
1	PIK3C3
1	PMAIP1
1	PREX2
1	SMAD2
1	SMAD4
1	TET1
2	AGO2
2	CCND2
2	CDKN1B
2	ETV6
2	FLCN
2	KDM5A
2	MYC
2	NBN
2	RAD21
2	RAD52
2	RECQL4
3	CDKN2A
3	CDKN2Ap14ARF
3	CDKN2Ap16INK4A
3	CDKN2B
3	GATA3
3	HIST1H3C
3	MTAP
3	RYBP
3	STAG2
3	TEK
3	XIAP
4	ERF
4	IL7R
4	JAK2
4	PTPRD
4	RICTOR
4	SDHA
4	TERT
4	TRIP13
5	AKT2
5	ARID5B
5	AXL
5	CCNE1
5	CEBPA
5	KMT2B
5	TP53
6	HIST1H2BD
6	HIST1H3D
6	HIST1H3E
6	HIST1H3F
6	HIST1H3G
7	CCND1
7	FGF19
7	FGF3
7	FGF4
8	CDK4
8	ERBB3
8	GLI1
9	CRKL
9	LZTR1
9	MAPK1
10	FGFR1
10	NSD3
10	WHSC1L1
11	EIF1AX
11	ZRSR2
12	BRIP1
12	PPM1D
13	CCND3
13	VEGFA
14	CSF3R
14	STK40
15	FGFR3
15	WHSC1
16	H3F3C
16	RECQL
17	NOTCH4
17	STK19
