Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Pathways in cancer	21/531	3.08950264342268e-19	5.746474916766184e-17	RB1;RET;NOTCH2;CSF1R;NOTCH3;NOTCH1;FLT3;AXIN1;PIK3CD;BRCA2;FOXO1;TGFBR2;NFKBIA;AR;PIK3CA;GNA11;ERBB2;RARA;GNAS;EP300;JAK3
0	Reactome_Pathways_2024	Generic Transcription Pathway	26/1230	2.7919191183916466e-17	1.9040888387431036e-14	RB1;RET;NOTCH2;CSF1R;KMT2D;NOTCH3;NOTCH1;SRC;KMT2C;BRCA1;FOXO1;RPTOR;ERBB2;EP300;ZFHX3;MGA;AXIN1;TSC2;ARID1A;ARID1B;SMARCA4;AR;CARM1;RARA;ATM;CDK12
0	Reactome_Pathways_2024	Signal Transduction	34/2613	8.259261248943841e-17	2.8164080858898495e-14	FOXA1;RET;AMER1;NOTCH2;KMT2D;NOTCH3;DNMT1;FLT1;PTPRS;NOTCH1;FLT3;SRC;PIK3CD;FOXO1;RPTOR;GNA11;ERBB2;EP300;JAK3;RNF43;INSR;NTRK3;AXIN1;TSC2;TGFBR2;SMARCA4;LATS1;NFKBIA;AR;LATS2;PIK3CA;CARM1;RARA;GNAS
0	Reactome_Pathways_2024	RNA Polymerase II Transcription	26/1360	3.1970368287438493e-16	7.267930390677683e-14	RB1;RET;NOTCH2;CSF1R;KMT2D;NOTCH3;NOTCH1;SRC;KMT2C;BRCA1;FOXO1;RPTOR;ERBB2;EP300;ZFHX3;MGA;AXIN1;TSC2;ARID1A;ARID1B;SMARCA4;AR;CARM1;RARA;ATM;CDK12
0	Reactome_Pathways_2024	Gene Expression (Transcription)	27/1615	1.8619973916094245e-15	3.174705552694069e-13	RB1;RET;NOTCH2;CSF1R;KMT2D;NOTCH3;DNMT1;NOTCH1;SRC;KMT2C;BRCA1;FOXO1;RPTOR;ERBB2;EP300;ZFHX3;MGA;AXIN1;TSC2;ARID1A;ARID1B;SMARCA4;AR;CARM1;RARA;ATM;CDK12
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	16/451	6.25263152226981e-14	8.52858939637602e-12	RB1;AMER1;RNF43;DNMT1;NOTCH1;FLT3;SRC;NTRK3;AXIN1;PIK3CD;TSC2;FOXO1;TGFBR2;PIK3CA;ERBB2;EP300
0	GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	22/1183	2.454481392749406e-13	3.053374852580261e-10	FOXA1;RET;KMT2D;ZFHX3;NOTCH1;KMT2C;DOT1L;AXIN1;BRCA1;BRCA2;ARID1A;ARID1B;FOXO1;SMARCA4;RPTOR;NFKBIA;AR;ERBB2;RARA;NKX2-1;EP300;ATM
0	GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	15/496	4.275763564274262e-12	2.2895067801862447e-09	RET;CSF1R;FLT1;FLT3;SRC;INSR;PIK3CD;TGFBR2;LATS1;LATS2;ERBB2;RARA;ATM;CDK12;JAK3
0	GO_Molecular_Function_2021	transmembrane receptor protein kinase activity (GO:0019199)	8/60	5.127697740075292e-12	9.076024999933265e-10	RET;CSF1R;FLT1;FLT3;INSR;NTRK3;ERBB2;TGFBR2
0	GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	10/140	5.521318601735317e-12	2.2895067801862447e-09	PTPRT;RET;CSF1R;FLT1;FLT3;SRC;INSR;NTRK3;ERBB2;JAK3
