Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	CDKN2A	3	0.11379231606282078	10.0	0.26367517118104744
ABL1	KDM6A	2	0.01485787355084519	4.721698837512895	0.061651998355721424
ABL1	KRAS	3	1.0	-10.0	1.0
ABL1	SMAD4	2	0.21320879595040906	2.2453942466980634	0.40600999254030046
ABL1	TP53	3	0.5613264160396266	10.0	0.7746931749019529
ACVR1	CDKN2A	2	0.4778116128556198	1.0891937293294554	0.6924359965312027
ACVR1	KRAS	3	1.0	-10.0	1.0
ACVR1	TP53	3	0.5613264160396266	10.0	0.7746931749019529
AGO2	ARID1A	3	0.1723095256226045	1.2366128479776788	0.353113594664876
AGO2	ARID2	2	0.061478758031129885	2.5464883529065205	0.17420597902272147
AGO2	ATM	2	0.1985343729318674	1.4329594072761063	0.39326451985386524
AGO2	CCND2	2	0.014950609601262444	3.8146968973987723	0.061651998355721424
AGO2	CCND3	2	0.025033342890385467	3.349762303084088	0.09113389903212002
AGO2	CDKN2A	5	0.9523215224621812	-1.0722448844698798	1.0
AGO2	CDKN2Ap14ARF	4	0.45445751772214155	0.30647969579869855	0.6924359965312027
AGO2	CDKN2Ap16INK4A	4	0.47413695047129906	0.2634976246661211	0.6924359965312027
AGO2	CDKN2B	3	0.684174021139104	-0.20226530301469908	0.8778495860646081
AGO2	FAT1	2	0.014950609601262444	3.8146968973987723	0.061651998355721424
AGO2	FLT1	2	0.037205870662076035	2.9963149531921442	0.12148855726392174
AGO2	KMT2D	2	0.16958933317634922	1.5925756848310313	0.3503113741154851
AGO2	KRAS	16	1.0	-10.0	1.0
AGO2	MDM2	2	0.01806336432606208	3.64293990200757	0.07189398736741126
AGO2	MTAP	2	0.2431410169660629	1.2198299072686263	0.44603371162461264
AGO2	MYC	12	5.21802971063231e-12	5.680119733761496	6.427960539855184e-10
AGO2	NOTCH1	2	0.014950609601262444	3.8146968973987723	0.061651998355721424
AGO2	PIK3CA	2	0.11490872569542429	1.970252656605948	0.26453807354342285
AGO2	RAD21	7	8.065623252084742e-11	7.266786540694901	8.603331468890391e-09
AGO2	RB1	2	0.09594413094452833	2.1393759380827055	0.23598863875671844
AGO2	RECQL4	8	6.376643012324405e-11	6.450294824065174	7.287592014085034e-09
AGO2	RNF43	2	0.31115321027965936	0.9446150967235701	0.5254302231635409
AGO2	ROS1	2	0.007222953451938146	4.498250867527825	0.039823514299164614
AGO2	SMAD4	6	0.3326461304686467	0.509674373416919	0.551823544582514
AGO2	TP53	16	0.04472014485757852	10.0	0.13786557181527095
AGO2	ZFHX3	2	0.014950609601262444	3.8146968973987723	0.061651998355721424
AKT1	CDKN2A	2	0.4778116128556198	1.0891937293294554	0.6924359965312027
