Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
CDKN2Ap16INK4A	20	1	18	1	0.185	0.1324	0.2081
BRCA2	19	13	6	0	0.4321	0.2229	0.2691
CDKN2Ap14ARF	18	0	17	1	0.1049	0.0238	0.1886
CDKN2B	18	1	16	1	0.2037	0.0208	0.1882
SMAD4	15	6	9	0	0.48	0.1404	0.2118
CDKN2A	12	4	7	1	0.5417	0.0033	0.1838
DOT1L	12	8	3	1	0.4861	0.063	0.2404
EP300	11	10	1	0	0.1653	0.0842	0.231
INSR	10	7	3	0	0.42	0.0647	0.2526
RICTOR	9	2	7	0	0.3457	0.0686	0.2104
RBM10	8	6	2	0	0.375	0.0508	0.2027
RB1	8	4	4	0	0.5	0.0961	0.2212
RECQL4	8	2	6	0	0.375	0.0651	0.2036
SMARCA4	8	5	3	0	0.4688	0.0458	0.2282
CCND2	8	3	5	0	0.4688	0.0793	0.2207
BCL2	8	0	8	0	0.0	0.0067	0.1841
MALT1	8	0	8	0	0.0	0.0067	0.1841
BCOR	8	6	2	0	0.375	0.1233	0.2567
HIST1H2BD	7	0	7	0	0.0	0.0076	0.1687
HIST1H3E	7	0	7	0	0.0	0.0076	0.1687
TEK	7	1	6	0	0.2449	0.0026	0.1687
AKT2	7	1	6	0	0.2449	0.0466	0.1993
HIST1H3G	7	0	7	0	0.0	0.0076	0.1687
KDM6A	6	3	3	0	0.5	0.0124	0.1702
NOTCH3	6	5	1	0	0.2778	0.0965	0.2373
ZFHX3	6	6	0	0	0.0	0.0629	0.2473
MTAP	6	0	6	0	0.0	0.0007	0.1831
RNF43	6	6	0	0	0.0	0.0554	0.2162
SMAD2	6	1	5	0	0.2778	0.0016	0.1702
DDR2	5	2	3	0	0.48	0.0211	0.1936
AR	5	2	3	0	0.48	0.0189	0.2036
JAK2	5	3	2	0	0.48	0.0554	0.2233
TSC2	5	5	0	0	0.0	0.0079	0.2212
PMAIP1	5	0	5	0	0.0	0.0016	0.1702
KDM5C	5	3	2	0	0.48	0.0113	0.2081
KMT2D	5	4	1	0	0.32	0.0898	0.2373
ERBB2	5	3	2	0	0.48	0.0232	0.1824
AMER1	5	1	4	0	0.32	0.1114	0.2392
CCNE1	5	0	5	0	0.0	0.0328	0.2006
ETV6	4	0	4	0	0.0	0.0	0.1753
PIK3C3	4	0	4	0	0.0	0.0	0.1514
HIST1H3D	4	0	4	0	0.0	0.0	0.1408
HIST1H3F	4	0	4	0	0.0	0.0	0.1408
CEBPA	4	0	4	0	0.0	0.0	0.1753
MYC	4	0	4	0	0.0	0.0117	0.1646
NKX2-1	4	1	3	0	0.375	0.0233	0.2049
