Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
AGO2	3	0	3	0	0.0	0.0	0.1643	0
DNMT1	4	2	2	0	0.5	0.0002	0.2001	0
CSF3R	1	0	1	0	0.0	0.0	0.0071	0
STK40	1	0	1	0	0.0	0.0	0.0071	0
DDR2	5	2	3	0	0.48	0.0211	0.1936	0
NOTCH3	6	5	1	0	0.2778	0.0965	0.2373	0
RICTOR	9	2	7	0	0.3457	0.0686	0.2104	0
SDHC	1	0	1	0	0.0	0.0	0.1569	0
DOT1L	12	8	3	1	0.4861	0.063	0.2404	0
MAPK1	2	0	2	0	0.0	0.0	0.0143	0
GNA11	2	1	1	0	0.5	0.0	0.1863	0
NOTCH1	1	1	0	0	0.0	0.0	0.1863	0
DROSHA	2	0	2	0	0.0	0.0	0.1789	0
IL7R	3	0	3	0	0.0	0.0269	0.1985	0
EIF1AX	1	0	1	0	0.0	0.0	0.1393	0
GNAS	3	3	0	0	0.0	0.0139	0.1944	0
CRLF2	1	0	1	0	0.0	0.0	0.1412	0
LZTR1	2	0	2	0	0.0	0.0	0.0143	0
CDK4	2	0	2	0	0.0	0.0	0.0143	0
HIST1H2BD	7	0	7	0	0.0	0.0076	0.1687	0
GLI1	2	0	2	0	0.0	0.0	0.0143	0
CDKN2A	12	4	7	1	0.5417	0.0033	0.1838	0
KDM6A	6	3	3	0	0.5	0.0124	0.1702	0
MTAP	6	0	6	0	0.0	0.0007	0.1831	0
TEK	7	1	6	0	0.2449	0.0026	0.1687	0
GATA3	3	0	3	0	0.0	0.0	0.1669	0
HIST1H3C	3	0	3	0	0.0	0.0	0.1669	0
CRKL	2	0	2	0	0.0	0.0	0.0143	0
HIST1H3E	7	0	7	0	0.0	0.0076	0.1687	0
HIST1H3G	7	0	7	0	0.0	0.0076	0.1687	0
RYBP	3	0	3	0	0.0	0.0	0.1669	0
STAG2	2	0	2	0	0.0	0.0	0.1666	0
XIAP	3	0	3	0	0.0	0.0	0.1669	0
ZRSR2	4	0	4	0	0.0	0.0117	0.1675	0
LATS2	2	2	0	0	0.0	0.0074	0.1948	0
PTPRT	2	2	0	0	0.0	0.0	0.1834	0
RARA	3	2	1	0	0.4444	0.0	0.1817	0
PIK3CD	1	1	0	0	0.0	0.0	0.1714	0
NBN	1	0	1	0	0.0	0.0	0.1373	0
NCOA3	1	1	0	0	0.0	0.0	0.1687	0
NFKBIA	1	0	1	0	0.0	0.0	0.1643	0
NOTCH2	1	1	0	0	0.0	0.0	0.1629	0
NOTCH4	1	0	1	0	0.0	0.0	0.0071	0
STK19	1	0	1	0	0.0	0.0	0.0071	0
TET1	1	1	0	0	0.0	0.0	0.1733	0
ERF	1	1	0	0	0.0	0.0	0.1759	0
PTPRS	1	1	0	0	0.0	0.0	0.1425	0
TGFBR2	2	2	0	0	0.0	0.0117	0.1721	0
SETD2	1	1	0	0	0.0	0.0	0.1629	0
SRC	1	1	0	0	0.0	0.0	0.1629	0
SDHA	2	0	2	0	0.0	0.0	0.1684	0
TERT	3	0	3	0	0.0	0.0117	0.1687	0
MGA	1	1	0	0	0.0	0.0	0.1746	0
MCL1	1	0	1	0	0.0	0.0	0.1678	0
LATS1	1	1	0	0	0.0	0.0	0.1746	0
JAK3	1	1	0	0	0.0	0.0	0.1714	0
INPPL1	1	1	0	0	0.0	0.0	0.1845	0
HIST1H3F	4	0	4	0	0.0	0.0	0.1408	0
HIST1H3D	4	0	4	0	0.0	0.0	0.1408	0
RECQL	1	0	1	0	0.0	0.0	0.0071	0
H3F3C	1	0	1	0	0.0	0.0	0.0071	0
PIK3CA	1	1	0	0	0.0	0.0	0.1574	0
FOXA1	1	0	1	0	0.0	0.0	0.1643	0
FLCN	2	1	1	0	0.5	0.0	0.1634	0
WHSC1	1	0	1	0	0.0	0.0	0.0071	0
FGFR3	1	0	1	0	0.0	0.0	0.0071	0
WHSC1L1	1	0	1	0	0.0	0.0	0.0095	0
NSD3	1	0	1	0	0.0	0.0	0.0095	0
FGFR1	2	0	2	0	0.0	0.0001	0.0143	0
ERBB3	2	0	2	0	0.0	0.0	0.0143	0
RET	1	1	0	0	0.0	0.0	0.127	0
MYC	4	0	4	0	0.0	0.0117	0.1646	0
BRCA2	19	13	6	0	0.4321	0.2229	0.2691	0
KDM5C	5	3	2	0	0.48	0.0113	0.2081	0
RBM10	8	6	2	0	0.375	0.0508	0.2027	0
ARID1A	4	3	1	0	0.375	0.0148	0.1772	0
FAT1	3	2	1	0	0.4444	0.0106	0.1897	0
RPTOR	1	1	0	0	0.0	0.0	0.146	0
ARID1B	1	1	0	0	0.0	0.0	0.2031	0
ATM	4	4	0	0	0.0	0.0143	0.2001	0
PREX2	4	4	0	0	0.0	0.075	0.2192	0
INSR	10	7	3	0	0.42	0.0647	0.2526	0
NTRK3	3	2	0	1	0.4444	0.001	0.1886	0
PALB2	1	1	0	0	0.0	0.0	0.1612	0
AXIN1	1	1	0	0	0.0	0.0	0.2031	0
BCL2	8	0	8	0	0.0	0.0067	0.1841	0
CDKN2Ap14ARF	18	0	17	1	0.1049	0.0238	0.1886	0
SMAD4	15	6	9	0	0.48	0.1404	0.2118	0
KMT2D	5	4	1	0	0.32	0.0898	0.2373	0
ERBB2	5	3	2	0	0.48	0.0232	0.1824	0
CEBPA	4	0	4	0	0.0	0.0	0.1753	0
RAD21	3	0	3	0	0.0	0.0	0.1643	0
RECQL4	8	2	6	0	0.375	0.0651	0.2036	0
AKT2	7	1	6	0	0.2449	0.0466	0.1993	0
ARID5B	1	0	1	0	0.0	0.0	0.1607	0
AXL	3	0	3	0	0.0	0.0	0.1749	0
CCNE1	5	0	5	0	0.0	0.0328	0.2006	0
KMT2B	3	0	3	0	0.0	0.0	0.1749	0
ANKRD11	3	3	0	0	0.0	0.0701	0.2172	0
RB1	8	4	4	0	0.5	0.0961	0.2212	0
TP53	1	1	0	0	0.0	0.0	0.1607	0
AMER1	5	1	4	0	0.32	0.1114	0.2392	0
AR	5	2	3	0	0.48	0.0189	0.2036	0
BCOR	8	6	2	0	0.375	0.1233	0.2567	0
PTPRD	3	0	3	0	0.0	0.1183	0.2212	0
CDKN2Ap16INK4A	20	1	18	1	0.185	0.1324	0.2081	0
CDKN2B	18	1	16	1	0.2037	0.0208	0.1882	0
MALT1	8	0	8	0	0.0	0.0067	0.1841	0
CCND2	8	3	5	0	0.4688	0.0793	0.2207	0
PPM1D	1	0	1	0	0.0	0.0	0.0071	0
CARM1	1	0	1	0	0.0	0.0	0.1789	0
CCND1	3	0	3	0	0.0	0.0	0.0214	0
FGF19	3	0	3	0	0.0	0.0	0.0214	0
FGF3	3	0	3	0	0.0	0.0	0.0214	0
FGF4	3	0	3	0	0.0	0.0	0.0214	0
CDKN1B	4	0	4	0	0.0	0.0	0.1753	0
PIK3C3	4	0	4	0	0.0	0.0	0.1514	0
ETV6	4	0	4	0	0.0	0.0	0.1753	0
KDM5A	4	0	4	0	0.0	0.0	0.1753	0
RAD52	4	0	4	0	0.0	0.0	0.1753	0
CCND3	1	0	1	0	0.0	0.0	0.0071	0
VEGFA	1	0	1	0	0.0	0.0	0.0071	0
CDK12	3	2	1	0	0.4444	0.0117	0.1499	0
BRIP1	1	0	1	0	0.0	0.0	0.0071	0
ZFHX3	6	6	0	0	0.0	0.0629	0.2473	0
TSC2	5	5	0	0	0.0	0.0079	0.2212	0
SMARCA4	8	5	3	0	0.4688	0.0458	0.2282	0
POLD1	2	2	0	0	0.0	0.0	0.2167	0
NKX2-1	4	1	3	0	0.375	0.0233	0.2049	0
JAK2	5	3	2	0	0.48	0.0554	0.2233	0
FOXO1	2	0	2	0	0.0	0.0	0.2109	0
FLT3	2	0	2	0	0.0	0.0	0.2036	0
FLT1	3	1	2	0	0.4444	0.0005	0.209	0
EP300	11	10	1	0	0.1653	0.0842	0.231	0
KMT2C	3	3	0	0	0.0	0.0117	0.2049	0
BRCA1	1	1	0	0	0.0	0.0	0.1643	0
RNF43	6	6	0	0	0.0	0.0554	0.2162	0
CSF1R	1	1	0	0	0.0	0.0	0.196	0
SMAD2	6	1	5	0	0.2778	0.0016	0.1702	0
PMAIP1	5	0	5	0	0.0	0.0016	0.1702	0
TRIP13	1	0	1	0	0.0	0.0	0.1402	0
