Source	Term_Name	P_Value	Term_ID	Intersection_Size
GO:BP	positive regulation of macromolecule metabolic process	8.849201885516895e-08	GO:0010604	14
GO:BP	positive regulation of metabolic process	3.0692215589401906e-07	GO:0009893	14
GO:BP	regulation of cell population proliferation	1.8930375158070303e-05	GO:0042127	8
GO:BP	regulation of multicellular organismal development	6.367922602367264e-05	GO:2000026	7
GO:BP	cell population proliferation	7.819377609025985e-05	GO:0008283	8
GO:BP	regulation of primary metabolic process	8.064012940252933e-05	GO:0080090	14
GO:BP	positive regulation of protein metabolic process	0.00010032920824009912	GO:0051247	7
GO:BP	negative regulation of cellular process	0.00014606907186956575	GO:0048523	14
GO:BP	positive regulation of biosynthetic process	0.00016969920797062576	GO:0009891	11
GO:BP	regulation of multicellular organismal process	0.00020455571413735348	GO:0051239	8
GO:BP	negative regulation of biological process	0.00023823023188210445	GO:0048519	14
GO:BP	regulation of catabolic process	0.00026581948725950714	GO:0009894	7
GO:BP	positive regulation of cellular process	0.00029095522042124557	GO:0048522	14
GO:BP	epithelium development	0.0003700880584535975	GO:0060429	6
GO:BP	negative regulation of canonical Wnt signaling pathway	0.000488923744318758	GO:0090090	4
GO:BP	positive regulation of biological process	0.0006288155923483072	GO:0048518	14
GO:BP	regulation of protein metabolic process	0.0006325725620449013	GO:0051246	8
GO:BP	regulation of response to stimulus	0.0007438672963498152	GO:0048583	10
KEGG	FoxO signaling pathway	0.0008332668259081391	KEGG:04068	3
GO:BP	embryo development	0.0008414049390645683	GO:0009790	6
GO:BP	circulatory system development	0.0008862211718640454	GO:0072359	6
GO:BP	regulation of macromolecule metabolic process	0.0010073402254732456	GO:0060255	12
GO:BP	negative regulation of Wnt signaling pathway	0.00118097776254182	GO:0030178	4
GO:BP	regulation of signal transduction	0.001512310549906517	GO:0009966	9
GO:BP	regulation of cell differentiation	0.0015563290522687633	GO:0045595	6
GO:BP	reproductive structure development	0.0017429793304946427	GO:0048608	5
GO:BP	positive regulation of signal transduction	0.001753979486488192	GO:0009967	7
GO:BP	positive regulation of macromolecule biosynthetic process	0.0018007036018693873	GO:0010557	10
GO:BP	reproductive system development	0.0018549381350178955	GO:0061458	5
GO:BP	protein autophosphorylation	0.002161919952315945	GO:0046777	4
GO:BP	positive regulation of developmental process	0.0022731557776784817	GO:0051094	6
GO:BP	regulation of metabolic process	0.002643287732657722	GO:0019222	12
GO:BP	gamete generation	0.002685081111956071	GO:0007276	5
GO:BP	regulation of developmental process	0.0028667974552693968	GO:0050793	7
GO:BP	animal organ development	0.003493992483180338	GO:0048513	10
GO:BP	positive regulation of catabolic process	0.003544520151964256	GO:0009896	5
GO:BP	positive regulation of cell communication	0.004205376573525546	GO:0010647	7
GO:BP	positive regulation of signaling	0.0042212633024886785	GO:0023056	7
GO:BP	growth	0.004389453552790807	GO:0040007	5
