Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	KDM5C	0.6667	0.2268	0.7297
0	RBM10	0.6667	0.293	0.75
0	ARAF	0.5926	0.1171	0.6923
0	GATA1	0.4815	0.0382	0.6429
0	BCOR	0.4444	0.0713	0.6136
0	RAD52	0.4444	0.0509	0.6279
0	RECQL	0.4074	0.0426	0.6136
0	EIF1AX	0.3704	0.0069	0.6
0	CCND2	0.3333	0.0341	0.5745
0	CRLF2	0.3333	0.0027	0.5625
0	FGFR4	0.3333	0.0211	0.587
0	KDM5A	0.3333	0.019	0.54
0	KDM6A	0.3333	0.0021	0.5625
0	CDKN1B	0.2963	0.0097	0.4909
0	ZRSR2	0.2963	0.0	0.551
0	BTK	0.2222	0.015	0.5192
0	ETV6	0.2222	0.0	0.4219
0	H3F3C	0.2222	0.0	0.4219
0	ERCC2	0.1111	0.0	0.4821
0	MAPK3	0.1111	0.0	0.4821
0	XIAP	0.1111	0.0741	0.4655
0	AKT1	0.0741	0.0009	0.4426
0	ALB	0.0741	0.0	0.4355
0	E2F3	0.0741	0.0	0.4576
0	EIF4E	0.037	0.0	0.4286
0	HIST1H3E	0.037	0.0	0.4355
0	SH2D1A	0.037	0.0	0.3214
0	STK40	0.037	0.0	0.4355
1	ASXL1	0.375	0.4125	0.4324
1	RET	0.375	0.5417	0.3902
1	IGF1R	0.3125	0.6	0.4848
1	DNMT3B	0.25	0.0667	0.3333
1	MAP3K1	0.1875	0.125	0.3902
1	TOP1	0.1875	0.0542	0.3265
1	BCL2L1	0.125	0.0	0.32
1	IDH2	0.125	0.5	0.4444
1	LZTR1	0.125	0.0	0.3721
1	SRC	0.125	0.0	0.2581
1	BAP1	0.0625	0.0	0.2857
1	CCDC6	0.0625	0.0	0.2857
1	CYP19A1	0.0625	0.0	0.2857
1	KIF5B	0.0625	0.0	0.2857
1	PIK3R1	0.0625	0.0	0.2857
1	POT1	0.0625	0.0	0.3333
1	ZNRF3	0.0625	0.0	0.2857
2	PTPRD	0.5251	0.0625	0.6679
2	EPHA3	0.5196	0.0352	0.6679
2	ERBB4	0.5196	0.0382	0.6654
2	NTRK3	0.5084	0.0341	0.663
2	EPHB1	0.486	0.0305	0.6533
2	FAT1	0.4637	0.0405	0.637
2	PDGFRA	0.4581	0.0289	0.637
2	TP53	0.4581	0.0359	0.6393
2	NF1	0.4413	0.0635	0.6259
2	ZFHX3	0.419	0.039	0.6172
2	KMT2D	0.4134	0.039	0.6109
2	EPHA7	0.3911	0.0171	0.6088
2	HGF	0.3911	0.0202	0.6068
2	PIK3CG	0.3743	0.0285	0.6068
2	NOTCH4	0.3687	0.0226	0.5987
2	TET1	0.3631	0.0109	0.5987
2	AMER1	0.3408	0.0152	0.585
2	BRCA1	0.3408	0.009	0.5967
2	ARID1B	0.3296	0.0176	0.5927
2	CSF1R	0.3073	0.013	0.5831
2	INPP4B	0.3017	0.011	0.5719
2	MDC1	0.3017	0.0069	0.5774
2	MGA	0.2961	0.0256	0.5701
2	PAK7	0.2905	0.0072	0.5701
2	NCOR1	0.2737	0.0074	0.5701
2	NOTCH3	0.2737	0.0124	0.5629
2	TBX3	0.2737	0.0053	0.5647
2	FLT3	0.2682	0.0055	0.5559
2	MTOR	0.2682	0.0063	0.5665
2	INPPL1	0.2626	0.0069	0.5559
2	KDR	0.2626	0.0073	0.5665
2	POLE	0.2626	0.0072	0.5611
2	ATR	0.257	0.0088	0.5647
2	DIS3	0.257	0.0052	0.5611
2	PGR	0.257	0.0058	0.5576
2	TET2	0.257	0.0079	0.5594
2	TSHR	0.257	0.0046	0.5576
2	DNMT3A	0.2514	0.0049	0.5629
2	NOTCH2	0.2514	0.0068	0.5559
2	NTRK2	0.2458	0.0058	0.5508
2	RASA1	0.2346	0.0174	0.5525
2	BRD4	0.2291	0.0056	0.5359
2	ABL1	0.2235	0.0015	0.5474
2	FLT4	0.2235	0.006	0.5474
2	MYCN	0.2235	0.0031	0.5441
2	PARK2	0.2235	0.0038	0.5457
2	EP300	0.2179	0.0106	0.5312
2	KMT2C	0.2179	0.0085	0.5359
2	AXIN2	0.2123	0.0046	0.5491
2	CSF3R	0.2123	0.0016	0.5424
2	MLL2	0.2123	0.0038	0.5392
2	NOTCH1	0.2123	0.0062	0.5457
2	SMO	0.2123	0.0054	0.5424
2	AR	0.2067	0.0054	0.5392
2	CTCF	0.2067	0.0131	0.5441
2	FANCA	0.2067	0.0044	0.5359
2	KIT	0.2067	0.0042	0.5392
2	PARP1	0.2067	0.004	0.5457
2	CIC	0.2011	0.004	0.5327
2	KMT2A	0.1955	0.0031	0.5249
2	SETD2	0.1899	0.0151	0.5265
2	BRAF	0.1844	0.0026	0.5203
2	WHSC1	0.1844	0.002	0.5265
2	MLH1	0.1788	0.0022	0.5359
2	APC	0.1732	0.0047	0.5343
2	ARID1A	0.1732	0.0064	0.5188
2	FUBP1	0.1676	0.0017	0.5234
2	ASXL2	0.162	0.0017	0.528
2	BRIP1	0.162	0.0033	0.528
2	SPRED1	0.162	0.0015	0.528
2	WT1	0.162	0.001	0.5265
2	INPP4A	0.1564	0.001	0.5219
2	LATS1	0.1564	0.002	0.5159
2	ERCC5	0.1508	0.0009	0.5219
2	ESR1	0.1508	0.0013	0.5219
2	FBXW7	0.1508	0.0018	0.5188
2	NEGR1	0.1508	0.0032	0.5234
2	BARD1	0.1453	0.0013	0.5114
2	CUL3	0.1453	0.0024	0.5173
2	EZH2	0.1453	0.0042	0.5188
2	MYOD1	0.1453	0.0011	0.5173
2	PBRM1	0.1453	0.001	0.5234
2	RPTOR	0.1453	0.0015	0.5173
2	RUNX1	0.1453	0.0042	0.5188
2	FGFR3	0.1397	0.0118	0.5042
2	IRF4	0.1397	0.0009	0.5203
2	PTEN	0.1397	0.0047	0.5085
2	SHQ1	0.1397	0.0075	0.5085
2	MED12	0.1341	0.0089	0.4972
2	NSD1	0.1285	0.0013	0.5042
2	XPO1	0.1285	0.0009	0.5071
2	MET	0.1229	0.0074	0.4918
