Cluster_ID	Gene
0	ABL1
0	ACVR1
0	AKT3
0	AMER1
0	APC
0	AR
0	ARID1A
0	ARID1B
0	ARID2
0	ASXL2
0	ATM
0	ATR
0	ATRX
0	AXIN2
0	B2M
0	BABAM1
0	BAP1
0	BARD1
0	BBC3
0	BLM
0	BRAF
0	BRCA1
0	BRD4
0	BRIP1
0	CASP8
0	CBFB
0	CBL
0	CCDC6
0	CD276
0	CD79B
0	CDC73
0	CDH1
0	CDK6
0	CENPA
0	CHEK1
0	CIC
0	CSDE1
0	CSF1R
0	CSF3R
0	CTCF
0	CUL3
0	CXCR4
0	CYLD
0	DIS3
0	DNAJB1
0	DNMT1
0	DNMT3A
0	EGFL7
0	EP300
0	EPHA3
0	EPHA7
0	EPHB1
0	ERBB4
0	ERCC2
0	ERCC3
0	ERCC4
0	ERCC5
0	ESR1
0	EZH2
0	FAM175A
0	FANCA
0	FAT1
0	FBXW7
0	FLT3
0	FLT4
0	FUBP1
0	GAB1
0	GATA2
0	GSK3B
0	H3F3B
0	HGF
0	HIST1H1C
0	HIST1H2BD
0	HIST1H3A
0	HIST1H3B
0	HIST1H3C
0	HIST1H3D
0	HIST1H3F
0	HIST1H3G
0	HIST1H3H
0	HIST1H3I
0	HLA-C
0	HOXB13
0	HRAS
0	IGF1
0	INHA
0	INPP4A
0	INPP4B
0	INPPL1
0	IRF4
0	IRS2
0	JUN
0	KDR
0	KIF5B
0	KIT
0	KLF5
0	KMT2A
0	KMT2C
0	KMT2D
0	KNSTRN
0	LATS1
0	LMO1
0	MDC1
0	MED12
0	MET
0	MGA
0	MITF
0	MLH1
0	MLL
0	MLL2
0	MLL3
0	MRE11A
0	MST1R
0	MTOR
0	MUTYH
0	MYCL
0	MYCN
0	MYOD1
0	NCOR1
0	NEGR1
0	NF1
0	NOTCH1
0	NOTCH2
0	NOTCH3
0	NOTCH4
0	NRAS
0	NTRK2
0	NTRK3
0	PAK7
0	PALB2
0	PARK2
0	PARP1
0	PBRM1
0	PDGFRA
0	PDGFRB
0	PGR
0	PIK3CG
0	PIK3R2
0	PLK2
0	POLE
0	PPARG
0	PPP2R1A
0	PPP6C
0	PRDM1
0	PRKN
0	PTEN
0	PTPN11
0	PTPRD
0	PTPRT
0	RAD50
0	RASA1
0	RB1
0	REST
0	RET
0	RFWD2
0	RHEB
0	RHOA
0	RNF43
0	RPS6KA4
0	RPTOR
0	RUNX1
0	RXRA
0	SESN3
0	SETD2
0	SF3B1
0	SH2B3
0	SHQ1
0	SMARCD1
0	SMO
0	SPRED1
0	SRSF2
0	STAT5A
0	STAT5B
0	STK19
0	SUZ12
0	TAP2
0	TBX3
0	TET1
0	TET2
0	TGFBR1
0	TGFBR2
0	TMPRSS2
0	TNFRSF14
0	TP53
0	TP53BP1
0	TRAF2
0	TSC1
0	TSHR
0	WHSC1
0	WT1
0	XPO1
0	XRCC2
0	YES1
0	ZFHX3
0	ZNRF3
1	ALK
1	AXIN1
1	BRCA2
1	CALR
1	CARM1
1	CCND2
1	CDK8
1	CDKN1B
1	CDKN2C
1	CHEK2
1	CREBBP
1	CTR9
1	CYSLTR2
1	DAXX
1	DICER1
1	DOT1L
1	EML4
1	EPHA5
1	ETV6
1	FAM46C
1	FGFR2
1	FH
1	FLT1
1	FOXO1
1	FOXP1
1	GNA11
1	GRIN2A
1	H3F3C
1	HLA-A
1	HLA-B
1	INSR
1	IRS1
1	KDM5A
1	KEAP1
1	KRAS
1	LATS2
1	MAP2K1
1	MAP2K2
1	MAP3K1
1	MPL
1	MSI1
1	NF2
1	NTHL1
1	PDCD1
1	PDPK1
1	PIK3C2G
1	PIK3C3
1	PIK3CD
1	PIK3R1
1	POLD1
1	PPM1D
1	PTCH1
1	PTPRS
1	RAD52
1	RAD54L
1	RECQL
1	RYBP
1	SDHB
1	SERPINB3
1	SETD8
1	SLX4
1	SMARCA4
1	SOCS1
1	SOX9
1	SPEN
1	STAG2
1	STK11
1	SYK
1	TCF3
1	TMEM127
1	TNFAIP3
1	TRAF7
1	TSC2
1	U2AF1
1	VTCN1
2	AKT2
2	AXL
2	BCL6
2	CCND1
2	CCNE1
2	CD79A
2	CEBPA
2	DCUN1D1
2	EED
2	EIF4A2
2	EPCAM
2	ERF
2	ERRFI1
2	FANCC
2	FGF19
2	FGF3
2	FGF4
2	FGFR3
2	FOXL2
2	GAB2
2	ICOSLG
2	JAK3
2	KMT2B
2	MAP3K13
2	MEF2B
2	MLL4
2	MSH2
2	MSH6
2	MYD88
2	NFE2L2
2	NUP93
2	PAK1
2	PHOX2B
2	PIK3CA
2	PIK3CB
2	PRKCI
2	RAD51D
2	REL
2	RPS6KB2
2	SDHAF2
2	SDHD
2	SLFN11
2	SMYD3
2	SOX2
2	STAT3
2	SUFU
2	TACC3
2	TAP1
2	TCF7L2
2	TP63
2	UPF1
2	WWTR1
3	ASXL1
3	AURKA
3	BCL10
3	BCL2L1
3	CCND3
3	CDK12
3	CDKN1A
3	CRKL
3	DNMT3B
3	DROSHA
3	EPAS1
3	ERBB2
3	FAM58A
3	FOXA1
3	GNAS
3	IDH2
3	IGF1R
3	IGF2
3	IL7R
3	MAPK1
3	MAPKAP1
3	MAX
3	MEN1
3	MSI2
3	MYCL1
3	NCOA3
3	NFKBIA
3	NKX2-1
3	PIK3R3
3	PIM1
3	PLCG2
3	POT1
3	PRKD1
3	RAD51B
3	RARA
3	RICTOR
3	RTEL1
3	RTEL1-TNFRSF6B
3	SDHA
3	SMARCB1
3	SMARCE1
3	SOS1
3	SRC
3	TERT
3	TOP1
3	TRIP13
3	VEGFA
4	AGO2
4	AKT1
4	BCL2
4	CTLA4
4	DUSP4
4	ELOC
4	FGFR1
4	FYN
4	GATA3
4	GREM1
4	HNF1A
4	IDH1
4	LYN
4	MALT1
4	MSH3
4	MYC
4	NBN
4	NKX3-1
4	NSD3
4	PMAIP1
4	PMS1
4	PNRC1
4	PRDM14
4	PREX2
4	PTP4A1
4	RAD21
4	RECQL4
4	SCG5
4	SESN1
4	SHOC2
4	SMAD2
4	SMAD4
4	SOX17
4	TCEB1
4	WHSC1L1
5	ALB
5	ARAF
5	BCOR
5	BTK
5	CD74
5	CRLF2
5	CYP19A1
5	E2F3
5	EIF1AX
5	EIF4E
5	ERG
5	EZH1
5	FGFR4
5	GATA1
5	HIST1H3E
5	KDM5C
5	KDM6A
5	LZTR1
5	MAPK3
5	NPM1
5	NSD1
5	RBM10
5	ROS1
5	SDC4
5	SESN2
5	SH2D1A
5	SLC34A2
5	STK40
5	XIAP
5	ZRSR2
6	ARID5B
6	BIRC3
6	CARD11
