Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Pathways in cancer	51/531	3.605098023738145e-36	7.21019604747629e-34	RB1;RET;GSK3B;CSF3R;FLT3;FLT4;PTEN;BBC3;CASP8;CDH1;AKT3;EP300;HRAS;PDGFRB;PDGFRA;HGF;MITF;TRAF2;AXIN2;RHOA;TGFBR1;RUNX1;TGFBR2;AR;SMO;KIT;PPARG;TP53;MET;NOTCH2;CSF1R;NOTCH3;NOTCH1;NOTCH4;CXCR4;PIK3R2;CBL;NRAS;RXRA;ABL1;STAT5A;STAT5B;JUN;BRAF;IGF1;MLH1;ESR1;MTOR;CDK6;APC;CCDC6
0	Reactome_Pathways_2024	Generic Transcription Pathway	67/1230	1.1833670791907228e-32	1.26028593933812e-29	RB1;RET;MDC1;GSK3B;PTEN;BRCA1;PRDM1;BBC3;MED12;RPTOR;XPO1;SESN3;PPP2R1A;AKT3;CHEK1;EP300;ARID2;LMO1;PBRM1;PARP1;TSC1;ARID1A;ARID1B;RUNX1;AR;NCOR1;KIT;PPARG;PGR;TP53;MET;NOTCH2;CSF1R;KMT2D;NOTCH3;SMARCD1;BLM;NOTCH1;CBFB;KMT2A;KMT2C;NOTCH4;GATA2;BRIP1;RXRA;ABL1;HIST1H3G;BARD1;SUZ12;JUN;ZFHX3;YES1;PLK2;MGA;PTPN11;MLH1;ESR1;MTOR;RAD50;REST;CDK6;ERCC3;RHEB;ERCC2;ATM;ATR;EZH2
0	Reactome_Pathways_2024	RNA Polymerase II Transcription	69/1360	8.275057833784254e-32	4.4064682964901146e-29	RB1;RET;MDC1;GSK3B;PTEN;BRCA1;PRDM1;CDC73;BBC3;MED12;RPTOR;XPO1;SESN3;PPP2R1A;AKT3;CHEK1;EP300;ARID2;LMO1;PBRM1;PARP1;TSC1;ARID1A;ARID1B;RUNX1;AR;NCOR1;KIT;SRSF2;PPARG;PGR;TP53;MET;NOTCH2;CSF1R;KMT2D;NOTCH3;SMARCD1;BLM;NOTCH1;CBFB;KMT2A;KMT2C;NOTCH4;GATA2;BRIP1;RXRA;ABL1;HIST1H3G;BARD1;SUZ12;JUN;ZFHX3;YES1;PLK2;MGA;PTPN11;MLH1;ESR1;MTOR;RAD50;REST;CDK6;ERCC3;RHEB;ERCC2;ATM;ATR;EZH2
0	Reactome_Pathways_2024	Gene Expression (Transcription)	74/1615	1.7978468109640435e-31	5.886217978138025e-29	RB1;RET;MDC1;GSK3B;PTEN;BRCA1;PRDM1;CDC73;BBC3;MED12;RPTOR;XPO1;SESN3;PPP2R1A;AKT3;CHEK1;EP300;ARID2;LMO1;PBRM1;PARP1;DNMT3A;TET2;TET1;TSC1;ARID1A;ARID1B;RUNX1;AR;NCOR1;KIT;SRSF2;PPARG;PGR;TP53;MET;NOTCH2;CSF1R;KMT2D;NOTCH3;SMARCD1;BLM;DNMT1;NOTCH1;CBFB;KMT2A;KMT2C;NOTCH4;GATA2;BRIP1;RXRA;ABL1;HIST1H3G;SF3B1;BARD1;SUZ12;JUN;ZFHX3;YES1;PLK2;MGA;PTPN11;MLH1;ESR1;MTOR;RAD50;REST;CDK6;ERCC3;RHEB;ERCC2;ATM;ATR;EZH2
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	44/451	2.210786095075315e-31	5.886217978138025e-29	RB1;AMER1;GSK3B;DNMT1;NOTCH1;FLT3;PTEN;PIK3R2;IRS2;CBL;NRAS;SPRED1;PPP2R1A;ERBB4;KIF5B;AKT3;KDR;EP300;HRAS;STAT5A;PDGFRB;STAT5B;PDGFRA;RNF43;NTRK2;JUN;YES1;FBXW7;HGF;NTRK3;GAB1;BRAF;PTPN11;ESR1;TGFBR1;MTOR;TGFBR2;NCOR1;APC;IRF4;KIT;NF1;TP53;MET
0	Reactome_Pathways_2024	Disease	83/2131	9.08019504944426e-31	1.9340815455316278e-28	RB1;GSK3B;FLT3;PTEN;IRS2;BRCA1;MED12;SPRED1;XPO1;CASP8;PPP2R1A;CDH1;KIF5B;AKT3;KDR;EP300;B2M;HRAS;PDGFRB;PDGFRA;RNF43;PARP1;FBXW7;HGF;ATRX;DNMT3A;GAB1;HLA-C;TRAF2;TGFBR1;RUNX1;TGFBR2;NCOR1;IRF4;KIT;TP53;MET;AMER1;NOTCH2;NOTCH3;BLM;DNMT1;NOTCH1;CUL3;NOTCH4;CXCR4;TMPRSS2;PIK3R2;CBL;CD79B;BRIP1;NRAS;ERBB4;ABL1;HIST1H3G;BRD4;MUTYH;BARD1;STAT5A;SUZ12;STAT5B;NTRK2;JUN;YES1;PLK2;XRCC2;NTRK3;BRAF;PTPN11;MLH1;ESR1;PALB2;MTOR;RAD50;REST;CDK6;APC;ERCC3;ERCC2;NF1;ATM;ATR;EZH2
0	Reactome_Pathways_2024	Signal Transduction	89/2613	5.249968287608971e-29	9.318693710505924e-27	RET;GSK3B;FLT3;FLT4;PTEN;IRS2;PRDM1;CDC73;PIK3CG;RPTOR;SPRED1;XPO1;CASP8;PPP2R1A;CDH1;KIF5B;AKT3;CHEK1;KDR;EP300;HRAS;PDGFRB;PDGFRA;RNF43;PARP1;FBXW7;HGF;GAB1;TSC1;TRAF2;AXIN2;RHOA;TGFBR1;RUNX1;TGFBR2;LATS1;AR;NCOR1;MYCN;SMO;MYOD1;RASA1;KIT;PPARG;PGR;TP53;MET;AMER1;NOTCH2;KMT2D;NOTCH3;DNMT1;NOTCH1;CBFB;CUL3;NOTCH4;CXCR4;PIK3R2;MST1R;CBL;CENPA;DNAJB1;NRAS;RXRA;ZNRF3;ERBB4;ABL1;HIST1H3G;SH2B3;STAT5A;SUZ12;STAT5B;NTRK2;JUN;YES1;NTRK3;BRAF;PTPN11;IGF1;ESR1;MTOR;TSHR;CYLD;REST;APC;RHEB;NF1;INHA;EZH2
0	GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	57/1183	9.491287484253232e-25	2.2826546399629024e-21	RET;BRCA1;CTCF;RPS6KA4;MED12;RPTOR;CDH1;CHEK1;EP300;HRAS;ACVR1;LMO1;PARP1;HGF;ATRX;TET2;TET1;MITF;ARID1A;ARID1B;TGFBR1;RUNX1;AR;MYCN;IRF4;MYOD1;PPARG;PGR;TP53;MET;PRKN;KMT2D;SMARCD1;BLM;NOTCH1;KMT2A;KMT2C;NOTCH4;PIK3R2;GATA2;RXRA;ERBB4;ABL1;TP53BP1;BRD4;STAT5B;JUN;ZFHX3;IGF1;ESR1;MTOR;TBX3;REST;KLF5;WT1;ASXL2;ATM
0	Reactome_Pathways_2024	Signaling by Receptor Tyrosine Kinases	40/536	4.5600945794379006e-24	6.937858181573376e-22	DNMT1;FLT3;FLT4;PIK3R2;IRS2;MST1R;PRDM1;CBL;NRAS;SPRED1;PPP2R1A;ERBB4;AKT3;CHEK1;KDR;EP300;HRAS;SH2B3;STAT5A;PDGFRB;STAT5B;PDGFRA;NTRK2;YES1;HGF;NTRK3;GAB1;BRAF;PTPN11;IGF1;ESR1;RHOA;MTOR;REST;NCOR1;MYCN;RASA1;KIT;PGR;MET
0	KEGG_2021_Human	Breast cancer	24/147	1.0448537051348646e-22	1.0448537051348645e-20	RB1;NOTCH2;NOTCH3;GSK3B;JUN;NOTCH1;NOTCH4;FLT4;PTEN;PIK3R2;BRAF;IGF1;BRCA1;AXIN2;ESR1;MTOR;NRAS;CDK6;APC;AKT3;KIT;PGR;TP53;HRAS
