Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
STK11	KEAP1	2	CNA,MUT
PAK7	RECQL	2	CNA,MUT
H3F3C	KRAS	2	CNA,MUT
KEAP1	SMARCA4	2	CNA,MUT
PAK7	KRAS	2	CNA,MUT
U2AF1	KEAP1	2	CNA,MUT
STK11	SMARCA4	2	CNA,MUT
KRAS	RECQL	2	CNA,MUT
KEAP1	EPHA5	1	MUT
STAG2	EPHA5	1	MUT
KRAS	DNMT3B	1	MUT
SOX17	FLT1	1	MUT
FLT1	KEAP1	1	MUT
STAG2	KRAS	1	MUT
KRAS	STK11	1	MUT
PAK7	SMARCA4	1	MUT
FLT1	KRAS	1	MUT
KRAS	ATM	1	MUT
KRAS	SMARCA4	1	MUT
FLT1	EPHA5	1	MUT
U2AF1	KRAS	1	MUT
KRAS	KEAP1	1	MUT
KRAS	EPHA5	1	MUT
H3F3C	RECQL	1	CNA
KRAS	FOXP1	1	MUT
STAG2	SMARCA4	1	MUT
SOX17	KRAS	1	MUT
STK11	ATM	1	MUT
SOX17	EPHA5	1	MUT
STAG2	STK11	1	MUT
