Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
NOTCH3	BRD4	3	CNA,MUT,SV
EPHA3	MAP3K13	3	CNA,MUT,SV
STK11	DOT1L	3	CNA,MUT,SV
ERBB2	CDK12	3	CNA,MUT,SV
SMARCA4	CDKN2Ap14ARF	3	CNA,MUT,SV
POLD1	KEAP1	3	CNA,MUT,SV
PDGFRA	KDR	3	CNA,MUT,SV
LYN	WHSC1L1	2	CNA,MUT
GRIN2A	TSC2	2	CNA,MUT
FGFR1	PIK3C3	2	CNA,MUT
HGF	SCG5	2	CNA,MUT
PIK3CG	MAP3K13	2	CNA,MUT
NF1	H3F3B	2	CNA,MUT
KEAP1	ELF3	2	CNA,MUT
IGF1R	IDH2	2	CNA,MUT
SOX2	EIF4A2	2	CNA,MUT
CDKN2A	IKZF1	2	CNA,MUT
ETV6	CCND2	2	CNA,MUT
IL7R	RB1	2	CNA,MUT
TEK	PDCD1LG2	2	CNA,MUT
MAP3K13	CDKN2A	2	CNA,MUT
PREX2	SOX17	2	CNA,MUT
ARID1B	CDKN2A	2	CNA,MUT
CARD11	RAC1	2	CNA,MUT
NTRK1	TP63	2	CNA,MUT
NCOA3	NKX2-1	2	CNA,MUT
IL7R	RICTOR	2	CNA,MUT
IKBKE	ELF3	2	CNA,MUT
LATS2	CYSLTR2	2	CNA,MUT
ERBB2	RARA	2	CNA,MUT
FANCA	ETV1	2	CNA,MUT
ARAF	EIF1AX	2	CNA,MUT
PTPRS	TAP2	2	CNA,MUT
KIT	MAPK1	2	CNA,MUT
CRLF2	KEAP1	2	CNA,MUT
YES1	SHQ1	2	CNA,MUT
KMT2B	FGFR4	2	CNA,MUT
SPEN	ERCC4	2	CNA,MUT
PIK3C3	SMAD4	2	CNA,MUT
FGFR4	KDM6A	2	CNA,MUT
CEBPA	IL7R	2	CNA,MUT
FLT3	GATA3	2	CNA,MUT
WHSC1L1	MLH1	2	CNA,MUT
CDKN2A	PDCD1LG2	2	CNA,MUT
TP53	PTEN	2	CNA,MUT
JAK2	NCOA3	2	CNA,MUT
FGFR1	BCOR	2	CNA,MUT
IL7R	PIK3C3	2	CNA,MUT
EPAS1	MSH6	2	CNA,MUT
ATR	BCL6	2	CNA,MUT
NTRK3	RASA1	2	CNA,MUT
PTPRD	RBM10	2	CNA,MUT
EIF1AX	GATA1	2	CNA,MUT
CDKN2A	BRCA2	2	CNA,MUT
DNMT3A	ASXL2	2	CNA,MUT
HGF	FGFR1	2	CNA,MUT
RECQL4	HIST1H1C	2	CNA,MUT
YES1	RB1	2	CNA,MUT
ARAF	BCOR	2	CNA,MUT
PIK3CG	SOX9	2	CNA,MUT
CARD11	SESN3	2	CNA,MUT
KDM6A	MED12	2	CNA,MUT
WHSC1	KDR	2	CNA,MUT
BRD4	PTPRS	2	CNA,MUT
RICTOR	MAPKAP1	2	CNA,MUT
ATR	TP63	2	CNA,MUT
ARID5B	GATA3	2	CNA,MUT
KMT2A	TERT	2	CNA,MUT
AKT3	CREBBP	2	CNA,MUT
POLE	PIK3CA	2	CNA,MUT
MYCL1	PIK3R3	2	CNA,MUT
IRF4	NSD1	2	CNA,MUT
PTPRD	TEK	2	CNA,MUT
MRE11A	YAP1	2	CNA,MUT
ALK	CENPA	2	CNA,MUT
AR	BCOR	2	CNA,MUT
PREX2	STK11	2	CNA,MUT
TOP1	GNAS	2	CNA,MUT
DNMT3B	SRC	2	CNA,MUT
NBN	PNRC1	2	CNA,MUT
PREX2	RECQL	2	CNA,MUT
PRDM14	SOX17	2	CNA,MUT
RECQL	KRAS	2	CNA,MUT
EPHA3	DIS3	2	CNA,MUT
JAK2	KDM6A	2	CNA,MUT
WHSC1	FGF4	2	CNA,MUT
EPHA7	NTRK1	2	CNA,MUT
TCF3	DOT1L	2	CNA,MUT
YES1	ATRX	2	CNA,MUT
PGR	CDKN2A	2	CNA,MUT
WHSC1L1	GATA1	2	CNA,MUT
GSK3B	NPM1	2	CNA,MUT
SMARCA4	TSC2	2	CNA,MUT
FGFR4	DROSHA	2	CNA,MUT
MST1R	RHOA	2	CNA,MUT
YES1	SPRED1	2	CNA,MUT
IRS2	RBM10	2	CNA,MUT
FLT4	NSD1	2	CNA,MUT
FAT1	KIT	2	CNA,MUT
ANKRD11	MAP3K1	2	CNA,MUT
MUTYH	WHSC1	2	CNA,MUT
PRDM14	RAD21	2	CNA,MUT
PTPRD	YAP1	2	CNA,MUT
NF1	NTRK3	2	CNA,MUT
KMT2B	FANCC	2	CNA,MUT
AMER1	EIF1AX	2	CNA,MUT
FAT1	FGFR1	2	CNA,MUT
RBM10	ERCC2	2	CNA,MUT
ARAF	CDKN1B	2	CNA,MUT
NOTCH3	VEGFA	2	CNA,MUT
WHSC1L1	BRIP1	2	CNA,MUT
PLCG2	SDHA	2	CNA,MUT
FGFR1	MAP3K13	2	CNA,MUT
FAT1	XPO1	2	CNA,MUT
CDKN2A	SMARCA4	2	CNA,MUT
KIT	INHBA	2	CNA,MUT
CD79A	PIK3C3	2	CNA,MUT
EIF4A2	FGF3	2	CNA,MUT
STK11	IRS1	2	CNA,MUT
CALR	DOT1L	2	CNA,MUT
FAT1	B2M	2	CNA,MUT
CARD11	YAP1	2	CNA,MUT
HGF	PREX2	2	CNA,MUT
YAP1	RAC1	2	CNA,MUT
IRS2	REST	2	CNA,MUT
NTRK1	PARP1	2	CNA,MUT
TP63	HIST3H3	2	CNA,MUT
SDHA	PMS2	2	CNA,MUT
SLX4	TSC2	2	CNA,MUT
ATRX	MED12	2	CNA,MUT
KIT	KMT2B	2	CNA,MUT
PTPRD	TNFAIP3	2	CNA,MUT
PARK2	PAX5	2	CNA,MUT
HGF	PTPRT	2	CNA,MUT
TERT	IL7R	2	CNA,MUT
LYN	NBN	2	CNA,MUT
PDCD1	FLT1	2	CNA,MUT
KRAS	H3F3C	2	CNA,MUT
SOX2	DROSHA	2	CNA,MUT
MITF	GATA2	2	CNA,MUT
MGA	MST1R	2	CNA,MUT
KDM5C	ZRSR2	2	CNA,MUT
CREBBP	TSC2	2	CNA,MUT
RECQL4	SDHA	2	CNA,MUT
PIK3C2G	ETV6	2	CNA,MUT
KIT	PDGFRA	2	CNA,MUT
PTPRD	DROSHA	2	CNA,MUT
NTRK1	SMARCA4	2	CNA,MUT
MTOR	SLX4	2	CNA,MUT
PIK3CG	TP53	2	CNA,MUT
INPPL1	AMER1	2	CNA,MUT
NKX3-1	BCL2	2	CNA,MUT
ABL1	DDR2	2	CNA,MUT
LATS2	TERT	2	CNA,MUT
KDM5A	FGF19	2	CNA,MUT
PMS2	PRKD1	2	CNA,MUT
ATR	AMER1	2	CNA,MUT
PGR	ERCC2	2	CNA,MUT
FLCN	TEK	2	CNA,MUT
ASXL1	TOP1	2	CNA,MUT
PIK3CG	CDK6	2	CNA,MUT
PIK3C2G	RAD52	2	CNA,MUT
MAP3K13	CDK6	2	CNA,MUT
XPO1	FGF19	2	CNA,MUT
MAP3K13	NOTCH3	2	CNA,MUT
PIK3C2G	PIK3CB	2	CNA,MUT
PTPRT	SRC	2	CNA,MUT
MTOR	SDHB	2	CNA,MUT
PPM1D	CDK12	2	CNA,MUT
GRIN2A	SMARCA4	2	CNA,MUT
DNMT3B	TOP1	2	CNA,MUT
BCOR	EIF1AX	2	CNA,MUT
AKT2	ARAF	2	CNA,MUT
RICTOR	DROSHA	2	CNA,MUT
INPPL1	CCND1	2	CNA,MUT
FGFR4	FLT4	2	CNA,MUT
CARD11	PMS2	2	CNA,MUT
KDM6A	FGF19	2	CNA,MUT
ATR	PIK3CB	2	CNA,MUT
NTRK1	NPM1	2	CNA,MUT
TP53	PRKD1	2	CNA,MUT
FLT4	ASXL1	2	CNA,MUT
MAP3K13	SOX2	2	CNA,MUT
NBN	PREX2	2	CNA,MUT
CEBPA	ERCC2	2	CNA,MUT
EPHA3	TP63	2	CNA,MUT
MYCN	EIF4A2	2	CNA,MUT
KMT2B	ATRX	2	CNA,MUT
FOXL2	CCND1	2	CNA,MUT
PIK3C2G	PTPRD	2	CNA,MUT
KEAP1	RIT1	2	CNA,MUT
SETD2	MAPK1	2	CNA,MUT
EIF4A2	KMT2B	2	CNA,MUT
NBN	SOX17	2	CNA,MUT
STK11	RIT1	2	CNA,MUT
KMT2C	NFE2L2	2	MUT,SV
PRDM14	TP53BP1	2	CNA,MUT
EPHA7	CREBBP	2	CNA,MUT
PGR	MAPK3	2	CNA,MUT
AXL	EP300	2	MUT,SV
MITF	EP300	2	CNA,MUT
SDHA	ERCC5	2	CNA,MUT
MYC	PRDM14	2	CNA,MUT
IKBKE	SPOP	2	CNA,MUT
DICER1	CDKN2A	2	CNA,MUT
PTPRT	RICTOR	2	CNA,MUT
PTEN	CBFB	2	CNA,MUT
ARAF	ZRSR2	2	CNA,MUT
SOX2	BRCA2	2	CNA,MUT
DIS3	CYSLTR2	2	CNA,MUT
PIK3CG	IGF1R	2	CNA,MUT
EIF1AX	RECQL	2	CNA,MUT
MED12	GATA1	2	CNA,MUT
MYCN	FGF3	2	CNA,MUT
CDKN2Ap14ARF	CDKN2Ap16INK4A	2	CNA,SV
CARD11	ETV1	2	CNA,MUT
EPHB1	PIK3CB	2	CNA,MUT
BCL6	PIK3CA	2	CNA,MUT
PTPRD	EPHA5	2	CNA,MUT
ZFHX3	EZH2	2	MUT,SV
WHSC1L1	BCOR	2	CNA,MUT
JUN	TAP2	2	CNA,MUT
LATS2	SMARCA4	2	CNA,MUT
KDM5C	CRLF2	2	CNA,MUT
SOX2	KDM5A	2	CNA,MUT
IKBKE	HIST3H3	2	CNA,MUT
LATS2	PTPRD	2	CNA,MUT
NFKBIA	BCL2	2	CNA,MUT
EPHB1	KMT2B	2	CNA,MUT
PIK3C2G	CCND2	2	CNA,MUT
KDM5C	FGFR4	2	CNA,MUT
KIT	TNFAIP3	2	CNA,MUT
PIK3CG	BCL6	2	CNA,MUT
KMT2B	PTCH1	2	CNA,MUT
RTEL1	FAM58A	2	CNA,MUT
TERT	RTEL1	2	CNA,MUT
JAK2	IL7R	2	CNA,MUT
RAD21	IGF1R	2	CNA,MUT
PIK3C2G	ARAF	2	CNA,MUT
FAT1	KDR	2	CNA,MUT
SLX4	SOCS1	2	CNA,MUT
ATR	FOXL2	2	CNA,MUT
NTRK3	IGF1R	2	CNA,MUT
PTPRS	CALR	2	CNA,MUT
CDKN2A	FGF3	2	CNA,MUT
EPHA3	EZH2	2	CNA,MUT
TP53	SOX9	2	CNA,MUT
DDR2	MCL1	2	CNA,MUT
RAD21	GLI1	2	CNA,MUT
CARD11	RPS6KB2	2	CNA,MUT
PTEN	EGFL7	2	CNA,MUT
SLX4	NKX3-1	2	CNA,MUT
NBN	FOXP1	2	CNA,MUT
FLT4	PARK2	2	CNA,MUT
AGO2	RECQL4	2	CNA,MUT
PARP1	FH	2	CNA,MUT
KIT	SOX2	2	CNA,MUT
RECQL4	TERT	2	CNA,MUT
ERBB3	IKZF1	2	CNA,MUT
PIK3C2G	FOXL2	2	CNA,MUT
SDHA	MAPK1	2	CNA,MUT
IRS2	FLT3	2	CNA,MUT
BTK	RBM10	2	CNA,MUT
PIK3C2G	TERT	2	CNA,MUT
NBN	PAK7	2	CNA,MUT
KDM6A	FGF3	2	CNA,MUT
DNMT3A	ALK	2	CNA,MUT
PIK3CG	SPEN	2	MUT,SV
BTK	GATA1	2	CNA,MUT
PARP1	IKBKE	2	CNA,MUT
INHBA	IKZF1	2	CNA,MUT
NCOR1	NOTCH3	2	CNA,MUT
EPHB1	INPPL1	2	CNA,MUT
BCL6	MAP3K13	2	CNA,SV
MUTYH	RAD54L	2	CNA,MUT
YES1	MED12	2	CNA,MUT
YES1	KMT2B	2	CNA,MUT
PLCG2	EPAS1	2	CNA,MUT
SOX2	PTEN	2	CNA,MUT
CARD11	CDK4	2	CNA,MUT
PTPRS	DOT1L	2	CNA,MUT
AKT1	KDM5C	2	CNA,MUT
NTRK1	SRC	2	CNA,MUT
AXL	TSHR	2	CNA,MUT
PRDM14	DNMT1	2	CNA,MUT
BTK	CARD11	2	CNA,MUT
JAK2	PTPRD	2	CNA,MUT
FGFR1	TP53	2	CNA,MUT
JAK2	SMARCA4	2	CNA,MUT
FGF3	FGF4	2	CNA,MUT
FLT3	DIS3	2	CNA,MUT
INPPL1	SESN3	2	CNA,MUT
DICER1	FGFR1	2	CNA,MUT
EPHA7	PRDM1	2	CNA,MUT
FGFR3	RECQL4	2	CNA,MUT
TP63	FGF19	2	CNA,MUT
YES1	MSH6	2	CNA,MUT
RET	BAP1	2	CNA,MUT
IKZF1	FOXA1	2	CNA,MUT
KDM5C	GATA1	2	CNA,MUT
EPHA7	ROS1	2	CNA,MUT
XPO1	FGF3	2	CNA,MUT
PDGFRA	PAK7	2	CNA,MUT
FGFR4	IRF4	2	CNA,MUT
WT1	FGF4	2	CNA,MUT
EGFR	MDM2	2	CNA,MUT
KDM5C	BCOR	2	CNA,MUT
BTK	RB1	2	CNA,MUT
FOXA1	ERBB2	2	CNA,MUT
CEBPA	KMT2B	2	CNA,MUT
KDM5A	RAD52	2	CNA,MUT
APC	CSF1R	2	CNA,MUT
KDM5C	CARD11	2	CNA,MUT
KIT	WHSC1	2	CNA,MUT
CDKN2A	PIK3CB	2	CNA,MUT
