Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	AKT3	2	0.046708154332515225	2.6951454184715793	0.13372033304860562
ABL1	ALK	5	0.025807637939117296	1.7916305697645876	0.10048417492104418
ABL1	AMER1	4	0.009188007044521562	2.5042519728316055	0.06179949607079975
ABL1	ANKRD11	2	0.08924525098070117	2.13057708240311	0.18593044464443445
ABL1	APC	3	0.1030325727250582	1.5443205162238103	0.2007944936194828
ABL1	AR	2	0.09239367771178451	2.0995356735509145	0.18929037687228556
ABL1	ARAF	3	0.014440883819763335	2.7548875021634687	0.076352651395735
ABL1	ARID1A	4	0.06517115071281909	1.5615289312593064	0.15786770087534352
ABL1	ARID1B	4	0.0036203571383532467	2.9139601689333086	0.03915038390080487
ABL1	ARID2	5	0.0020938037122345695	2.742420024258314	0.029414093253012915
ABL1	ATM	5	0.02134113130425402	1.8694158901898557	0.09169751133103006
ABL1	ATR	5	0.000694036071378998	3.1279353334832196	0.0160300702711384
ABL1	ATRX	3	0.07150921771954781	1.7865963618908067	0.1652518124149768
ABL1	AXIN2	2	0.06537601340639715	2.405094696031265	0.1579840881986678
ABL1	BRAF	5	0.00732859897874231	2.285782107204215	0.056107612818417626
ABL1	BRCA1	4	0.0023617169559188335	3.097624185969676	0.031345455575760524
ABL1	BRD4	2	0.05180653594093495	2.606355960998209	0.14078511804559174
ABL1	CARD11	2	0.2718885126757274	1.051480598381268	0.35835714386713874
ABL1	CBL	2	0.05442863717542095	2.5638720194575564	0.14456921000347628
ABL1	CD79B	2	0.015631401608708236	3.617593504961123	0.07960702210720384
ABL1	CDK4	3	0.08662976200774006	1.6608373676962838	0.1829507437599128
ABL1	CDKN2A	7	0.24519154970216758	0.598379643174631	0.33444043355713304
ABL1	CDKN2Ap14ARF	4	0.4835688983582899	0.20996029012837453	0.5425666894282539
ABL1	CDKN2Ap16INK4A	4	0.48599461155183504	0.20495076975844415	0.5446326686220831
ABL1	CDKN2B	4	0.4394125310544806	0.302269569116894	0.5043219963392532
ABL1	CEBPA	2	0.13955817416959276	1.7209206275908864	0.23743966308358827
ABL1	CIC	2	0.11531354462845857	1.8984554678638137	0.2138483445591372
ABL1	CREBBP	3	0.04989669564906886	2.0152138921089846	0.13856592078481159
ABL1	CSF3R	2	0.026415395062005784	3.1775381855521876	0.10138194663663148
ABL1	CYLD	3	0.003565786813411421	3.5457919034404783	0.038962619367247306
ABL1	DDR2	4	0.0034175012605038384	2.938879204622357	0.03822779293475181
ABL1	DICER1	4	0.0023617169559188335	3.097624185969676	0.031345455575760524
ABL1	DIS3	3	0.014440883819763335	2.7548875021634687	0.076352651395735
ABL1	DNMT3A	4	0.0009673902276476317	3.4760039200320043	0.01937098332581755
ABL1	DOT1L	2	0.168532572658066	1.5404456979967638	0.2651403074468156
ABL1	DROSHA	2	0.18341552059155855	1.4575736724167148	0.27902263147241196
ABL1	EED	2	0.015631401608708236	3.617593504961123	0.07960702210720384
ABL1	EGFR	4	0.9473740271959102	-1.0367188305998134	0.9552236048548151
ABL1	EIF4A2	2	0.07700421706853745	2.261569132133229	0.17226205365059918
ABL1	EPHA3	5	0.006376699051996966	2.3378696387563838	0.05191353344291449
ABL1	EPHA5	5	0.008105764225065771	2.2477891984019296	0.05829650984453005
ABL1	EPHA7	7	1.589044726980696e-05	3.5407092626714314	0.0012467964694591247
ABL1	EPHB1	6	0.00012551572159657007	3.3075638687864073	0.005472872345526453
ABL1	ERBB2	2	0.3418597367452925	0.7935491225325737	0.4191632139896795
ABL1	ERBB4	5	0.0035823440330243843	2.5498060553075397	0.0390430541488576
ABL1	ERCC2	2	0.059812811119207665	2.482373222207434	0.15146527319336134
ABL1	ERF	2	0.01258848486111613	3.7994820782863146	0.07183670774015957
ABL1	ESR1	2	0.02445414796100712	3.242328644255847	0.09812606028869808
ABL1	FAM46C	2	0.015631401608708236	3.617593504961123	0.07960702210720384
ABL1	FANCA	2	0.08305222223574403	2.1946474308535437	0.17898400385686106
ABL1	FAT1	7	0.0009835379431136083	2.4951762357844953	0.019584141919913544
ABL1	FGF3	4	0.006731281384392995	2.642843416801656	0.05341955162143275
ABL1	FGFR1	3	0.06445797937065774	1.8534513366470582	0.1570292540473193
ABL1	FGFR3	3	0.0029379519970680677	3.6540300740163087	0.03505533293549598
ABL1	FGFR4	2	0.07700421706853745	2.261569132133229	0.17226205365059918
ABL1	FH	2	0.046708154332515225	2.6951454184715793	0.13372033304860562
ABL1	FLT1	3	0.03852939478984792	2.1746584789889227	0.12188481698111424
ABL1	FYN	2	0.015631401608708236	3.617593504961123	0.07960702210720384
ABL1	GATA2	2	0.028438912795687665	3.1154772174199357	0.10522625413578503
ABL1	GLI1	3	0.05142327147173939	1.996388746447621	0.14032240421385658
ABL1	GNAQ	2	0.0020696467243224363	5.39100826203476	0.02923485626554519
ABL1	GNAS	2	0.10861686899725281	1.953234276634501	0.2068354022353248
ABL1	GRIN2A	5	0.008105764225065771	2.2477891984019296	0.05829650984453005
ABL1	HGF	7	4.5568179108291086e-05	3.2825763656615967	0.0026183544239201666
ABL1	HIST1H3I	2	0.0020696467243224363	5.39100826203476	0.02923485626554519
ABL1	HIST2H3C	2	0.007403047023632096	4.249570113007219	0.05626050712410621
ABL1	HIST2H3D	2	0.007403047023632096	4.249570113007219	0.05626050712410621
ABL1	IKBKE	2	0.03486946334421484	2.943569129698522	0.11588754009738673
ABL1	IL7R	3	0.04839336238008011	2.034269902084746	0.13626117479346048
ABL1	INHBA	3	0.025407078419379465	2.424922088210688	0.09979127589840033
ABL1	INPP4B	4	0.0034175012605038384	2.938879204622357	0.03822779293475181
ABL1	INPPL1	3	0.00790594304416018	3.09858621972205	0.05785024696675692
ABL1	IRS2	4	0.0017995634658530572	3.2135101704637115	0.02738596895572392
ABL1	KDM5A	2	0.08000958985591484	2.227735742410758	0.17563310239746935
ABL1	KDM5C	2	0.20993586882821116	1.3224368922972873	0.3034100943225832
ABL1	KDM6A	2	0.10861686899725281	1.953234276634501	0.2068354022353248
ABL1	KDR	4	0.012175059142699745	2.377016672769081	0.07068082420262838
ABL1	KEAP1	5	0.24980022040732763	0.6761404014701625	0.3388916544407455
ABL1	KIT	4	0.005548237697329425	2.7280047265945844	0.0487072220728421
ABL1	KMT2A	4	0.002519282679133204	3.0699875189371535	0.03240131620745838
ABL1	KMT2B	2	0.29918426949319094	0.9461618483724499	0.3819750115808854
ABL1	KMT2C	2	0.31863635095478715	0.8749847037364676	0.39879771748405596
ABL1	KMT2D	3	0.14410703128606914	1.3095088356332945	0.24187414711502964
ABL1	KNSTRN	2	0.007403047023632096	4.249570113007219	0.05626050712410621
ABL1	KRAS	7	0.4641713492443128	0.19021201558729806	0.5256802438048144
ABL1	LATS1	3	0.005919764337430147	3.261707789610764	0.05010976243822251
ABL1	MAP3K13	2	0.09557542440125476	2.069120261128537	0.19247562674166468
ABL1	MAPK3	2	0.007403047023632096	4.249570113007219	0.05626050712410621
ABL1	MCL1	4	0.0020673504600237395	3.154457605745373	0.02923485626554519
ABL1	MDC1	4	0.0047594229238938825	2.7951208082045076	0.04504887524025493
ABL1	MED12	3	0.06445797937065774	1.8534513366470582	0.1570292540473193
ABL1	MET	2	0.4717609959681265	0.3858911536193273	0.5326810501148926
ABL1	MGA	2	0.2874890379367575	0.9904456932867511	0.3715875800359044
ABL1	MLL2	2	0.049232645936087435	2.6500881434862396	0.1375340429177812
ABL1	MLL3	2	0.026415395062005784	3.1775381855521876	0.10138194663663148
ABL1	MRE11A	2	0.026415395062005784	3.1775381855521876	0.10138194663663148
ABL1	MSH6	2	0.07700421706853745	2.261569132133229	0.17226205365059918
ABL1	MST1R	2	0.026415395062005784	3.1775381855521876	0.10138194663663148
ABL1	MTOR	4	0.0023617169559188335	3.097624185969676	0.031345455575760524
ABL1	MUTYH	2	0.017260010020199036	3.534472730267463	0.08314132655947655
ABL1	NBN	3	0.01368300943470202	2.7859289110156635	0.07460761435761044
ABL1	NCOR1	3	0.015222455082245593	2.724472089741091	0.07848289291545854
ABL1	NF1	9	3.444317533421402e-05	2.94611747941282	0.002186226200491116
ABL1	NOTCH1	3	0.03592569077103082	2.2172307162206693	0.11758384686576331
ABL1	NOTCH3	4	0.01573296120613034	2.2593556234556953	0.07978492497785135
ABL1	NOTCH4	2	0.17223164452198952	1.5193066503763688	0.26883755591624764
ABL1	NRAS	2	0.028438912795687665	3.1154772174199357	0.10522625413578503
ABL1	NTRK1	6	0.00014376526056316714	3.2687351557217688	0.0060367190894276695
ABL1	NTRK2	2	0.06537601340639715	2.405094696031265	0.1579840881986678
ABL1	NTRK3	4	0.029334738411318242	1.9646280527279407	0.10685507048950252
ABL1	NUF2	3	0.0011286105576712563	4.189824558880018	0.021008287437990714
ABL1	PAK7	2	0.17594559590343778	1.4984535074664813	0.2722767359900478
ABL1	PARK2	3	0.014440883819763335	2.7548875021634687	0.076352651395735
ABL1	PARP1	3	0.005919764337430147	3.261707789610764	0.05010976243822251
ABL1	PBRM1	3	0.02757439037337849	2.3762724562034405	0.10369501334092761
ABL1	PDGFRA	5	0.002643629654496514	2.6592862303443305	0.03333632352608684
ABL1	PGR	4	0.0028560030249246723	3.0161799270554344	0.03458661385564018
ABL1	PIK3C2G	3	0.06274994161652339	1.8706198155156206	0.15498274313935592
ABL1	PIK3C3	3	0.01088601574623395	2.916920960745783	0.06699184672078813
ABL1	PIK3CA	2	0.4431679827930325	0.47055999658161723	0.5074889651913379
ABL1	PIK3CD	2	0.01258848486111613	3.7994820782863146	0.07183670774015957
ABL1	PIK3CG	6	0.001107121405214822	2.670185800590186	0.02087035817200965
ABL1	POLE	4	0.00738165122865354	2.60196358175189	0.05623211226038286
ABL1	PPARG	2	0.007403047023632096	4.249570113007219	0.05626050712410621
ABL1	PPM1D	3	0.001298030590130765	4.111163131571154	0.022686385745830092
ABL1	PREX2	2	0.22529652043107545	1.2501802969889155	0.31686582749267006
ABL1	PTCH1	2	0.08000958985591484	2.227735742410758	0.17563310239746935
ABL1	PTPN11	2	0.014073721325446119	3.7057146601817665	0.07568209267188937
ABL1	PTPRD	6	0.010934961541788177	1.9399081302658001	0.06702531528284697
ABL1	PTPRT	7	0.000757546752526694	2.565051957807897	0.016868659068063813
ABL1	RASA1	2	0.12555883262199824	1.8198225265704902	0.2238686273771254
ABL1	RB1	3	0.18994467240521518	1.1043366598147355	0.28541415149791843
ABL1	RBM10	4	0.18311668864990283	0.9646056318060123	0.2786345886429371
ABL1	RET	3	0.07516409637886778	1.7542052155388395	0.16996004368176676
ABL1	RICTOR	3	0.03721552148878335	2.195797526609318	0.11986195984557489
ABL1	RIT1	3	0.005919764337430147	3.261707789610764	0.05010976243822251
ABL1	ROS1	3	0.06794008769700359	1.8196681834964554	0.16100587267366684
ABL1	RPTOR	2	0.06822196278118459	2.367903523687749	0.16139553156589764
ABL1	RUNX1	2	0.02445414796100712	3.242328644255847	0.09812606028869808
