Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
KRAS	17	14	3	0	0.2907	0.706	1.0
KEAP1	9	6	3	0	0.4444	0.0403	0.6364
STK11	7	5	2	0	0.4082	0.0192	0.6087
SMARCA4	7	5	2	0	0.4082	0.0192	0.6087
RECQL	5	2	3	0	0.48	0.0055	0.56
EPHA5	5	5	0	0	0.0	0.0174	0.6087
PAK7	5	3	2	0	0.48	0.0055	0.56
FLT1	4	4	0	0	0.0	0.0037	0.5833
STAG2	4	4	0	0	0.0	0.0073	0.5833
H3F3C	3	1	2	0	0.4444	0.0	0.5385
U2AF1	3	2	1	0	0.4444	0.0	0.5385
SOX17	3	3	0	0	0.0	0.0	0.56
ATM	2	2	0	0	0.0	0.0	0.5385
FOXP1	1	1	0	0	0.0	0.0	0.5185
DNMT3B	1	1	0	0	0.0	0.0	0.5185
