Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality
PTPRD	145	105	39	1	0.4032	0.0557	0.5298
TP53	114	100	13	1	0.2175	0.0554	0.5269
EPHA3	106	89	16	1	0.2722	0.0321	0.5078
PTPRT	101	91	10	0	0.1784	0.0451	0.5236
EPHB1	98	84	14	0	0.2449	0.0301	0.5099
FAT1	91	76	15	0	0.2753	0.0291	0.5052
HGF	88	68	20	0	0.3512	0.0215	0.4944
ERBB4	86	86	0	0	0.0	0.0316	0.5147
PDGFRA	85	67	17	1	0.3385	0.0168	0.4856
KMT2B	84	53	31	0	0.4657	0.0269	0.4752
NTRK3	82	76	6	0	0.1356	0.0221	0.499
TP63	79	42	36	1	0.5095	0.0144	0.4666
PIK3CG	78	61	16	1	0.3462	0.0241	0.4799
NF1	76	64	9	3	0.2753	0.0304	0.4871
NTRK1	75	45	30	0	0.48	0.0153	0.4583
EPHA7	75	56	19	0	0.3783	0.02	0.4785
KDM5C	71	48	23	0	0.438	0.0192	0.4644
CDKN2A	71	32	38	1	0.5102	0.0106	0.4308
SMARCA4	66	47	17	2	0.4256	0.0142	0.4734
SOX2	66	30	36	0	0.4959	0.0105	0.4536
KMT2D	65	64	1	0	0.0303	0.0302	0.4789
FGFR1	63	35	28	0	0.4938	0.0093	0.4605
FGFR4	63	43	20	0	0.4334	0.0113	0.4729
MAP3K13	62	28	32	2	0.5286	0.0075	0.4536
SDHA	62	28	34	0	0.4953	0.0141	0.4474
GRIN2A	62	50	12	0	0.3122	0.0168	0.4702
PAK7	62	51	11	0	0.2919	0.0165	0.4734
AMER1	62	44	18	0	0.4121	0.0125	0.4549
TERT	61	33	27	1	0.5112	0.0144	0.4297
PIK3C2G	60	43	17	0	0.4061	0.0106	0.4644
PREX2	60	40	20	0	0.4444	0.0099	0.4486
TET1	59	57	2	0	0.0655	0.0157	0.4789
FLT3	59	45	14	0	0.362	0.0123	0.4684
KIT	58	36	22	0	0.4709	0.007	0.457
ARAF	58	33	25	0	0.4905	0.0072	0.4316
RECQL4	57	26	31	0	0.4962	0.0074	0.439
CARD11	56	30	25	1	0.5134	0.0132	0.4394
EPHA5	55	49	6	0	0.1944	0.0127	0.4706
PGR	55	44	11	0	0.32	0.0095	0.4609
KEAP1	54	43	10	1	0.3313	0.0152	0.4524
IRS2	54	45	9	0	0.2778	0.019	0.4613
FGF3	52	26	26	0	0.5	0.0069	0.4274
MGA	52	42	10	0	0.3107	0.0144	0.4566
NOTCH3	52	38	12	2	0.4112	0.0111	0.4429
INPPL1	52	37	15	0	0.4105	0.008	0.4478
IRS1	51	47	4	0	0.1446	0.0185	0.4688
ZFHX3	51	50	0	1	0.0384	0.0149	0.4666
EIF4A2	50	23	27	0	0.4968	0.0038	0.4274
LATS2	50	30	20	0	0.48	0.0071	0.4374
MYCN	49	43	6	0	0.2149	0.0079	0.467
DDR2	49	30	19	0	0.4748	0.014	0.449
KDR	48	33	14	1	0.4418	0.0079	0.4515
MDC1	47	39	8	0	0.2825	0.0104	0.4596
ATM	47	44	3	0	0.1195	0.0089	0.457
FOXL2	47	30	17	0	0.4617	0.006	0.4413
NOTCH4	46	42	4	0	0.1588	0.0126	0.4499
IL7R	46	30	16	0	0.4537	0.0072	0.4507
BCOR	45	26	19	0	0.4879	0.0038	0.4252
NCOR1	45	35	10	0	0.3457	0.0154	0.4528
BRCA1	45	44	0	1	0.0435	0.0064	0.4639
YES1	44	30	14	0	0.4339	0.004	0.4433
KDM6A	44	20	24	0	0.4959	0.0032	0.4234
WHSC1L1	43	22	21	0	0.4997	0.0044	0.4226
INPP4B	42	41	1	0	0.0465	0.0071	0.4532
CREBBP	42	30	12	0	0.4082	0.009	0.4409
PIK3C3	42	28	14	0	0.4444	0.0066	0.4413
RICTOR	41	24	17	0	0.4854	0.0105	0.4354
ARID1B	41	37	4	0	0.1761	0.0057	0.4499
RBM10	40	23	17	0	0.4888	0.0116	0.4223
WHSC1	40	24	16	0	0.48	0.003	0.4223
MTOR	40	36	4	0	0.18	0.0064	0.4524
JAK2	40	23	17	0	0.4888	0.0101	0.4286
AGO2	39	16	23	0	0.4839	0.0042	0.4208
DROSHA	39	24	15	0	0.4734	0.0028	0.4366
EP300	39	29	9	1	0.3932	0.0098	0.4245
BTK	39	24	15	0	0.4734	0.0063	0.423
TSHR	39	37	2	0	0.0973	0.0036	0.4574
CSF1R	37	32	5	0	0.2337	0.0073	0.4382
MCL1	36	15	21	0	0.4861	0.0065	0.4092
ABL1	36	31	5	0	0.2392	0.0025	0.4382
