Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	13	1.0	0.891	1.0	0.0208
SF3B1	3	0.2308	0.0064	0.5652	0.1089
KEAP1	3	0.2308	0.0064	0.5652	0.3344
RBM10	3	0.2308	0.0064	0.5652	0.1181
DIS3	2	0.1538	0.0	0.5417	0.0552
U2AF1	2	0.1538	0.0	0.5417	0.1762
ATM	2	0.1538	0.0	0.5417	0.1486
IDH1	2	0.1538	0.0	0.5417	0.1169
STK11	2	0.1538	0.0	0.5417	0.8862
RECQL	2	0.1538	0.0	0.5417	0.0606
MAX	2	0.1538	0.0	0.5417	0.0552
H3F3C	2	0.1538	0.0	0.5417	0.0606
CDC73	1	0.0769	0.0	0.52	0.0
DNMT3B	1	0.0769	0.0	0.52	0.0
