Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	PTPRD	0.6103	0.0867	0.7196
0	ERBB4	0.5809	0.0437	0.7047
0	PTPRT	0.5809	0.0406	0.7047
0	EPHA3	0.5441	0.0436	0.6869
0	NTRK3	0.5368	0.0494	0.6834
0	TP53	0.5147	0.0467	0.67
0	FAT1	0.4926	0.0355	0.657
0	EPHB1	0.4853	0.0251	0.6602
0	HGF	0.4632	0.0345	0.6507
0	NF1	0.4632	0.0481	0.6385
0	PDGFRA	0.4338	0.0188	0.6385
0	BRCA1	0.4044	0.0113	0.621
0	KMT2D	0.4044	0.0388	0.6182
0	EPHA7	0.3897	0.0168	0.6154
0	MDC1	0.3897	0.0158	0.621
0	PAK7	0.3897	0.0207	0.6154
0	TET1	0.3676	0.0095	0.6126
0	FLT3	0.3603	0.0118	0.6071
0	IRS2	0.3382	0.0381	0.5965
0	NOTCH4	0.3309	0.0112	0.5991
0	PIK3CG	0.3309	0.0239	0.5913
0	KDR	0.3235	0.0095	0.5965
0	POLE	0.3235	0.0124	0.5939
0	KMT2C	0.3162	0.011	0.5862
0	TBX3	0.3162	0.007	0.5837
0	NTRK2	0.3088	0.0082	0.5812
0	INPP4B	0.3015	0.0096	0.5837
0	AMER1	0.2941	0.0091	0.5763
0	DICER1	0.2941	0.0064	0.5667
0	ATR	0.2868	0.0079	0.5738
0	PGR	0.2868	0.0082	0.5763
0	TP63	0.2868	0.0082	0.5738
0	ARID1B	0.2794	0.0059	0.5714
0	NOTCH2	0.2794	0.0095	0.5738
0	PARP1	0.2794	0.003	0.5714
0	RASA1	0.2794	0.007	0.5738
0	KIT	0.2721	0.0081	0.5763
0	MYCN	0.2721	0.0047	0.5738
0	PARK2	0.2647	0.004	0.5738
0	WHSC1	0.2574	0.0024	0.569
0	FOXL2	0.25	0.0042	0.5667
0	NCOR1	0.2426	0.007	0.562
0	AR	0.2353	0.0029	0.5551
0	DIS3	0.2353	0.0029	0.562
0	MLL2	0.2279	0.0031	0.5506
0	ABL1	0.2206	0.0015	0.5551
0	ARID1A	0.2206	0.0119	0.544
0	BRAF	0.2132	0.003	0.5333
0	CIC	0.2132	0.0027	0.5418
0	DNMT3A	0.2132	0.0027	0.5484
0	FLT4	0.2059	0.0056	0.5506
0	PBRM1	0.2059	0.0037	0.5484
0	SMO	0.1985	0.0057	0.5397
0	TSHR	0.1985	0.0023	0.5484
0	WT1	0.1985	0.002	0.5484
0	INPP4A	0.1912	0.0018	0.5484
0	ERCC5	0.1838	0.0013	0.5462
0	FUBP1	0.1838	0.0023	0.5418
0	APC	0.1691	0.007	0.5354
0	ARID2	0.1691	0.0014	0.5333
0	BARD1	0.1691	0.001	0.5171
0	CBL	0.1691	0.0023	0.5333
0	KMT2A	0.1691	0.0014	0.5191
0	AXIN2	0.1618	0.0021	0.5312
0	BRD4	0.1544	0.001	0.5211
0	CSDE1	0.1544	0.0007	0.5312
0	CUL3	0.1544	0.0018	0.5231
0	BLM	0.1471	0.0013	0.5292
0	GATA2	0.1471	0.0013	0.5231
0	IGF1R	0.1471	0.0047	0.5191
0	IRF4	0.1471	0.0007	0.5211
0	LATS1	0.1471	0.001	0.5231
0	PAX5	0.1471	0.0009	0.5271
0	PDGFRB	0.1471	0.0046	0.5211
0	MYOD1	0.1397	0.0005	0.5271
0	PTEN	0.1397	0.0062	0.5113
0	CSF3R	0.125	0.0006	0.5152
0	HIST1H3B	0.125	0.0004	0.5152
0	MET	0.125	0.0021	0.5
0	MUTYH	0.125	0.0008	0.5075
0	XPO1	0.125	0.0006	0.5191
0	JUN	0.1176	0.0005	0.5
0	NEGR1	0.1176	0.0007	0.5191
0	RAD50	0.1176	0.0004	0.5132
0	YES1	0.1176	0.0005	0.5075
0	FGFR3	0.1103	0.0002	0.5075
0	MRE11A	0.1103	0.0008	0.5018
0	RNF43	0.1103	0.0002	0.5094
0	TGFBR1	0.1103	0.0005	0.5018
0	PRDM1	0.1029	0.0006	0.4892
0	RB1	0.1029	0.0021	0.4982
0	SF3B1	0.1029	0.0005	0.5075
0	SHQ1	0.1029	0.0003	0.5018
0	HOXB13	0.0882	0.0002	0.5056
0	MLL3	0.0882	0.0002	0.4806
0	NRAS	0.0882	0.0002	0.5037
0	PIK3CB	0.0882	0.0002	0.4945
0	TMPRSS2	0.0882	0.0004	0.5132
0	CDK6	0.0809	0.0003	0.4928
0	CYLD	0.0809	0.0001	0.4928
0	MITF	0.0809	0.0004	0.491
0	PLK2	0.0809	0.0003	0.484
0	SUZ12	0.0809	0.0002	0.5018
0	INHA	0.0735	0.0002	0.4857
0	TNFAIP3	0.0735	0.0001	0.491
0	ACVR1	0.0662	0.0001	0.4674
0	MSH2	0.0662	0.0001	0.4892
0	CD79B	0.0588	0.0002	0.4674
0	FYN	0.0588	0.0001	0.4674
0	MLL	0.0588	0.0001	0.484
0	HIST1H2BD	0.0515	0.0001	0.4875
0	HIST1H3G	0.0515	0.0	0.4875
0	PHOX2B	0.0441	0.0002	0.4444
0	STAT5B	0.0441	0.0	0.4789
0	HIST1H3D	0.0368	0.0	0.4331
0	LZTR1	0.0368	0.0001	0.4503
0	MYD88	0.0368	0.0	0.4674
0	SLFN11	0.0368	0.0002	0.4474
0	SUFU	0.0368	0.0001	0.4579
0	EIF4E	0.0294	0.0	0.4533
0	EZH1	0.0294	0.0	0.4401
0	SMARCD1	0.0294	0.0	0.4518
0	CBFB	0.0221	0.0	0.4048
0	EGFL7	0.0221	0.0	0.4373
0	FAM175A	0.0221	0.0	0.4474
0	GAB1	0.0221	0.0	0.4444
0	HIST1H3A	0.0221	0.0	0.4198
0	IFNGR1	0.0221	0.0	0.4503
0	REST	0.0221	0.0	0.4548
0	ERRFI1	0.0147	0.0	0.4185
0	HIST1H3F	0.0147	0.0	0.4359
0	RAD51D	0.0147	0.0	0.4211
0	HIST1H3H	0.0074	0.0	0.3747
0	KLF5	0.0074	0.0	0.3747
0	MYCL	0.0074	0.0	0.3831
0	PPP6C	0.0074	0.0	0.3908
0	PRKN	0.0074	0.0	0.4198
1	KEAP1	0.4103	0.1184	0.629
1	SMARCA4	0.3974	0.1392	0.6094
1	GRIN2A	0.3846	0.0815	0.5909
1	PIK3C2G	0.3333	0.0916	0.5821
1	BRCA2	0.2821	0.0432	0.5571
1	STK11	0.2821	0.0714	0.5612
1	CREBBP	0.2692	0.0687	0.5342
1	EPHA5	0.2692	0.042	0.5379
1	IRS1	0.2692	0.076	0.5612
1	MTOR	0.2436	0.0385	0.5306
1	NOTCH1	0.2308	0.028	0.5235
1	FLT1	0.2051	0.0185	0.5132
1	DOT1L	0.1923	0.0249	0.5
1	LATS2	0.1923	0.0177	0.52
1	PTPRS	0.1923	0.0303	0.4785
1	TSC2	0.1923	0.0161	0.5098
1	ATRX	0.1795	0.0284	0.4845
1	ETV6	0.1795	0.0155	0.4815
1	KRAS	0.1667	0.035	0.4785
1	ERCC4	0.1538	0.0093	0.4875
1	KDM5A	0.1538	0.0116	0.4756
1	SLX4	0.1538	0.0062	0.4509
1	CCND2	0.141	0.0069	0.4509
1	CTCF	0.141	0.0107	0.4875
1	INSR	0.141	0.0114	0.4699
1	PTCH1	0.141	0.0128	0.5098
1	CARM1	0.1282	0.0023	0.4535
1	CHEK2	0.1282	0.0072	0.5098
1	FGFR2	0.1282	0.0039	0.5
1	FH	0.1282	0.0079	0.4906
1	GNA11	0.1282	0.0023	0.4535
1	H3F3C	0.1282	0.0044	0.4535
1	MAP3K1	0.1282	0.0158	0.4432
1	PDCD1	0.1282	0.0065	0.5132
1	RECQL	0.1282	0.0036	0.4561
1	SOX9	0.1282	0.0052	0.5132
1	STAG2	0.1282	0.0099	0.5032
1	TCF3	0.1282	0.0041	0.4588
1	TET2	0.1282	0.0081	0.4875
1	TRAF7	0.1282	0.0032	0.4483
1	CDKN1B	0.1154	0.0016	0.4457
1	FOXO1	0.1154	0.0028	0.4643
1	MAP2K2	0.1154	0.0019	0.4194
1	PMS1	0.1154	0.0019	0.4727
1	PPM1D	0.1154	0.0102	0.4906
1	RAD52	0.1154	0.0035	0.4239
1	AKT3	0.1026	0.0066	0.4671
1	AXIN1	0.1026	0.002	0.4358
1	CALR	0.1026	0.0006	0.4041
1	ELF3	0.1026	0.0053	0.4815
1	NTHL1	0.0897	0.0031	0.4671
1	PIK3R1	0.0897	0.004	0.4509
1	U2AF1	0.0897	0.0274	0.4483
1	CDK8	0.0769	0.0	0.4127
1	CYSLTR2	0.0769	0.0	0.4127
1	DAXX	0.0769	0.0005	0.4785
1	NF2	0.0769	0.0029	0.4171
1	SDHB	0.0769	0.002	0.4509
1	SOCS1	0.0769	0.0002	0.4127
1	TAP1	0.0769	0.0112	0.4509
1	TSC1	0.0769	0.0032	0.4727
1	RAD54L	0.0641	0.007	0.4309
1	SYK	0.0641	0.0006	0.4149
1	REL	0.0513	0.0001	0.4239
1	SMYD3	0.0513	0.0003	0.4127
1	CXCR4	0.0385	0.0002	0.4062
1	TAP2	0.0385	0.0002	0.3562
1	VTCN1	0.0385	0.0004	0.4216
1	CD276	0.0256	0.0004	0.4062
1	CDKN2C	0.0256	0.0	0.3939
1	FOXP1	0.0256	0.0003	0.3645
1	NFE2L2	0.0256	0.0	0.3406
1	PDPK1	0.0256	0.0	0.398
1	CTR9	0.0128	0.0	0.3498
1	ERG	0.0128	0.0	0.3108
1	HIST1H3C	0.0128	0.0	0.3611
1	MSI1	0.0128	0.0	0.3611
1	SETD8	0.0128	0.0	0.3611
1	TMEM127	0.0128	0.0	0.3805
2	KDM5C	0.3968	0.101	0.5833
2	ZFHX3	0.3968	0.1074	0.6058
2	ARAF	0.3651	0.0986	0.5888
2	RBM10	0.3175	0.1164	0.5478
2	FGFR4	0.3016	0.0449	0.5625
2	MGA	0.3016	0.0459	0.5575
2	NOTCH3	0.3016	0.0816	0.5207
2	ATM	0.2857	0.0546	0.5431
2	BCOR	0.2698	0.0396	0.5385
2	BTK	0.2698	0.0565	0.5625
2	CSF1R	0.254	0.0634	0.5385
2	KDM6A	0.254	0.0392	0.5526
2	ASXL1	0.2222	0.0573	0.5081
2	BRIP1	0.2222	0.0584	0.5122
2	MED12	0.2222	0.0647	0.5
2	POLD1	0.2222	0.026	0.525
2	GATA1	0.2063	0.0091	0.5122
2	ASXL2	0.1905	0.0366	0.525
2	FBXW7	0.1905	0.0148	0.504
2	CRLF2	0.1746	0.0057	0.4922
2	NSD1	0.1746	0.0156	0.4884
2	SPEN	0.1746	0.0372	0.5
2	TRAF2	0.1587	0.0051	0.5081
2	MLH1	0.1429	0.0069	0.4667
2	RPTOR	0.1429	0.0146	0.4737
2	SETD2	0.1429	0.0398	0.4809
2	ZRSR2	0.1429	0.0016	0.4737
2	EIF1AX	0.127	0.0002	0.4599
2	MPL	0.127	0.0109	0.4773
2	DNMT3B	0.1111	0.0023	0.4437
2	ERCC2	0.1111	0.0026	0.4809
2	ESR1	0.1111	0.0052	0.4632
2	MSH6	0.1111	0.0138	0.4257
2	JAK3	0.0952	0.001	0.4345
2	PPP2R1A	0.0952	0.0026	0.4315
2	BABAM1	0.0794	0.0081	0.4406
2	ERCC3	0.0794	0.0042	0.4315
2	GSK3B	0.0794	0.0018	0.4345
2	HLA-A	0.0794	0.0006	0.4345
2	BCL2L1	0.0635	0.0009	0.4257
2	DNMT1	0.0635	0.0006	0.3962
2	XIAP	0.0635	0.0056	0.4145
2	ALB	0.0476	0.0002	0.4145
2	MAPKAP1	0.0476	0.0011	0.3937
2	NPM1	0.0476	0.0001	0.3962
2	PTPN11	0.0476	0.0008	0.3913
2	AKT1	0.0317	0.0001	0.4038
2	DNAJB1	0.0317	0.0	0.358
2	E2F3	0.0317	0.0	0.4065
2	EPAS1	0.0317	0.0	0.352
2	FAM46C	0.0317	0.0002	0.3841
2	PALB2	0.0317	0.0007	0.3962
2	SDHD	0.0317	0.0001	0.3865
2	SESN2	0.0317	0.0002	0.4038
2	SH2D1A	0.0317	0.0011	0.3962
2	TCF7L2	0.0317	0.0006	0.3889
2	CENPA	0.0159	0.0	0.3264
2	HIST1H3E	0.0159	0.0	0.3559
2	ID3	0.0159	0.0	0.3351
2	LMO1	0.0159	0.0	0.3443
2	SRSF2	0.0159	0.0	0.3351
2	STAT5A	0.0159	0.0	0.3405
2	STK40	0.0159	0.0	0.3559
2	XRCC2	0.0159	0.0	0.352
3	TERT	0.46	0.1974	0.6329
3	FOXA1	0.4	0.1185	0.5882
3	NKX2-1	0.38	0.1215	0.5882
3	NFKBIA	0.36	0.1172	0.5747
3	SDHA	0.36	0.0743	0.5882
3	EP300	0.34	0.1431	0.5319
3	IL7R	0.34	0.0783	0.5618
3	RICTOR	0.3	0.0701	0.5556
3	DROSHA	0.24	0.0562	0.5208
3	CRKL	0.2	0.0244	0.5376
3	GNAS	0.2	0.0423	0.4808
3	PRKD1	0.2	0.0606	0.5051
3	RTEL1	0.2	0.0389	0.4673
3	ERBB2	0.18	0.0664	0.4587
3	TRIP13	0.18	0.0097	0.5155
3	CCND3	0.16	0.0217	0.4673
3	PLCG2	0.16	0.025	0.4762
3	MAX	0.14	0.0131	0.4587
3	NCOA3	0.14	0.015	0.4274
3	VEGFA	0.14	0.0181	0.463
3	MAPK1	0.12	0.0021	0.4673
3	MST1R	0.12	0.0415	0.4202
3	PIM1	0.12	0.0078	0.3906
3	ARID5B	0.1	0.0	0.4464
3	CDK12	0.1	0.0062	0.3623
3	RAD51B	0.1	0.0	0.4386
3	TOP1	0.1	0.0047	0.3968
3	AURKA	0.08	0.0002	0.3401
3	BAP1	0.08	0.0007	0.3876
3	FAM58A	0.08	0.0003	0.4386
3	HLA-B	0.08	0.0046	0.4237
3	MYCL1	0.08	0.0027	0.4065
3	SRC	0.08	0.0002	0.3401
3	STK19	0.08	0.0073	0.4505
3	CDKN1A	0.06	0.0	0.3289
3	PIK3R2	0.06	0.0067	0.3876
3	RARA	0.06	0.0015	0.3846
3	RPS6KA4	0.06	0.0006	0.3937
3	SOS1	0.06	0.0085	0.4202
3	TGFBR2	0.06	0.002	0.4065
3	IDH2	0.04	0.0	0.4065
3	PIK3R3	0.04	0.0	0.3759
3	SMARCB1	0.04	0.0	0.3571
3	BCL10	0.02	0.0	0.3731
3	IGF2	0.02	0.0	0.3906
3	MSI2	0.02	0.0	0.3906
3	RHOA	0.02	0.0	0.2976
3	RTEL1-TNFRSF6B	0.02	0.0	0.3378
3	RXRA	0.02	0.0	0.3497
3	SMARCE1	0.02	0.0	0.3165
3	TNFRSF14	0.02	0.0	0.3497
4	PREX2	0.6364	0.2339	0.7174
4	FGFR1	0.5152	0.1325	0.6471
4	AGO2	0.4848	0.0926	0.6346
4	MYC	0.4848	0.0799	0.6346
4	PRDM14	0.4545	0.0684	0.6346
4	RAD21	0.4545	0.0556	0.6346
4	RECQL4	0.4545	0.0391	0.6226
4	SOX17	0.4545	0.0746	0.6226
4	NBN	0.4242	0.1106	0.6226
4	WHSC1L1	0.4242	0.0147	0.6111
4	LYN	0.3939	0.0109	0.6
4	NKX3-1	0.3636	0.0202	0.5593
4	TCEB1	0.3636	0.0011	0.5893
4	DUSP4	0.2727	0.0127	0.5238
4	GREM1	0.2121	0.0335	0.5077
4	GATA3	0.1818	0.0067	0.4714
4	B2M	0.1515	0.0125	0.4714
4	HNF1A	0.1515	0.0077	0.44
4	SPRED1	0.1515	0.0046	0.4783
4	TP53BP1	0.1515	0.0618	0.4714
4	PNRC1	0.1212	0.064	0.4286
4	NSD3	0.0909	0.0	0.4125
4	SCG5	0.0909	0.0	0.4459
