Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	endocardial cell differentiation (GO:0060956)	1/5	0.0007498314718703743	0.0074972131819976	0	0	2499.125	17982.858997820545	SOX17
GO_Biological_Process_2021	endodermal cell fate specification (GO:0001714)	1/5	0.0007498314718703743	0.0074972131819976	0	0	2499.125	17982.858997820545	SOX17
GO_Biological_Process_2021	cardiac cell fate commitment (GO:0060911)	1/5	0.0007498314718703743	0.0074972131819976	0	0	2499.125	17982.858997820545	SOX17
GO_Biological_Process_2021	cardiac endothelial cell differentiation (GO:0003348)	1/5	0.0007498314718703743	0.0074972131819976	0	0	2499.125	17982.858997820545	SOX17
GO_Biological_Process_2021	negative regulation of histone deacetylation (GO:0031064)	1/5	0.0007498314718703743	0.0074972131819976	0	0	2499.125	17982.858997820545	KDM5A
GO_Biological_Process_2021	ureter development (GO:0072189)	1/7	0.0010496614322994	0.0074972131819976	0	0	1665.9166666666667	11427.001554688257	SOX17
GO_Biological_Process_2021	regulation of histone deacetylase activity (GO:1901725)	1/7	0.0010496614322994	0.0074972131819976	0	0	1665.9166666666667	11427.001554688257	KDM5A
GO_Biological_Process_2021	histone H3-K4 demethylation (GO:0034720)	1/8	0.0011995541091196	0.0074972131819976	0	0	1427.857142857143	9603.48923469958	KDM5A
GO_Biological_Process_2021	endodermal cell fate commitment (GO:0001711)	1/10	0.0014992947695318	0.008329415386288	0	0	1110.4444444444443	7220.954198683598	SOX17
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	2/511	0.0019214685451602	0.0096073427258013	0	0	76.57367387033399	478.9427175459116	KDM5A;SOX17
GO_Biological_Process_2021	endoderm development (GO:0007492)	1/15	0.002248385285759	0.0099923274106324	0	0	713.6785714285714	4351.685756891909	SOX17
GO_Biological_Process_2021	digestive tract morphogenesis (GO:0048546)	1/16	0.0023981585785517	0.0099923274106324	0	0	666.0666666666667	4018.416230915481	SOX17
GO_Biological_Process_2021	embryonic heart tube development (GO:0035050)	1/18	0.0026976603266888	0.0103756166411109	0	0	587.6470588235294	3476.150033460634	SOX17
GO_Biological_Process_2021	histone lysine demethylation (GO:0070076)	1/26	0.003895069234369	0.0128344862694153	0	0	399.44	2216.1106253087632	KDM5A
GO_Biological_Process_2021	metanephros development (GO:0001656)	1/26	0.003895069234369	0.0128344862694153	0	0	399.44	2216.1106253087632	SOX17
Reactome_2022	HDMs Demethylate Histones R-HSA-3214842	1/26	0.003895069234369	0.0188610457245594	0	0	399.44	2216.1106253087632	KDM5A
GO_Biological_Process_2021	regulation of multicellular organismal development (GO:2000026)	1/28	0.0041942719009199	0.0128344862694153	0	0	369.8148148148149	2024.379431258311	SOX17
GO_Biological_Process_2021	vasculogenesis (GO:0001570)	1/33	0.0049420167963792	0.0128344862694153	0	0	311.953125	1656.4654076932638	SOX17
GO_Biological_Process_2021	protein destabilization (GO:0031648)	1/34	0.0050915209009815	0.0128344862694153	0	0	302.4848484848485	1597.1740514070286	SOX17
GO_Biological_Process_2021	epithelial tube morphogenesis (GO:0060562)	1/34	0.0050915209009815	0.0128344862694153	0	0	302.4848484848485	1597.1740514070286	SOX17
