Cluster_ID	Gene
0	ABL1
0	ACVR1
0	AMER1
0	APC
0	AR
0	ARID1A
0	ARID1B
0	ARID2
0	ATR
0	AXIN2
0	BARD1
0	BLM
0	BRAF
0	BRCA1
0	BRD4
0	CBFB
0	CBL
0	CD79B
0	CDK6
0	CIC
0	CSDE1
0	CSF3R
0	CUL3
0	CYLD
0	DICER1
0	DIS3
0	DNMT3A
0	EGFL7
0	EIF4E
0	EPHA3
0	EPHA7
0	EPHB1
0	ERBB4
0	ERCC5
0	ERRFI1
0	EZH1
0	FAM175A
0	FAT1
0	FGFR3
0	FLT3
0	FLT4
0	FOXL2
0	FUBP1
0	FYN
0	GAB1
0	GATA2
0	HGF
0	HIST1H2BD
0	HIST1H3A
0	HIST1H3B
0	HIST1H3D
0	HIST1H3F
0	HIST1H3G
0	HIST1H3H
0	HOXB13
0	IFNGR1
0	IGF1R
0	INHA
0	INPP4A
0	INPP4B
0	IRF4
0	IRS2
0	JUN
0	KDR
0	KIT
0	KLF5
0	KMT2A
0	KMT2C
0	KMT2D
0	LATS1
0	LZTR1
0	MDC1
0	MET
0	MITF
0	MLL
0	MLL2
0	MLL3
0	MRE11A
0	MSH2
0	MUTYH
0	MYCL
0	MYCN
0	MYD88
0	MYOD1
0	NCOR1
0	NEGR1
0	NF1
0	NOTCH2
0	NOTCH4
0	NRAS
0	NTRK2
0	NTRK3
0	PAK7
0	PARK2
0	PARP1
0	PAX5
0	PBRM1
0	PDGFRA
0	PDGFRB
0	PGR
0	PHOX2B
0	PIK3CB
0	PIK3CG
0	PLK2
0	POLE
0	PPP6C
0	PRDM1
0	PRKN
0	PTEN
0	PTPRD
0	PTPRT
0	RAD50
0	RAD51D
0	RASA1
0	RB1
0	REST
0	RNF43
0	SF3B1
0	SHQ1
0	SLFN11
0	SMARCD1
0	SMO
0	STAT5B
0	SUFU
0	SUZ12
0	TBX3
0	TET1
0	TGFBR1
0	TMPRSS2
0	TNFAIP3
0	TP53
0	TP63
0	TSHR
0	WHSC1
0	WT1
0	XPO1
0	YES1
1	AKT3
1	ATRX
1	AXIN1
1	BRCA2
1	CALR
1	CARM1
1	CCND2
1	CD276
1	CDK8
1	CDKN1B
1	CDKN2C
1	CHEK2
1	CREBBP
1	CTCF
1	CTR9
1	CXCR4
1	CYSLTR2
1	DAXX
1	DOT1L
1	ELF3
1	EPHA5
1	ERCC4
1	ERG
1	ETV6
1	FGFR2
1	FH
1	FLT1
1	FOXO1
1	FOXP1
1	GNA11
1	GRIN2A
1	H3F3C
1	HIST1H3C
1	INSR
1	IRS1
1	KDM5A
1	KEAP1
1	KRAS
1	LATS2
1	MAP2K2
1	MAP3K1
1	MSI1
1	MTOR
1	NF2
1	NFE2L2
1	NOTCH1
1	NTHL1
1	PDCD1
1	PDPK1
1	PIK3C2G
1	PIK3R1
1	PMS1
1	PPM1D
1	PTCH1
1	PTPRS
1	RAD52
1	RAD54L
1	RECQL
1	REL
1	SDHB
1	SETD8
1	SLX4
1	SMARCA4
1	SMYD3
1	SOCS1
1	SOX9
1	STAG2
1	STK11
1	SYK
1	TAP1
1	TAP2
1	TCF3
1	TET2
1	TMEM127
1	TRAF7
1	TSC1
1	TSC2
1	U2AF1
1	VTCN1
2	AKT1
2	ALB
2	ARAF
2	ASXL1
2	ASXL2
2	ATM
2	BABAM1
2	BCL2L1
2	BCOR
2	BRIP1
2	BTK
2	CENPA
2	CRLF2
2	CSF1R
2	DNAJB1
2	DNMT1
2	DNMT3B
2	E2F3
2	EIF1AX
2	EPAS1
2	ERCC2
2	ERCC3
2	ESR1
2	FAM46C
2	FBXW7
2	FGFR4
2	GATA1
2	GSK3B
2	HIST1H3E
2	HLA-A
2	ID3
2	JAK3
2	KDM5C
2	KDM6A
2	LMO1
2	MAPKAP1
2	MED12
2	MGA
2	MLH1
2	MPL
2	MSH6
2	NOTCH3
2	NPM1
2	NSD1
2	PALB2
2	POLD1
2	PPP2R1A
2	PTPN11
2	RBM10
2	RPTOR
2	SDHD
2	SESN2
2	SETD2
2	SH2D1A
2	SPEN
2	SRSF2
2	STAT5A
2	STK40
2	TCF7L2
2	TRAF2
2	XIAP
2	XRCC2
2	ZFHX3
2	ZRSR2
3	ARID5B
3	AURKA
3	BAP1
3	BCL10
3	CCND3
3	CDK12
3	CDKN1A
3	CRKL
3	DROSHA
3	EP300
3	ERBB2
3	FAM58A
3	FOXA1
3	GNAS
3	HLA-B
3	IDH2
3	IGF2
3	IL7R
3	MAPK1
3	MAX
3	MSI2
3	MST1R
3	MYCL1
3	NCOA3
3	NFKBIA
3	NKX2-1
3	PIK3R2
3	PIK3R3
3	PIM1
3	PLCG2
3	PRKD1
3	RAD51B
3	RARA
3	RHOA
3	RICTOR
3	RPS6KA4
3	RTEL1
3	RTEL1-TNFRSF6B
3	RXRA
3	SDHA
3	SMARCB1
3	SMARCE1
3	SOS1
3	SRC
3	STK19
3	TERT
3	TGFBR2
3	TNFRSF14
3	TOP1
3	TRIP13
3	VEGFA
4	AGO2
4	B2M
4	BMPR1A
4	CTLA4
4	DUSP4
4	ELOC
4	FGFR1
4	GATA3
4	GREM1
4	HIST1H1C
4	HNF1A
4	IDH1
4	KNSTRN
4	LYN
4	MYC
4	NBN
4	NKX3-1
4	NSD3
4	PNRC1
4	PRDM14
4	PREX2
4	PTP4A1
4	RAD21
4	RECQL4
4	RUNX1
4	SCG5
4	SESN1
4	SHOC2
4	SOX17
4	SPRED1
4	TCEB1
4	TP53BP1
4	UPF1
4	WHSC1L1
5	AKT2
5	AXL
5	BCL6
5	CASP8
5	CCNE1
5	CD79A
5	CEBPA
5	DCUN1D1
5	EIF4A2
5	ERF
5	FANCC
5	GNAQ
5	ICOSLG
5	KMT2B
5	MAP2K1
5	MAP3K13
5	MAPK3
5	MEF2B
5	MLL4
5	MSH3
5	PIK3CA
5	POT1
5	PRKCI
5	SDHAF2
5	SOX2
5	WWTR1
6	ANKRD11
6	CDC73
6	DDR2
6	FANCA
6	H3C13
6	H3C14
6	HIST2H3C
6	HIST2H3D
6	HIST3H3
6	IKBKE
6	IL10
6	MCL1
6	MDM4
6	NTRK1
6	NUF2
6	PIK3CD
6	RFWD2
6	RIT1
6	SDHC
6	SETDB1
6	SPOP
7	ALOX12B
7	AURKB
7	CD274
7	CDKN2A
7	CDKN2Ap14ARF
7	CDKN2Ap16INK4A
7	CDKN2B
7	EZH2
7	FLCN
7	GPS2
7	JAK1
7	JAK2
7	MAP2K4
7	MTAP
7	PDCD1LG2
7	RHEB
7	SMARCA2
7	TEK
8	CARD11
8	CDK4
8	CTNNB1
8	EGFR
