Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	GO_Biological_Process_2021	regulation of gene expression (GO:0010468)	7/1079	8.136248092822401e-07	0.000247341942021801	FBXW7;CHEK2;DNMT3B;ATM;KRAS;FOXP1;NFE2L2
0	GO_Biological_Process_2021	DNA damage induced protein phosphorylation (GO:0006975)	2/8	9.221402746009655e-06	0.0014016532173934	CHEK2;ATM
0	GO_Biological_Process_2021	replicative senescence (GO:0090399)	2/12	2.170739140750197e-05	0.0016536683404472	CHEK2;ATM
0	GO_Biological_Process_2021	DNA repair (GO:0006281)	4/298	2.1758793953252803e-05	0.0016536683404472	CHEK2;RECQL;ATM;POLE
0	KEGG_2021_Human	MicroRNAs in cancer	4/310	2.540246640104772e-05	0.0023624293752974	DNMT3B;ATM;KRAS;FOXP1
0	GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	4/350	4.083745055027191e-05	0.0024829169934565	CHEK2;RECQL;ATM;FOXP1
0	Reactome_Pathways_2024	Regulation of TP53 Activity Through Methylation	2/19	5.6111289598260925e-05	0.0129201801664077	CHEK2;ATM
0	GO_Biological_Process_2021	positive regulation of macromolecule metabolic process (GO:0010604)	4/384	5.8613941853562e-05	0.0029697730539138	DNMT3B;ATM;KRAS;NFE2L2
0	Reactome_Pathways_2024	DNA Double-Strand Break Repair	3/152	9.003609872061181e-05	0.0129201801664077	CHEK2;ATM;POLE
0	KEGG_2021_Human	Cellular senescence	3/156	9.725102178906711e-05	0.0045221725131916	CHEK2;ATM;KRAS
0	GO_Biological_Process_2021	double-strand break repair (GO:0006302)	3/164	0.00011279452922637394	0.0048985052692596	CHEK2;RECQL;ATM
0	GO_Biological_Process_2021	positive regulation of gene expression (GO:0010628)	4/482	0.00014140518088804363	0.0053733968737456	DNMT3B;ATM;KRAS;NFE2L2
0	GO_Cellular_Component_2021	nucleus (GO:0005634)	9/4484	0.00015963666004664942	0.0030330965408863	KDM5A;FBXW7;CHEK2;DNMT3B;RECQL;ATM;POLE;FOXP1;NFE2L2
0	GO_Biological_Process_2021	DNA damage checkpoint signaling (GO:0000077)	2/32	0.0001620531878416101	0.0054737965670943	CHEK2;ATM
0	Reactome_Pathways_2024	Regulation of TP53 Degradation	2/36	0.0002055597839412204	0.0155865194646626	CHEK2;ATM
0	Reactome_Pathways_2024	Regulation of TP53 Expression and Degradation	2/37	0.0002172337207618483	0.0155865194646626	CHEK2;ATM
0	GO_Biological_Process_2021	DNA integrity checkpoint signaling (GO:0031570)	2/39	0.0002415360833479079	0.0073426969337764	CHEK2;ATM
0	KEGG_2021_Human	Human T-cell leukemia virus 1 infection	3/219	0.0002648589438261114	0.0082106272586094	CHEK2;ATM;KRAS
0	Reactome_Pathways_2024	Stabilization of P53	2/44	0.0003078448301075326	0.0169947451566222	CHEK2;ATM
0	GO_Biological_Process_2021	intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	2/51	0.0004139409991332273	0.0109023336973757	CHEK2;ATM
0	GO_Biological_Process_2021	signal transduction in response to DNA damage (GO:0042770)	2/52	0.0004303552775279917	0.0109023336973757	CHEK2;ATM
