Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	31/451	1.8863818037162604e-22	1.6317202602145653e-19	RB1;AMER1;FLT3;PTEN;IRS2;PIK3CB;CBL;NRAS;ERBB4;KDR;FYN;PDGFRB;PDGFRA;RNF43;STAT5B;NTRK2;JUN;YES1;HGF;NTRK3;GAB1;BRAF;TGFBR1;NCOR1;APC;IRF4;KIT;NF1;TP53;FGFR3;MET
0	GO_Molecular_Function_2021	transmembrane receptor protein kinase activity (GO:0019199)	16/60	1.1046791231940942e-21	2.81693176414494e-19	ACVR1;PDGFRB;PDGFRA;NTRK2;EPHA7;FLT3;FLT4;NTRK3;IGF1R;ERBB4;KIT;KDR;EPHB1;MET;FGFR3;EPHA3
0	KEGG_2021_Human	Pathways in cancer	32/531	1.960063685304423e-21	3.5673159072540496e-19	RB1;NOTCH2;CSF3R;FLT3;NOTCH4;FLT4;PTEN;PIK3CB;CBL;IGF1R;NRAS;SUFU;ABL1;PDGFRB;PDGFRA;STAT5B;JUN;IFNGR1;HGF;MITF;BRAF;AXIN2;TGFBR1;AR;CDK6;MSH2;SMO;APC;KIT;TP53;FGFR3;MET
0	GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	18/94	2.0222153627503027e-21	3.983764264618096e-18	RB1;PDGFRB;PDGFRA;NTRK2;EPHA7;FLT3;FLT4;NTRK3;IRS2;IGF1R;RAD50;ERBB4;KIT;KDR;EPHB1;MET;FGFR3;EPHA3
0	GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	20/140	5.127451686502311e-21	5.0505399112047764e-18	PDGFRB;PTPRT;PDGFRA;NTRK2;EPHA7;YES1;FLT3;FLT4;NTRK3;PIK3CB;IGF1R;PTPRD;ERBB4;KIT;KDR;FYN;EPHB1;FGFR3;MET;EPHA3
0	Reactome_Pathways_2024	Disease	57/2131	5.843321256861847e-21	2.5272364435927492e-18	RB1;FLT3;PTEN;IRS2;BRCA1;PIK3CB;IGF1R;XPO1;KDR;PDGFRB;PDGFRA;RNF43;PARP1;IFNGR1;HGF;DNMT3A;GAB1;TGFBR1;RAD51D;NCOR1;MSH2;IRF4;KIT;TP53;MET;NOTCH2;AMER1;BLM;CUL3;NOTCH4;TMPRSS2;CBL;CD79B;NRAS;ERBB4;ABL1;HIST1H3G;FYN;BRD4;MUTYH;BARD1;SUZ12;STAT5B;NTRK2;JUN;YES1;PLK2;NTRK3;BRAF;RAD50;REST;CDK6;APC;NF1;FGFR3;MYD88;ATR
0	GO_Molecular_Function_2021	protein tyrosine kinase activity (GO:0004713)	18/108	2.888020143867311e-20	3.682225683430822e-18	PDGFRB;PDGFRA;NTRK2;EPHA7;YES1;FLT3;FLT4;NTRK3;IGF1R;ERBB4;KIT;KDR;ABL1;FYN;EPHB1;FGFR3;MET;EPHA3
0	GO_Molecular_Function_2021	transmembrane receptor protein tyrosine kinase activity (GO:0004714)	15/60	6.391585785247396e-20	5.432847917460285e-18	PDGFRB;PDGFRA;NTRK2;EPHA7;FLT3;FLT4;NTRK3;IGF1R;ERBB4;KIT;KDR;EPHB1;MET;FGFR3;EPHA3
0	Reactome_Pathways_2024	Signal Transduction	59/2613	3.501406496961777e-18	1.0095722066239788e-15	FLT3;FLT4;PTEN;TNFAIP3;IRS2;PRDM1;PIK3CB;PIK3CG;IGF1R;XPO1;SUFU;KDR;PDGFRB;PDGFRA;RNF43;PARP1;HGF;GAB1;AXIN2;TGFBR1;LATS1;AR;MYCN;NCOR1;SMO;MYOD1;RASA1;KIT;PGR;TP53;MET;NOTCH2;AMER1;KMT2D;CBFB;CUL3;NOTCH4;CBL;NRAS;ERBB4;ABL1;HIST1H3G;FYN;EIF4E;SUZ12;STAT5B;NTRK2;JUN;YES1;NTRK3;BRAF;TSHR;CYLD;REST;APC;NF1;INHA;FGFR3;MYD88
0	KEGG_2021_Human	Hepatocellular carcinoma	19/168	4.839731701474762e-18	4.404155848342033e-16	RB1;SMARCD1;PBRM1;HGF;PTEN;GAB1;BRAF;PIK3CB;AXIN2;ARID1A;ARID1B;TGFBR1;IGF1R;NRAS;CDK6;APC;ARID2;TP53;MET
