Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
KRAS	PAK7	2	CNA,MUT
KRAS	PREX2	2	CNA,MUT
PREX2	SOX17	2	CNA,MUT
H3F3C	KDM5A	2	CNA,MUT
STK11	KEAP1	2	CNA,MUT
KRAS	KDM5A	2	CNA,MUT
RECQL	PAK7	2	CNA,MUT
KRAS	H3F3C	2	CNA,MUT
PREX2	RECQL	2	CNA,MUT
KRAS	RECQL	2	CNA,MUT
KRAS	STK11	1	MUT
ATM	FBXW7	1	MUT
KRAS	POLE	1	MUT
SOX17	FLT1	1	MUT
POLE	EPHA5	1	MUT
KRAS	FOXP1	1	MUT
KRAS	ATM	1	MUT
SOX17	EPHA5	1	MUT
RECQL	H3F3C	1	CNA
KRAS	KEAP1	1	MUT
KRAS	EPHA5	1	MUT
KEAP1	EPHA5	1	MUT
KRAS	NFE2L2	1	MUT
PREX2	STK11	1	MUT
KRAS	FBXW7	1	MUT
FLT1	EPHA5	1	MUT
CHEK2	EPHA5	1	MUT
SOX17	KEAP1	1	MUT
FLT1	KEAP1	1	MUT
PREX2	KEAP1	1	MUT
KRAS	DNMT3B	1	MUT
RECQL	KDM5A	1	CNA
KRAS	CHEK2	1	MUT
KRAS	SOX17	1	MUT
STAG2	EPHA5	1	MUT
KRAS	STAG2	1	MUT
POLE	PAK7	1	MUT
DNMT3B	FBXW7	1	MUT
STK11	STAG2	1	MUT
KRAS	FLT1	1	MUT
