Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
CDKN2Ap14ARF	SMARCA4	3	CNA,MUT,SV
NOTCH3	BRD4	3	CNA,MUT,SV
ERBB2	CDK12	3	CNA,MUT,SV
KDR	PDGFRA	3	CNA,MUT,SV
POLD1	KEAP1	3	CNA,MUT,SV
STK11	DOT1L	3	CNA,MUT,SV
KIT	INPP4A	2	CNA,MUT
TP53BP1	MITF	2	CNA,MUT
CBL	MET	2	CNA,MUT
NKX3-1	TOP1	2	CNA,MUT
TERT	MAP3K1	2	CNA,MUT
PIK3C2G	BCL2	2	CNA,MUT
MYC	RECQL4	2	CNA,MUT
CALR	MAP2K2	2	CNA,MUT
NTRK3	BLM	2	CNA,MUT
HGF	SCG5	2	CNA,MUT
CARD11	ETV1	2	CNA,MUT
APC	MAPK1	2	MUT,SV
PTPRD	JAK2	2	CNA,MUT
PREX2	SOX17	2	CNA,MUT
RECQL4	TERT	2	CNA,MUT
FLT3	FOXO1	2	CNA,MUT
IRS1	NPM1	2	CNA,MUT
RTEL1	FAM58A	2	CNA,MUT
CARD11	PLCG2	2	CNA,MUT
MYCN	EIF4A2	2	CNA,MUT
MAPK1	PDGFRA	2	CNA,MUT
DROSHA	TGFBR2	2	CNA,MUT
MAPK1	SETD2	2	CNA,MUT
MAP3K13	SOX2	2	CNA,MUT
NTRK3	PIK3R1	2	CNA,MUT
NTRK3	IGF1R	2	CNA,MUT
TP53	PRKD1	2	CNA,MUT
TP53	RB1	2	CNA,MUT
CARD11	SDHA	2	CNA,MUT
PIK3C2G	CCND2	2	CNA,MUT
SLX4	NKX3-1	2	CNA,MUT
FOXL2	KMT2B	2	CNA,MUT
WHSC1L1	PRKD1	2	CNA,MUT
PTPRD	FLT1	2	CNA,MUT
RICTOR	BAP1	2	CNA,MUT
RIT1	KEAP1	2	CNA,MUT
CRLF2	NCOA3	2	CNA,MUT
FGF3	MEN1	2	CNA,MUT
CDKN2Ap16INK4A	SMARCA4	2	CNA,SV
LYN	WHSC1L1	2	CNA,MUT
NOTCH3	HLA-A	2	CNA,MUT
NTRK1	SRC	2	CNA,MUT
FOXL2	EIF4A2	2	CNA,MUT
PTPRD	IDH1	2	CNA,MUT
WHSC1	FGFR3	2	CNA,MUT
MRE11A	PGR	2	CNA,MUT
WHSC1	KDR	2	CNA,MUT
HGF	YES1	2	CNA,MUT
PREX2	GREM1	2	CNA,MUT
SDHA	DROSHA	2	CNA,MUT
SOX17	WHSC1L1	2	CNA,MUT
PTPRD	NEGR1	2	CNA,MUT
IRS2	FOXO1	2	CNA,MUT
RICTOR	DROSHA	2	CNA,MUT
KDM5A	KDR	2	CNA,MUT
TSC2	PIK3CD	2	CNA,MUT
GRIN2A	NTHL1	2	CNA,MUT
KIT	KMT2B	2	CNA,MUT
EPHB1	MAP3K13	2	CNA,MUT
ASXL1	IKZF1	2	CNA,MUT
KDM5C	ZRSR2	2	CNA,MUT
NTRK1	PDGFRA	2	CNA,MUT
HLA-A	MPL	2	CNA,MUT
FGFR1	TP53	2	CNA,MUT
DROSHA	TRIP13	2	CNA,MUT
FOXA1	ERBB2	2	CNA,MUT
EIF4A2	DCUN1D1	2	CNA,MUT
SDHA	PLCG2	2	CNA,MUT
