Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	EGFR	23	583	628	833	5.593531923012556e-85	-4.256238180669563	4.9614628157121376e-82
KRAS	ERBB2	5	601	110	1351	3.621359590657078e-12	-3.290840840022798	1.6060729784564142e-09
KRAS	TP53	273	333	894	567	1.2521467160042557e-11	-0.9435473223924986	3.702180456985916e-09
KRAS	EML4	1	605	72	1389	1.907304645294782e-10	-4.970885449622877	4.229448050941179e-08
KRAS	MET	23	583	124	1337	5.308072654030041e-05	-1.233202677437006	0.009416520888249293
KRAS	KIF5B	0	606	23	1438	0.0003249974690606452	-10.0	0.04804545917613205
KRAS	RB1	23	583	113	1348	0.00042960941038504996	-1.0873642983768128	0.05443764957307705
KRAS	ALK	29	577	131	1330	0.0005406063779762395	-0.9706589846668086	0.05993973215811556
KRAS	CD74	0	606	20	1441	0.000932200853940238	-10.0	0.09187357304944346
KRAS	SOS1	0	606	19	1442	0.001323957939576704	-10.0	0.11743506924045365
KRAS	MDM2	24	582	106	1355	0.002504187058539871	-0.9237561605090928	0.20192853826589688
KRAS	AKT2	6	600	43	1418	0.0038906328625284052	-1.6004791272373065	0.2875826124218913
KRAS	BRAF	23	583	99	1362	0.004672500327599019	-0.8816357492110218	0.3188082915831023
KRAS	CTNNB1	14	592	67	1394	0.008378091449657918	-1.023172788160695	0.5308119368461838
KRAS	FOXA1	30	576	111	1350	0.01690259616319549	-0.6587065802457066	0.9990365545393841
KRAS	EZH2	2	604	21	1440	0.018020952505783703	-2.1388690657741645	0.9990365545393841
KRAS	RAC1	5	601	32	1429	0.020377907515280326	-1.4285028847280068	1.0
KRAS	CDKN2B	73	533	228	1233	0.02051598149720421	-0.4331000936410613	1.0
KRAS	MTAP	12	594	54	1407	0.02616372037104736	-0.9258375090065453	1.0
KRAS	CEBPA	10	596	47	1414	0.02925999241691233	-0.9862628724430379	1.0
KRAS	CDK12	11	595	50	1411	0.03018408080561818	-0.9386681567354692	1.0
KRAS	ARAF	8	598	40	1421	0.03219976293649295	-1.073238929842687	1.0
KRAS	CDKN2Ap14ARF	79	527	238	1223	0.03454734618429207	-0.3764874782406686	1.0
KRAS	CSF3R	2	604	18	1443	0.039974880330988186	-1.913474156276193	1.0
KRAS	CDKN2Ap16INK4A	80	526	238	1223	0.04286990674570846	-0.3555999691854968	1.0
KRAS	PMS2	9	597	41	1420	0.04786112745602617	-0.9375389100485318	1.0
KRAS	ERCC4	5	601	28	1433	0.04788589433760297	-1.2318251136192815	1.0
KRAS	JAK1	3	603	21	1440	0.04811352393272267	-1.5515160176280143	1.0
KRAS	CCNE1	16	590	62	1399	0.049841513096987866	-0.7085872074713254	1.0
KRAS	CRKL	2	604	17	1444	0.05172309191594912	-1.8300125536882474	1.0
KRAS	CDK4	22	584	79	1382	0.05269266760334807	-0.6016317880315645	1.0
KRAS	BIRC3	4	602	24	1437	0.05419268340369145	-1.3297378310235217	1.0
KRAS	CDK6	4	602	24	1437	0.05419268340369145	-1.3297378310235217	1.0
KRAS	SDHA	28	578	95	1366	0.05887830608280757	-0.5216846004839321	1.0
KRAS	RPS6KA4	3	603	20	1441	0.06070604341255902	-1.4801251658915435	1.0
KRAS	CD274	3	603	20	1441	0.06070604341255902	-1.4801251658915435	1.0
KRAS	CCDC6	0	606	8	1453	0.06194846795964755	-10.0	1.0
KRAS	RIT1	6	600	30	1431	0.06199877376818484	-1.0679388286565756	1.0
KRAS	CCND1	9	597	39	1422	0.06707511653955357	-0.8633585890653256	1.0
KRAS	SRC	2	604	15	1446	0.0853862096257342	-1.6474434979824797	1.0
KRAS	TRAF2	2	604	15	1446	0.0853862096257342	-1.6474434979824797	1.0
KRAS	CBFB	0	606	7	1454	0.08776743053430122	-10.0	1.0
KRAS	RRAS	0	606	7	1454	0.08776743053430122	-10.0	1.0
KRAS	CCND3	6	600	28	1433	0.0898126250935717	-0.9663882175701831	1.0
KRAS	FGF3	12	594	46	1415	0.09091151499832292	-0.6863322384173778	1.0
KRAS	MAP2K4	7	599	31	1430	0.0914948696612149	-0.8914541494523051	1.0
KRAS	DICER1	11	595	43	1418	0.09177995067279006	-0.7139371770205905	1.0
KRAS	SESN3	1	605	11	1450	0.09229691322400953	-2.1983857658969574	1.0
KRAS	TEK	10	596	40	1421	0.09236944310390786	-0.7464776812193814	1.0
KRAS	TOP1	3	603	18	1443	0.09522457102854104	-1.3261211081300428	1.0
KRAS	NUP93	3	603	18	1443	0.09522457102854104	-1.3261211081300428	1.0
KRAS	ROS1	17	589	60	1401	0.09544653228587001	-0.5693103377578217	1.0
KRAS	RARA	4	602	21	1440	0.1014052143011345	-1.1340840032087878	1.0
KRAS	CASP8	2	604	14	1447	0.10884350820178107	-1.5469104548509585	1.0
KRAS	SPEN	13	593	47	1414	0.11776702684653763	-0.6004710232731499	1.0
KRAS	SOCS1	3	603	17	1444	0.1182962908973944	-1.242659505542097	1.0
KRAS	GPS2	1	605	10	1451	0.12170890026411743	-2.0598876229825747	1.0
KRAS	PIK3R3	1	605	10	1451	0.12170890026411743	-2.0598876229825747	1.0
KRAS	MYCL1	1	605	10	1451	0.12170890026411743	-2.0598876229825747	1.0
KRAS	GAB1	1	605	10	1451	0.12170890026411743	-2.0598876229825747	1.0
KRAS	INPP4A	4	602	20	1441	0.12366864081174085	-1.0626931514723168	1.0
KRAS	CYLD	4	602	20	1441	0.12366864081174085	-1.0626931514723168	1.0
