Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	MGA	0.3889	0.2377	0.54
0	EPHA3	0.3148	0.1866	0.5294
0	SETD2	0.2407	0.099	0.4909
0	ZFHX3	0.2037	0.1052	0.4865
0	CSF3R	0.1667	0.1093	0.4779
0	NOTCH3	0.1667	0.0806	0.4186
0	TET2	0.1667	0.0217	0.439
0	TSHR	0.1667	0.0641	0.4538
0	ALK	0.1481	0.0451	0.4426
0	CREBBP	0.1481	0.151	0.406
0	EPHA7	0.1481	0.0178	0.4219
0	SHQ1	0.1481	0.1234	0.45
0	DNMT3A	0.1296	0.0118	0.4355
0	FANCA	0.1296	0.0184	0.4219
0	PIK3C3	0.1296	0.0859	0.4286
0	ARID1A	0.1111	0.0622	0.4
0	ASXL2	0.1111	0.006	0.4
0	INPPL1	0.1111	0.0637	0.4576
0	KNSTRN	0.1111	0.0039	0.3971
0	SLX4	0.1111	0.0496	0.4122
0	SPRED1	0.1111	0.013	0.439
0	MST1R	0.0926	0.0411	0.4219
0	MTOR	0.0926	0.0305	0.4091
0	ARID2	0.0741	0.0485	0.403
0	DIS3	0.0741	0.0025	0.3699
0	MDC1	0.0741	0.0099	0.4252
0	MYOD1	0.0741	0.0005	0.3913
0	TP53BP1	0.0741	0.0002	0.3673
0	BRD4	0.0556	0.0035	0.3673
0	CD79B	0.0556	0.0	0.4122
0	ERCC5	0.0556	0.0017	0.3776
0	FAM46C	0.0556	0.0422	0.3313
0	FOXP1	0.0556	0.0	0.3158
0	MITF	0.0556	0.0	0.3158
0	NF2	0.0556	0.0148	0.375
0	RYBP	0.0556	0.0	0.3158
0	FBXW7	0.037	0.0	0.3462
0	GATA2	0.037	0.0	0.3576
0	HIST1H3D	0.037	0.0045	0.383
0	JAK2	0.037	0.0025	0.3506
0	MLH1	0.037	0.0	0.375
0	SESN2	0.037	0.0012	0.3158
0	ALB	0.0185	0.0	0.3529
0	ALOX12B	0.0185	0.0	0.3529
0	BAP1	0.0185	0.0	0.2983
0	CSDE1	0.0185	0.0	0.3017
0	DNAJB1	0.0185	0.0	0.2967
0	EML4	0.0185	0.0	0.3086
0	IKBKE	0.0185	0.0	0.2903
0	PALB2	0.0185	0.0	0.2903
0	PPM1D	0.0185	0.0	0.3017
0	PTPN11	0.0185	0.0	0.2903
0	SMAD2	0.0185	0.0	0.2872
0	STAG2	0.0185	0.0	0.3253
0	VTCN1	0.0185	0.0	0.25
1	KDM5C	0.3659	0.0972	0.5256
1	MED12	0.3659	0.1782	0.519
1	AMER1	0.3415	0.0911	0.519
1	ARAF	0.3415	0.0723	0.5062
1	BCOR	0.3415	0.0924	0.494
1	KDM6A	0.3171	0.0811	0.494
1	RBM10	0.2927	0.1671	0.5062
1	AR	0.2683	0.0134	0.4881
1	GATA1	0.2683	0.0071	0.4767
1	PTPRT	0.2683	0.1942	0.4659
1	ZRSR2	0.2683	0.0069	0.4767
1	EIF1AX	0.2439	0.0026	0.4409
1	CRLF2	0.1707	0.0022	0.3981
1	WHSC1	0.1707	0.0245	0.4316
1	DUSP4	0.1463	0.0246	0.4362
1	FGFR4	0.1463	0.0319	0.4505
1	PAK7	0.1463	0.0318	0.4556
1	AKT1	0.122	0.0341	0.4271
1	ARID1B	0.122	0.064	0.3596
1	BTK	0.0976	0.0051	0.402
1	IRS2	0.0976	0.0528	0.3417
1	NKX3-1	0.0976	0.0038	0.4184
1	NOTCH1	0.0976	0.0687	0.41
1	CD274	0.0732	0.0488	0.3565
1	ESR1	0.0732	0.0402	0.4362
1	PBRM1	0.0732	0.0191	0.3661
1	PTPRS	0.0732	0.0638	0.3475
1	SOX9	0.0732	0.0415	0.4141
1	TCF3	0.0732	0.0732	0.3694
1	ABL1	0.0488	0.0102	0.3727
1	CYLD	0.0488	0.0071	0.41
1	FGFR3	0.0488	0.0004	0.3475
1	NCOA3	0.0488	0.0097	0.4059
1	CALR	0.0244	0.0	0.2595
1	E2F3	0.0244	0.0	0.3388
1	MRE11A	0.0244	0.0	0.2662
1	PDCD1LG2	0.0244	0.0	0.2645
1	PPARG	0.0244	0.0	0.3445
1	RAC2	0.0244	0.0	0.3203
1	RHOA	0.0244	0.0	0.3475
1	TSC1	0.0244	0.0	0.2562
1	U2AF1	0.0244	0.0	0.2715
2	PTPRD	0.425	0.2066	0.597
2	KMT2D	0.35	0.2143	0.5556
2	TP53	0.35	0.1794	0.5882
2	EPHB1	0.3	0.1022	0.5195
2	NOTCH4	0.3	0.1125	0.5063
2	TET1	0.3	0.1037	0.5405
2	DDR2	0.25	0.034	0.5063
2	PIK3CG	0.225	0.114	0.4545
2	ATM	0.2	0.0272	0.4762
2	HGF	0.2	0.0868	0.4651
2	KMT2C	0.2	0.0434	0.4651
2	NTRK3	0.2	0.0063	0.4651
2	AXIN2	0.15	0.0132	0.4545
2	CARD11	0.15	0.0507	0.4255
2	RB1	0.15	0.1312	0.4396
2	APC	0.125	0.0079	0.4348
2	ROS1	0.125	0.0719	0.396
2	DNMT1	0.1	0.0016	0.367
2	NFE2L2	0.1	0.0031	0.4545
2	PMS2	0.1	0.0182	0.3846
2	RASA1	0.1	0.0	0.4255
2	ANKRD11	0.075	0.0024	0.4167
2	FH	0.075	0.006	0.3636
2	FLT4	0.075	0.0	0.3774
2	INPP4A	0.075	0.0	0.4348
2	NSD1	0.075	0.0063	0.4124
2	PIK3C2G	0.075	0.0011	0.404
2	BRIP1	0.05	0.0	0.396
2	CDH1	0.05	0.0055	0.3774
2	DAXX	0.05	0.0	0.3922
2	HIST1H3B	0.05	0.0	0.3738
2	RAC1	0.05	0.0	0.3077
2	RECQL	0.05	0.0	0.32
2	RPTOR	0.05	0.0115	0.3419
2	STAT5B	0.05	0.0004	0.3604
2	CBFB	0.025	0.0	0.3077
2	CD74	0.025	0.0	0.2857
2	CDK6	0.025	0.0	0.32
2	ERF	0.025	0.0	0.315
2	PDCD1	0.025	0.0	0.3077
2	PPP2R1A	0.025	0.0	0.339
3	AGO2	0.2571	0.228	0.407
3	MCL1	0.2286	0.2387	0.3465
3	KDM5A	0.2	0.4179	0.4375
3	MYC	0.2	0.0451	0.3398
3	RECQL4	0.2	0.1261	0.3977
3	FLT3	0.1714	0.3494	0.4321
3	NTRK1	0.1714	0.4848	0.443
3	PRDM14	0.1429	0.0207	0.3271
3	RAD21	0.1429	0.0055	0.3333
3	CCND2	0.1143	0.1109	0.3211
3	EP300	0.1143	0.035	0.3211
3	NBN	0.1143	0.0521	0.3125
3	NRAS	0.1143	0.0792	0.3182
3	PHOX2B	0.1143	0.0365	0.35
3	RIT1	0.1143	0.0244	0.3333
3	YES1	0.1143	0.0375	0.3846
3	SDHC	0.0857	0.0	0.3302
3	SETDB1	0.0857	0.0008	0.2632
3	CDKN1B	0.0571	0.0	0.2465
3	ETV6	0.0571	0.0	0.2465
3	H3C14	0.0571	0.0	0.2612
3	HIST2H3C	0.0571	0.0	0.2612
3	HIST2H3D	0.0571	0.0	0.2612
3	HNF1A	0.0571	0.0202	0.2574
3	JAK3	0.0571	0.0048	0.3125
3	LYN	0.0571	0.0218	0.2632
3	NOTCH2	0.0571	0.0	0.2482
3	PARK2	0.0571	0.0554	0.3211
3	RAD52	0.0571	0.0	0.3153
3	TCEB1	0.0571	0.0	0.2574
3	CBL	0.0286	0.0	0.3097
3	ERCC2	0.0286	0.0	0.3043
3	KLF4	0.0286	0.0	0.2917
3	MLL2	0.0286	0.0	0.307
3	NUF2	0.0286	0.0	0.2593
3	VEGFA	0.0286	0.0	0.2431
4	GRIN2A	0.3636	0.283	0.5238
4	NF1	0.3636	0.2921	0.55
4	ERBB4	0.2727	0.1475	0.4286
4	ATRX	0.2424	0.1225	0.5077
4	LATS2	0.2424	0.2109	0.5
4	PREX2	0.2424	0.1726	0.4583
