Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	8/253	3.6240758026013545e-10	1.685730156863305e-07	0	0	40.26734693877551	875.3417200321495	PAK1;CCND1;AXL;KIT;ERBB2;KDR;EPHA3;FGF4
GO_Biological_Process_2021	protein autophosphorylation (GO:0046777)	7/159	5.429082630799692e-10	1.685730156863305e-07	0	0	53.702786377708975	1145.6995813436547	PAK1;KIT;ERBB2;KDR;CDK12;MAP3K13;AURKA
GO_Biological_Process_2021	protein phosphorylation (GO:0006468)	8/496	7.013466556128838e-08	1.2662192043745344e-05	0	0	19.9672131147541	328.91687958737543	PAK1;KIT;ERBB2;KDR;CDK12;MAP3K13;EPHA3;AURKA
GO_Biological_Process_2021	regulation of kinase activity (GO:0043549)	5/94	8.156001316422123e-08	1.2662192043745344e-05	0	0	58.80248373743347	959.769831094692	AXL;KIT;ERBB2;KDR;EPHA3
KEGG_2021_Human	Pathways in cancer	8/531	1.184281971252616e-07	9.726616245127442e-06	0	0	18.59751434034417	296.6109935571316	NFKBIA;CCND1;CDKN2A;KIT;ERBB2;GNAS;IL7R;FGF4
KEGG_2021_Human	PI3K-Akt signaling pathway	7/354	1.3699459500179497e-07	9.726616245127442e-06	0	0	23.292591964739785	368.1003861072897	CCND1;KIT;ERBB2;KDR;IL7R;FGF4;MCL1
GO_Biological_Process_2021	positive regulation of kinase activity (GO:0033674)	5/114	2.146958779703229e-07	2.6665228043914105e-05	0	0	47.96475132786094	736.4528702613928	AXL;KIT;ERBB2;KDR;EPHA3
GO_Biological_Process_2021	transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	7/404	3.351381626668244e-07	3.468679983601633e-05	0	0	20.30715661579493	302.75377217701873	PAK1;AXL;KIT;ERBB2;KDR;EPHA3;FGF4
GO_Biological_Process_2021	peptidyl-tyrosine modification (GO:0018212)	4/56	5.616631430021539e-07	4.636916731631091e-05	0	0	76.63076923076923	1102.8978903784582	KIT;ERBB2;KDR;EPHA3
GO_Biological_Process_2021	enzyme linked receptor protein signaling pathway (GO:0007167)	5/140	5.973483712246172e-07	4.636916731631091e-05	0	0	38.67641325536062	554.2626032266801	AXL;KIT;ERBB2;KDR;EPHA3
GO_Biological_Process_2021	positive regulation of transferase activity (GO:0051347)	5/148	7.867747214594802e-07	5.428745578070414e-05	0	0	36.497975708502025	512.9908695196339	AXL;KIT;ERBB2;KDR;EPHA3
KEGG_2021_Human	MAPK signaling pathway	6/294	1.0327367303437005e-06	4.888287190293515e-05	0	0	22.78703703703704	314.0805279342234	PAK1;KIT;ERBB2;KDR;MAP3K13;FGF4
GO_Biological_Process_2021	peptidyl-tyrosine phosphorylation (GO:0018108)	4/69	1.308325122157766e-06	8.124699008599727e-05	0	0	61.26461538461538	829.9372109010708	KIT;ERBB2;KDR;EPHA3
