Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
ABL1	ALK	2	0.03872402961935976	3.289506617194985	0.12524074338490224
ABL1	AMER1	3	0.00170205320656451	4.738767836800192	0.03723421997722193
ABL1	ARID1B	3	0.0010655154592756403	5.0032167126835425	0.0301202706967285
ABL1	CREBBP	2	0.015627466245120104	4.065291460251719	0.0890185245660356
ABL1	CYLD	2	0.007680471905293967	4.6692787866546315	0.06792236135875962
ABL1	EPHB1	2	0.028007368231750745	3.5688428353578794	0.11169717032858033
ABL1	FGFR3	2	0.0047020632934703255	5.0937354382658695	0.054729977900962186
ABL1	HGF	2	0.030030854002918928	3.5090136474878575	0.11337461289997373
ABL1	INPP4B	2	0.012693209449738181	4.241585986569759	0.08122760267283881
ABL1	INPPL1	2	0.010041496456187985	4.4405725913859815	0.07318138113008044
ABL1	KRAS	2	0.2884435844047477	1.3209562558200374	0.3670711688943382
ABL1	MED12	2	0.024146773568660462	3.6956065644051486	0.10556332335534045
ABL1	NF1	2	0.06433102515288322	2.841302253980942	0.15780273504676584
ABL1	PDGFRA	2	0.03425946648666248	3.3955851366126715	0.11940309052762946
ABL1	PGR	2	0.01719803330003305	3.9840936090906394	0.09221667044150056
ABL1	PIK3CG	2	0.056102327653446096	2.963807348376619	0.1464865151621151
ABL1	PTPRT	2	0.04584713945716063	3.142132849420989	0.1344430779553612
ABL1	RUNX1	2	0.0013100162750151515	6.279223643933124	0.03316219981055054
ABL1	SLX4	2	0.007680471905293967	4.6692787866546315	0.06792236135875962
ABL1	STAT5B	2	0.0008770644461145641	6.697353738267349	0.026971301642449066
ABL1	TP53	4	0.5126152903438939	0.8356131820991177	0.560272119440247
ACVR1	CDKN2A	2	0.17072480221078828	2.504568720870412	0.2615682611755062
ACVR1	DICER1	2	0.0020463876795314747	6.38919132179204	0.039830370469430595
ACVR1	EGFR	2	0.04757065409529657	3.7522572461187966	0.136331823402557
ACVR1	FAT1	2	0.028111040842398235	4.211147664168825	0.11169717032858033
ACVR1	KEAP1	2	0.07852202830248475	3.292781749227846	0.17335083425992373
ACVR1	PIK3C2G	2	0.003134767096776919	6.03184886603934	0.04711375186507422
ACVR1	TP53	2	0.7751720135836151	-0.1732377354831481	0.7910106434643922
AGO2	AKT1	2	0.05636025795744842	2.7198920808072646	0.14661859959251422
