Cluster_ID	Gene	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality
0	KRAS	0.625	0.6071	0.7273
0	KDM6A	0.375	0.0714	0.5714
0	RNF43	0.375	0.25	0.5333
0	SMAD4	0.375	0.25	0.5333
0	TP53	0.375	0.25	0.5333
0	TGFBR2	0.25	0.0	0.5
0	CDK6	0.125	0.0	0.3636
0	JAK3	0.125	0.0	0.3636
0	U2AF1	0.125	0.0	0.3636
1	AKT2	0.6667	0.5732	0.6
1	CCNE1	0.4167	0.1187	0.5217
1	CEBPA	0.3333	0.0051	0.4286
1	AXL	0.25	0.0	0.4138
1	FGFR1	0.25	0.4394	0.4444
1	KMT2B	0.25	0.0	0.4138
1	WHSC1L1	0.25	0.4848	0.5455
1	PBRM1	0.1667	0.1667	0.3333
1	ARID5B	0.0833	0.0	0.3871
1	ERBB4	0.0833	0.0	0.2553
1	ERCC2	0.0833	0.0	0.3871
1	NSD3	0.0833	0.0	0.3158
1	RAD50	0.0833	0.0	0.3871
2	CDKN2Ap16INK4A	1.0	0.2778	1.0
2	CDKN2Ap14ARF	0.9	0.1556	0.9091
2	CDKN2B	0.8	0.0778	0.8333
2	CDKN2A	0.7	0.0667	0.7692
2	MTAP	0.5	0.0	0.6667
2	TEK	0.5	0.0	0.6667
2	HIST1H3C	0.4	0.0	0.625
2	RYBP	0.3	0.0	0.5882
2	XIAP	0.3	0.0	0.5882
2	CRLF2	0.2	0.0	0.5556
2	STAG2	0.2	0.0	0.5556
4	BRCA2	0.3452	0.1918	0.5419
4	KMT2D	0.2976	0.1383	0.5091
4	ZFHX3	0.2738	0.1164	0.5316
4	ATM	0.2619	0.1695	0.5
4	DOT1L	0.2262	0.0674	0.5091
4	ARID1A	0.2143	0.065	0.4746
4	BCOR	0.1905	0.0626	0.4912
4	NOTCH3	0.1905	0.0736	0.497
4	KMT2C	0.1786	0.0845	0.4941
4	AXIN1	0.1667	0.0243	0.4884
4	RICTOR	0.1548	0.0745	0.4286
4	BRAF	0.1429	0.0569	0.4541
4	EP300	0.131	0.0575	0.4667
4	NTRK3	0.131	0.0081	0.459
4	PREX2	0.131	0.0407	0.4308
4	RBM10	0.131	0.0512	0.4492
4	EPHA7	0.119	0.0432	0.4308
4	AMER1	0.1071	0.0165	0.4286
4	GNAS	0.1071	0.0753	0.42
4	ERF	0.0952	0.0052	0.4308
4	INSR	0.0952	0.0063	0.4492
4	PIK3CA	0.0952	0.0153	0.3981
4	RB1	0.0952	0.0621	0.4058
4	SMARCA4	0.0952	0.0268	0.4078
4	FLT1	0.0833	0.0282	0.3962
4	KDM5C	0.0833	0.0136	0.4118
4	NOTCH1	0.0833	0.0059	0.4158
4	ANKRD11	0.0714	0.0028	0.3925
4	CREBBP	0.0714	0.0126	0.4221
4	DNMT1	0.0714	0.001	0.4019
4	INPPL1	0.0714	0.0023	0.3621
4	TERT	0.0714	0.0305	0.3574
4	APC	0.0595	0.0027	0.3767
4	FAT1	0.0595	0.0029	0.4221
4	IL7R	0.0595	0.0022	0.3268
4	JAK2	0.0595	0.0017	0.4158
4	MSH2	0.0595	0.0054	0.4221
4	PRDM14	0.0595	0.0017	0.4158
4	PTPRD	0.0595	0.0097	0.3871
4	SDHA	0.0595	0.0054	0.317
4	SETD2	0.0595	0.0238	0.3818
4	CDK12	0.0476	0.0281	0.3801
4	KMT2A	0.0476	0.0035	0.3836
4	LATS2	0.0476	0.008	0.3981
4	AR	0.0357	0.0008	0.3457
4	DROSHA	0.0357	0.0	0.3043
4	ERBB2	0.0357	0.0016	0.3294
4	FLT4	0.0357	0.0006	0.3717
4	FOXO1	0.0357	0.0013	0.3784
4	NOTCH2	0.0357	0.001	0.3668
4	PGR	0.0357	0.0025	0.3717
4	PTPRS	0.0357	0.0004	0.3231
4	ARID1B	0.0238	0.0	0.375
4	BRCA1	0.0238	0.0	0.3717
4	CBL	0.0238	0.0238	0.3373
4	CDK8	0.0238	0.0	0.3559
4	CSF1R	0.0238	0.0001	0.3652
4	FLT3	0.0238	0.0	0.3559
4	PIK3CD	0.0238	0.0	0.37
4	POLD1	0.0238	0.0	0.3925
4	RARA	0.0238	0.0	0.3231
4	RPTOR	0.0238	0.0	0.3515
4	TRIP13	0.0238	0.0	0.2658
4	ALK	0.0119	0.0	0.2772
4	AXIN2	0.0119	0.0	0.3347
4	BRD4	0.0119	0.0	0.3333
4	CARD11	0.0119	0.0	0.2847
4	CARM1	0.0119	0.0	0.2907
4	ERG	0.0119	0.0	0.2968
4	ESR1	0.0119	0.0	0.3231
4	GNA11	0.0119	0.0	0.3387
4	IGF1R	0.0119	0.0	0.3307
4	INPP4A	0.0119	0.0	0.3387
4	IRS1	0.0119	0.0	0.253
4	LATS1	0.0119	0.0	0.2897
4	MGA	0.0119	0.0	0.2897
4	PALB2	0.0119	0.0	0.3347
4	RET	0.0119	0.0	0.2763
4	RTEL1	0.0119	0.0	0.2968
4	SND1	0.0119	0.0	0.3134
4	SPEN	0.0119	0.0	0.3022
4	SRC	0.0119	0.0	0.3111
4	TET1	0.0119	0.0	0.3022
4	TSC1	0.0119	0.0	0.3347
4	XPO1	0.0119	0.0	0.2968
