Cluster_ID	N_Nodes	N_Edges	N_Components	Density	Avg_Degree	Avg_Clustering	Transitivity	Diameter_LCC	Avg_Edge_Weight
0	9	11	1	0.306	2.44	0.033	0.391	4	109.36
1	13	18	1	0.231	2.77	0.158	0.421	5	6.06
2	11	29	1	0.527	5.27	0.139	0.622	2	49.76
3	2	1	1	1.0	1.0	0.0	0.0	1	11.0
4	85	255	1	0.071	6.0	0.133	0.283	6	3.49
5	3	2	1	0.667	1.33	0.0	0.0	2	3.0
6	5	10	1	1.0	4.0	0.77	1.0	1	3.9
7	2	1	1	1.0	1.0	0.0	0.0	1	3.0
8	15	19	1	0.181	2.53	0.179	0.273	6	5.0
9	12	28	1	0.424	4.67	0.342	0.719	3	5.18
10	2	1	1	1.0	1.0	0.0	0.0	1	5.0
11	4	4	1	0.667	2.0	0.367	0.6	2	3.75
12	5	10	1	1.0	4.0	1.0	1.0	1	3.0
13	4	6	1	1.0	3.0	0.723	1.0	1	3.67
14	2	1	1	1.0	1.0	0.0	0.0	1	5.0
15	2	1	1	1.0	1.0	0.0	0.0	1	3.0
16	2	1	1	1.0	1.0	0.0	0.0	1	3.0
17	14	23	1	0.253	3.29	0.266	0.682	4	4.65
18	2	1	1	1.0	1.0	0.0	0.0	1	3.0
19	2	1	1	1.0	1.0	0.0	0.0	1	3.0
