Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	2/8	1.0895861205044152e-05	0.0013574236571685	0	0	605.4848484848485	6918.952591288204	PIK3C2G;PIK3C3
GO_Biological_Process_2021	phosphatidylinositol-mediated signaling (GO:0048015)	3/71	1.1951874191293843e-05	0.0013574236571685	0	0	87.87794117647059	996.0632854276546	ERBB3;PIK3C2G;PIK3C3
KEGG_2021_Human	Pathways in cancer	5/531	1.396502025767077e-05	0.0008658312559755878	0	0	23.12381178707224	258.5000492679547	CCND2;EP300;BRCA2;GLI1;FGF3
GO_Biological_Process_2021	recombinational repair (GO:0000725)	3/79	1.648692701014418e-05	0.0013574236571685	0	0	78.59605263157894	865.5738314273341	RECQL4;RECQL;BRCA2
GO_Biological_Process_2021	double-strand break repair via homologous recombination (GO:0000724)	3/97	3.053236254789822e-05	0.0018853733873327	0	0	63.488297872340425	660.0702701944115	RECQL4;RECQL;BRCA2
GO_Biological_Process_2021	DNA unwinding involved in DNA replication (GO:0006268)	2/16	4.656042999375256e-05	0.0023000852416913	0	0	259.3896103896104	2587.3489854471795	RECQL4;RECQL
Reactome_2022	Synthesis Of PIPs At Golgi Membrane R-HSA-1660514	2/17	5.274920091662329e-05	0.0115520750007405	0	0	242.0848484848485	2384.5265424278687	PIK3C2G;PIK3C3
GO_Biological_Process_2021	DNA geometric change (GO:0032392)	2/26	0.00012564069753470206	0.0051429175391643	0	0	151.2348484848485	1358.404162946047	RECQL4;RECQL
GO_Biological_Process_2021	double-strand break repair (GO:0006302)	3/164	0.0001457506994904889	0.0051429175391643	0	0	36.94285714285714	326.33890065745834	RECQL4;RECQL;BRCA2
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	4/474	0.0001879034874540072	0.0056627813396742	0	0	18.455791962174946	158.34298220418503	CCND2;ERBB3;GLI1;FGF3
GO_Biological_Process_2021	phosphatidylinositol 3-kinase signaling (GO:0014065)	2/34	0.00021624086857684936	0.0056627813396742	0	0	113.3806818181818	956.8329118851916	ERBB3;PIK3C2G
Reactome_2022	Signaling By Receptor Tyrosine Kinases R-HSA-9006934	4/496	0.00022361922922843825	0.0128352182015047	0	0	17.610659439927733	148.0275570918902	ERBB3;EP300;PIK3C3;FGF3
GO_Biological_Process_2021	positive regulation of cell cycle G1/S phase transition (GO:1902808)	2/35	0.00022926240241596203	0.0056627813396742	0	0	109.93939393939394	921.3628505376656	CCND2;GLI1
GO_Biological_Process_2021	DNA recombination (GO:0006310)	2/39	0.0002851004202532752	0.0064018003456871	0	0	98.03439803439804	800.2223503951916	RECQL4;RECQL
GO_Biological_Process_2021	phosphatidylinositol phosphate biosynthetic process (GO:0046854)	2/42	0.0003309067201768156	0.0068111633236394	0	0	90.66818181818182	726.5852543879128	PIK3C2G;PIK3C3
Reactome_2022	PI3K Cascade R-HSA-109704	2/44	0.0003633083772215516	0.0128352182015047	0	0	86.34199134199135	683.8508960409997	PIK3C3;FGF3
Reactome_2022	IRS-mediated Signaling R-HSA-112399	2/47	0.0004146987327513304	0.0128352182015047	0	0	80.57373737373737	627.5049024340954	PIK3C3;FGF3
Reactome_2022	Disease R-HSA-1643685	6/1736	0.0004257394072986213	0.0128352182015047	0	0	9.04558216350124	70.20894237842087	CCND2;ERBB3;EP300;PIK3C3;BRCA2;FGF3
GO_Biological_Process_2021	histone H4 acetylation (GO:0043967)	2/48	0.0004325706228682951	0.0078337512300879	0	0	78.81818181818181	610.5071105483304	EP300;BRCA2
GO_Biological_Process_2021	inositol lipid-mediated signaling (GO:0048017)	2/51	0.0004884058068615739	0.0078337512300879	0	0	73.98144712430427	564.0614766653882	PIK3C2G;PIK3C3
GO_Biological_Process_2021	DNA duplex unwinding (GO:0032508)	2/51	0.0004884058068615739	0.0078337512300879	0	0	73.98144712430427	564.0614766653882	RECQL4;RECQL
Reactome_2022	IRS-related Events Triggered By IGF1R R-HSA-2428928	2/51	0.0004884058068615739	0.0128352182015047	0	0	73.98144712430427	564.0614766653882	PIK3C3;FGF3
Reactome_2022	IGF1R Signaling Cascade R-HSA-2428924	2/52	0.0005077559934978225	0.0128352182015047	0	0	72.49818181818182	549.935650796121	PIK3C3;FGF3
GO_Biological_Process_2021	positive regulation of phosphorylation (GO:0042327)	3/253	0.0005208591983358685	0.0078337512300879	0	0	23.6844	179.05479360860036	CCND2;ERBB3;FGF3
Reactome_2022	Insulin Receptor Signaling Cascade R-HSA-74751	2/53	0.0005274747206097833	0.0128352182015047	0	0	71.07308377896614	536.4176760073683	PIK3C3;FGF3
Reactome_2022	Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192	2/53	0.0005274747206097833	0.0128352182015047	0	0	71.07308377896614	536.4176760073683	PIK3C3;FGF3
GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	4/625	0.0005391650644190078	0.0078337512300879	0	0	13.860082304526747	104.30389403853953	CCND2;ERBB3;GLI1;FGF3
