Cluster_ID	Gene_set	Term	Overlap	P-value	Adjusted P-value	Genes
0	KEGG_2021_Human	Chronic myeloid leukemia	5/76	8.628604141133695e-11	4.7457322776235326e-09	SMAD4;CDK6;KRAS;TP53;TGFBR2
0	KEGG_2021_Human	Pancreatic cancer	5/76	8.628604141133695e-11	4.7457322776235326e-09	SMAD4;CDK6;KRAS;TP53;TGFBR2
0	KEGG_2021_Human	Hepatitis B	5/162	4.022290166960821e-09	1.328363696960441e-07	SMAD4;KRAS;JAK3;TP53;TGFBR2
0	KEGG_2021_Human	Hepatocellular carcinoma	5/168	4.830413443492513e-09	1.328363696960441e-07	SMAD4;CDK6;KRAS;TP53;TGFBR2
0	KEGG_2021_Human	Human T-cell leukemia virus 1 infection	5/219	1.8283780835550763e-08	3.517061066492558e-07	SMAD4;KRAS;JAK3;TP53;TGFBR2
0	KEGG_2021_Human	Non-small cell lung cancer	4/72	1.9183969453595773e-08	3.517061066492558e-07	CDK6;KRAS;JAK3;TP53
0	KEGG_2021_Human	Pathways in cancer	6/531	2.6728361439735122e-08	4.200171083386948e-07	SMAD4;CDK6;KRAS;JAK3;TP53;TGFBR2
0	KEGG_2021_Human	Colorectal cancer	4/86	3.948762548112017e-08	5.429548503654023e-07	SMAD4;KRAS;TP53;TGFBR2
0	KEGG_2021_Human	Gastric cancer	4/149	3.620966874881797e-07	4.425626180411085e-06	SMAD4;KRAS;TP53;TGFBR2
0	KEGG_2021_Human	Cellular senescence	4/156	4.352760137134851e-07	4.788036150848336e-06	CDK6;KRAS;TP53;TGFBR2
0	Reactome_Pathways_2024	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	5/451	6.668780489901082e-07	0.00022473790250966645	RNF43;SMAD4;KRAS;TP53;TGFBR2
0	KEGG_2021_Human	Viral carcinogenesis	4/203	1.247579832465319e-06	1.2475798324653191e-05	CDK6;KRAS;JAK3;TP53
0	GO_Biological_Process_2021	regulation of thymocyte apoptotic process (GO:0070243)	2/6	2.6974038030480176e-06	0.0010411978679765	JAK3;TP53
0	KEGG_2021_Human	Melanoma	3/72	3.6996514820895287e-06	3.391347191915401e-05	CDK6;KRAS;TP53
0	Reactome_Pathways_2024	RUNX3 Regulates CDKN1A Transcription	2/7	3.775499332228468e-06	0.00033921350489231306	SMAD4;TP53
0	Reactome_Pathways_2024	Loss of Function of SMAD2 3 in Cancer	2/7	3.775499332228468e-06	0.00033921350489231306	SMAD4;TGFBR2
0	KEGG_2021_Human	Glioma	3/75	4.185956056867304e-06	3.5419628173492573e-05	CDK6;KRAS;TP53
0	Reactome_Pathways_2024	Disease	7/2131	4.577646324142758e-06	0.00033921350489231306	RNF43;SMAD4;CDK6;KRAS;JAK3;TP53;TGFBR2
0	Reactome_Pathways_2024	Signaling by TGF-beta Receptor Complex in Cancer	2/8	5.032841318877048e-06	0.00033921350489231306	SMAD4;TGFBR2
0	Reactome_Pathways_2024	Transcriptional Regulation by RUNX3	3/86	6.328493251574592e-06	0.0003554503709634396	SMAD4;KRAS;TP53
0	KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	3/100	9.967716330682825e-06	7.831777116965076e-05	SMAD4;KRAS;TGFBR2
0	KEGG_2021_Human	PI3K-Akt signaling pathway	4/354	1.1334274416406104e-05	8.31180123869781e-05	CDK6;KRAS;JAK3;TP53
0	KEGG_2021_Human	Th17 cell differentiation	3/107	1.2215982179498698e-05	8.398487748405355e-05	SMAD4;JAK3;TGFBR2
0	GO_Biological_Process_2021	cardiac left ventricle morphogenesis (GO:0003214)	2/14	1.633405632897404e-05	0.0021016485809946	SMAD4;TGFBR2
0	GO_Biological_Process_2021	secondary palate development (GO:0062009)	2/14	1.633405632897404e-05	0.0021016485809946	SMAD4;TGFBR2
0	Reactome_Pathways_2024	Gene Expression (Transcription)	6/1615	1.8638978487884e-05	0.0008973336786309867	SMAD4;CDK6;KRAS;U2AF1;TP53;KDM6A
0	KEGG_2021_Human	Cell cycle	3/124	1.901392707732176e-05	0.00012303129285325844	SMAD4;CDK6;TP53
0	KEGG_2021_Human	FoxO signaling pathway	3/131	2.2413205269308675e-05	0.00013696958775688634	SMAD4;KRAS;TGFBR2
0	KEGG_2021_Human	Measles	3/139	2.676272496216026e-05	0.00015494209188619097	CDK6;JAK3;TP53
0	KEGG_2021_Human	Signaling pathways regulating pluripotency of stem cells	3/143	2.9131807063460573e-05	0.00016022493884903317	SMAD4;KRAS;JAK3
0	GO_Biological_Process_2021	atrioventricular valve morphogenesis (GO:0003181)	2/19	3.065806191994291e-05	0.0029585029752744	SMAD4;TGFBR2
0	KEGG_2021_Human	Breast cancer	3/147	3.163516650539713e-05	0.00016570801502827068	CDK6;KRAS;TP53
0	KEGG_2021_Human	Hepatitis C	3/157	3.850416068690595e-05	0.00019252080343452971	CDK6;KRAS;TP53
0	KEGG_2021_Human	Wnt signaling pathway	3/166	4.54679243942918e-05	0.0002174552905813956	RNF43;SMAD4;TP53
0	GO_Biological_Process_2021	outflow tract septum morphogenesis (GO:0003148)	2/25	5.371108552771946e-05	0.0041464958027399	SMAD4;TGFBR2
0	GO_Biological_Process_2021	ventricular septum morphogenesis (GO:0060412)	2/28	6.762873462126663e-05	0.0043507819273014	SMAD4;TGFBR2
0	KEGG_2021_Human	Transcriptional misregulation in cancer	3/192	7.011432385121074e-05	0.0003133033163478799	TP53;KDM6A;TGFBR2
0	KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	3/193	7.12052991699727e-05	0.0003133033163478799	CDK6;KRAS;TP53
0	KEGG_2021_Human	Epstein-Barr virus infection	3/202	8.152943250588283e-05	0.00034493221444796584	CDK6;JAK3;TP53
0	Reactome_Pathways_2024	Oncogene Induced Senescence	2/35	0.0001062792531246727	0.0044770135378768	CDK6;TP53
0	KEGG_2021_Human	Human cytomegalovirus infection	3/225	0.00011225708380735304	0.0004573436747706976	CDK6;KRAS;TP53
0	KEGG_2021_Human	Thyroid cancer	2/37	0.00011890590002824751	0.0004671303215395439	KRAS;TP53
0	GO_Biological_Process_2021	ventricular septum development (GO:0003281)	2/38	0.00012548254326066126	0.006919465956945	SMAD4;TGFBR2
0	Reactome_Pathways_2024	RNA Polymerase II Transcription	5/1360	0.00014427760417279808	0.0054023947340258	SMAD4;CDK6;KRAS;U2AF1;TP53
0	KEGG_2021_Human	Bladder cancer	2/41	0.00014626426509152532	0.0005547954882781995	KRAS;TP53
0	GO_Biological_Process_2021	positive regulation of epithelial to mesenchymal transition (GO:0010718)	2/42	0.00015354169033610977	0.0074083865587172	SMAD4;TGFBR2
0	GO_Biological_Process_2021	regulation of fibroblast proliferation (GO:0048145)	2/46	0.00018439901560229468	0.0079086688913873	CDK6;TP53
0	Reactome_Pathways_2024	Deubiquitination	3/268	0.00018826930725618176	0.0058799073525192	SMAD4;TP53;TGFBR2
0	Reactome_Pathways_2024	TGF-beta Receptor Signaling Activates SMADs	2/47	0.0001925496350829552	0.0058799073525192	SMAD4;TGFBR2
0	GO_Biological_Process_2021	positive regulation of reactive oxygen species metabolic process (GO:2000379)	2/49	0.00020937355557931883	0.0080101511396602	TP53;TGFBR2
0	Reactome_Pathways_2024	Signaling by TGFBR3	2/49	0.00020937355557931883	0.0058799073525192	SMAD4;TGFBR2
0	GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	4/764	0.00022826855579342732	0.0080101511396602	CDK6;KRAS;TP53;TGFBR2
0	KEGG_2021_Human	MAPK signaling pathway	3/294	0.000247338483035131	0.0009069077711288136	KRAS;TP53;TGFBR2
0	GO_Biological_Process_2021	regulation of reactive oxygen species metabolic process (GO:2000377)	2/57	0.0002836202452128778	0.0091231178876809	TP53;TGFBR2
0	KEGG_2021_Human	MicroRNAs in cancer	3/310	0.00028906119277428467	0.0010095285701949	CDK6;KRAS;TP53
0	Reactome_Pathways_2024	Signal Transduction	6/2613	0.00029158541358699426	0.0075587911060628	RNF43;SMAD4;KRAS;JAK3;TP53;TGFBR2
0	KEGG_2021_Human	Endometrial cancer	2/58	0.00029368103860218163	0.0010095285701949	KRAS;TP53
0	KEGG_2021_Human	Human papillomavirus infection	3/331	0.0003504197373356099	0.0011680657911186	CDK6;KRAS;TP53
0	KEGG_2021_Human	Mitophagy	2/68	0.0004037790020616498	0.0013063438301994	KRAS;TP53
0	KEGG_2021_Human	Central carbon metabolism in cancer	2/70	0.0004278627753505501	0.0013447115796731	KRAS;TP53
0	KEGG_2021_Human	Adherens junction	2/71	0.0004401618893536392	0.0013449391063583	SMAD4;TGFBR2
