Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
CDKN2B	CDKN2A	3	CNA,MUT,SV
DNMT1	SMARCA4	3	CNA,MUT,SV
RICTOR	JAK2	2	CNA,MUT
MYC	KRAS	2	CNA,MUT
RECQL4	CCND2	2	CNA,MUT
CDK8	FLT1	2	CNA,MUT
CDKN2B	KRAS	2	CNA,MUT
CDK12	FGFR1	2	CNA,MUT
CDK12	ERBB2	2	CNA,MUT
KMT2D	INSR	2	CNA,MUT
CCNE1	PTPRD	2	CNA,MUT
BCOR	RBM10	2	CNA,MUT
PTPRD	TEK	2	CNA,MUT
CDKN2Ap16INK4A	KRAS	2	CNA,MUT
INSR	DNMT1	2	CNA,MUT
WHSC1L1	FGFR1	2	CNA,MUT
PTPRD	RICTOR	2	CNA,MUT
AMER1	RICTOR	2	CNA,MUT
NKX2-1	CDK12	2	CNA,MUT
RICTOR	NTRK1	2	CNA,MUT
CDKN2A	KRAS	2	CNA,MUT
ERBB2	RARA	2	CNA,MUT
DOT1L	SMARCA4	2	CNA,MUT
SMAD4	KRAS	2	CNA,MUT
KDM5C	ATRX	2	CNA,MUT
SMAD4	SMAD2	2	CNA,MUT
BRCA2	FLT1	2	CNA,MUT
AKT2	AXL	2	CNA,MUT
MYC	TP53	2	CNA,MUT
AKT2	WHSC1L1	2	CNA,MUT
DOT1L	DNMT1	2	CNA,MUT
AR	RBM10	2	CNA,MUT
SMAD4	TEK	2	CNA,MUT
RECQL4	FLCN	2	CNA,MUT
CDKN2Ap16INK4A	CDKN2Ap14ARF	2	CNA,SV
AXL	CCNE1	2	CNA,MUT
AKT2	KDM5A	2	CNA,MUT
KDM6A	TEK	2	CNA,MUT
NOTCH3	DDR2	2	CNA,MUT
RECQL	PIK3C2G	2	CNA,MUT
BRCA2	NKX2-1	2	CNA,MUT
CDKN2Ap16INK4A	CDKN2A	2	CNA,MUT
CDKN2A	KDM6A	2	CNA,MUT
PPM1D	CD79B	2	CNA,MUT
DOT1L	NTRK3	2	MUT,SV
DOT1L	INSR	2	CNA,MUT
RICTOR	DDR2	2	CNA,MUT
AMER1	RBM10	2	CNA,MUT
BRCA2	CDK8	2	CNA,MUT
CCNE1	WHSC1L1	2	CNA,MUT
KDM5C	EP300	2	CNA,MUT
FGFR1	PBRM1	2	CNA,MUT
DOT1L	GNA11	2	CNA,MUT
ARID1A	FAT1	2	CNA,MUT
AR	KDM5C	2	CNA,MUT
INSR	SMARCA4	2	CNA,MUT
RICTOR	SDHA	2	CNA,MUT
TP53	CDKN2A	2	CNA,MUT
RICTOR	NOTCH3	2	CNA,MUT
PREX2	PRDM14	2	CNA,MUT
KDM5A	CDKN1B	2	CNA,MUT
RB1	BRCA2	2	CNA,MUT
AKT2	CCNE1	2	CNA,MUT
BRCA2	JAK2	2	CNA,MUT
NOTCH3	BRD4	2	CNA,MUT
AMER1	PTPRD	2	CNA,MUT
SMAD4	CDKN2A	2	CNA,MUT
AMER1	BCOR	2	CNA,MUT
CCNE1	KDM5A	2	CNA,MUT
CCNE1	AMER1	2	CNA,MUT
CDKN2A	TEK	2	CNA,MUT
KMT2C	CDKN2A	1	MUT
DOT1L	EP300	1	MUT
CDKN2Ap14ARF	TEK	1	CNA
AMER1	ZFHX3	1	MUT
KMT2D	RPTOR	1	MUT
RNF43	PIK3CA	1	MUT
BCL2	CDKN2B	1	CNA
SMAD4	MALT1	1	CNA
ARID2	TET2	1	MUT
RICTOR	DROSHA	1	CNA
KMT2D	ARID1B	1	MUT
CRKL	SMARCB1	1	CNA
PREX2	SMAD4	1	MUT
NTRK3	ATM	1	MUT
BRCA2	NOTCH1	1	MUT
BCOR	NTRK3	1	MUT
CDKN2Ap16INK4A	HIST1H3E	1	CNA
TSC2	EP300	1	MUT
KDM5A	CDK12	1	MUT
MSH2	ATM	1	MUT
ANKRD11	APC	1	MUT
KMT2D	INPP4A	1	MUT
CDKN1B	RAD52	1	CNA
RNF43	GNAS	1	MUT
CRLF2	KDM6A	1	CNA
RICTOR	MCL1	1	CNA
KDM5C	MEN1	1	MUT
AKT2	ARID5B	1	CNA
CCND1	FGF4	1	CNA
ATM	AXIN2	1	MUT
ZFHX3	BRAF	1	MUT
TERT	TRIP13	1	CNA
EIF1AX	ZRSR2	1	CNA
BCL2	PMAIP1	1	CNA
CDKN2Ap16INK4A	BCL2	1	CNA
AMER1	AXIN1	1	MUT
DROSHA	SDHA	1	CNA
RBM10	NOTCH2	1	MUT
CDKN2Ap14ARF	CDKN2A	1	CNA
PRDM14	RECQL	1	MUT
TP53	U2AF1	1	MUT
RNF43	JAK3	1	MUT
PTPRS	TGFBR2	1	MUT
CDKN2B	RYBP	1	CNA
ZFHX3	GNAS	1	MUT
RB1	FGFR3	1	MUT
PPM1D	PIK3CA	1	MUT
DOT1L	NOTCH1	1	MUT
EP300	RARA	1	MUT
MCL1	HIST2H3D	1	CNA
TERT	IL7R	1	CNA
HIST1H2BD	HIST1H3D	1	CNA
ATM	TSC1	1	MUT
CDKN2B	XIAP	1	CNA
CDKN2B	HIST1H3C	1	CNA
MYC	RECQL4	1	CNA
EPHA7	NOTCH3	1	MUT
ZFHX3	KMT2D	1	MUT
CARM1	SMARCA4	1	CNA
ANKRD11	INPPL1	1	MUT
ARID1A	BRCA2	1	MUT
FGFR1	NSD3	1	CNA
ZFHX3	EPHA7	1	MUT
ZFHX3	CSF1R	1	MUT
TSC2	POLE	1	MUT
ATRX	TSC2	1	MUT
MALT1	PMAIP1	1	CNA
ZFHX3	EP300	1	MUT
HIST1H2BD	HIST1H3F	1	CNA
FOXA1	NFKBIA	1	CNA
RICTOR	ZFHX3	1	MUT
CCND1	MCL1	1	CNA
PRDM14	CREBBP	1	MUT
KMT2C	CDK12	1	MUT
BCOR	IGF1R	1	MUT
WHSC1L1	BRCA2	1	MUT
MCL1	HIST2H3C	1	CNA
HIST1H3E	HIST1H2BD	1	CNA
H3F3C	RECQL	1	CNA
PTPRS	KMT2A	1	MUT
MALT1	SMAD2	1	CNA
ELF3	IL10	1	CNA
CDKN2Ap14ARF	CDKN2B	1	CNA
KMT2D	PIK3CD	1	MUT
RECQL4	RB1	1	CNA
NTRK3	NOTCH1	1	MUT
ZFHX3	KDM5C	1	MUT
TSC2	PTPRT	1	MUT
MYC	RAD21	1	CNA
EPHA7	INPPL1	1	MUT
NOTCH1	PGR	1	MUT
BCOR	NOTCH3	1	MUT
GNAS	RTEL1	1	CNA
FGFR3	WHSC1	1	CNA
HIST1H3E	HIST1H3F	1	CNA
INSR	TSC2	1	MUT
RAD50	CDKN2Ap16INK4A	1	CNA
BRCA2	CREBBP	1	MUT
ERF	NOTCH1	1	MUT
PREX2	FLT4	1	MUT
GNAS	ERG	1	MUT
EPHA7	SPEN	1	MUT
EPHA7	KMT2D	1	MUT
CDK12	RET	1	MUT
CCNE1	KMT2B	1	CNA
IKBKE	IL10	1	CNA
ZFHX3	FAT1	1	MUT
CCND2	ETV6	1	CNA
