Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	MEN1	3	809	35	99	1.699589412013554e-28	-6.574959788574178	1.3205809731345314e-25
KRAS	DAXX	3	809	18	116	1.7102382368015452e-13	-5.386977398023562	6.644275549974003e-11
KRAS	BRAF	4	808	16	118	3.42097006357757e-11	-4.775568433389954	8.860312464665906e-09
KRAS	ATRX	3	809	12	122	1.303967456489338e-08	-4.729258554867092	2.532956784230539e-06
KRAS	TSC2	11	801	15	119	1.738296942610777e-07	-3.198299646071988	2.7013134488171478e-05
KRAS	SND1	0	812	4	130	0.0003872532170164121	-10.0	0.05014929160362537
KRAS	PTEN	8	804	8	126	0.0006299271762173244	-2.6737717676790123	0.06992191656012302
KRAS	IRS2	3	809	5	129	0.0020820892722227817	-3.3857342311729295	0.20222292056463767
KRAS	VHL	0	812	3	131	0.0027876319362326457	-10.0	0.24066555716141844
KRAS	NF2	2	810	4	130	0.0045994396197326535	-3.6394102847435326	0.3573764584532272
KRAS	MET	7	805	6	128	0.005302522796189425	-2.4304525516655313	0.3745509284217439
KRAS	HIST2H3D	1	811	3	131	0.009988768093881347	-4.215097603400979	0.5970209853035237
KRAS	HIST2H3C	1	811	3	131	0.009988768093881347	-4.215097603400979	0.5970209853035237
KRAS	PRKD1	6	806	5	129	0.01199215886427566	-2.3803743672709192	0.6655648169672992
KRAS	WHSC1	13	799	7	127	0.015267295704984607	-1.760282210072323	0.6734830611473687
KRAS	CTNNB1	4	808	4	130	0.01703306464500558	-2.6358436697233403	0.6734830611473687
KRAS	IGF1R	4	808	4	130	0.01703306464500558	-2.6358436697233403	0.6734830611473687
KRAS	KDM5C	7	805	5	129	0.01825280023460886	-2.1561908904084834	0.6734830611473687
KRAS	H3F3A	0	812	2	132	0.019935792028815288	-10.0	0.6734830611473687
KRAS	ZNRF3	0	812	2	132	0.019935792028815288	-10.0	0.6734830611473687
KRAS	NRG1	0	812	2	132	0.019935792028815288	-10.0	0.6734830611473687
KRAS	HIST3H3	0	812	2	132	0.019935792028815288	-10.0	0.6734830611473687
KRAS	CHEK2	0	812	2	132	0.019935792028815288	-10.0	0.6734830611473687
KRAS	TERT	11	801	6	128	0.023504603483908187	-1.771189314492569	0.7609615377915275
KRAS	CDKN1A	5	807	4	130	0.027336167503179156	-2.3121289553619633	0.7866741537026002
KRAS	SDHA	5	807	4	130	0.027336167503179156	-2.3121289553619633	0.7866741537026002
KRAS	NTRK1	5	807	4	130	0.027336167503179156	-2.3121289553619633	0.7866741537026002
KRAS	AXIN1	9	803	5	129	0.036421475017028755	-1.7900320155391103	1.0
KRAS	MST1R	3	809	3	131	0.04017691365445507	-2.626572890892527	1.0
KRAS	PARP1	3	809	3	131	0.04017691365445507	-2.626572890892527	1.0
KRAS	INPPL1	6	806	4	130	0.04064663282849302	-2.0473057147783567	1.0
KRAS	IL10	1	811	2	132	0.05423211221398057	-3.6191639848588193	1.0
KRAS	SMO	1	811	2	132	0.05423211221398057	-3.6191639848588193	1.0
KRAS	MDM4	1	811	2	132	0.05423211221398057	-3.6191639848588193	1.0
KRAS	PTCH1	1	811	2	132	0.05423211221398057	-3.6191639848588193	1.0
KRAS	NOTCH4	4	808	3	131	0.06314141617633576	-2.2097509819355006	1.0
KRAS	NF1	4	808	3	131	0.06314141617633576	-2.2097509819355006	1.0
KRAS	RAF1	4	808	3	131	0.06314141617633576	-2.2097509819355006	1.0
KRAS	KMT2A	8	804	4	130	0.07640452680905	-1.628683878150474	1.0
KRAS	CD79B	5	807	3	131	0.09080642709513383	-1.886036267574124	1.0
KRAS	SMARCB1	5	807	3	131	0.09080642709513383	-1.886036267574124	1.0
KRAS	IKBKE	5	807	3	131	0.09080642709513383	-1.886036267574124	1.0
KRAS	FOXP1	5	807	3	131	0.09080642709513383	-1.886036267574124	1.0
KRAS	TSC1	5	807	3	131	0.09080642709513383	-1.886036267574124	1.0
KRAS	FGFR2	5	807	3	131	0.09080642709513383	-1.886036267574124	1.0
KRAS	IRS1	5	807	3	131	0.09080642709513383	-1.886036267574124	1.0
KRAS	MCL1	5	807	3	131	0.09080642709513383	-1.886036267574124	1.0
KRAS	NRAS	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	FH	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	ETV1	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	TP53BP1	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	INPP4B	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	CD79A	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	GNB1	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	EZH1	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	CARD11	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	IDH1	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	CUL3	2	810	2	132	0.09847545633407978	-2.6173839784135335	1.0
KRAS	CDK12	9	803	4	130	0.09865243933146287	-1.4569633630465475	1.0
KRAS	CREBBP	9	803	4	130	0.09865243933146287	-1.4569633630465475	1.0
KRAS	BCOR	18	794	6	128	0.11063320639323013	-1.0480326964218016	1.0
KRAS	NKX2-1	6	806	3	131	0.12254155689111121	-1.621213026990517	1.0
KRAS	PPM1D	6	806	3	131	0.12254155689111121	-1.621213026990517	1.0
KRAS	AKT3	6	806	3	131	0.12254155689111121	-1.621213026990517	1.0
KRAS	EPHA7	6	806	3	131	0.12254155689111121	-1.621213026990517	1.0
KRAS	FAT1	10	802	4	130	0.1235448250572365	-1.3031625185391034	1.0
KRAS	PHC2	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	P2RX5	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	CDKN2C	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	ZZZ3	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	NCOA4	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	FOXL2	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	GIPC2	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	GNAQ	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	GOPC	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	GPR128	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	HACL1	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	HRAS	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	NFIA	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	KANK1	0	812	1	133	0.1416490486257928	-10.0	1.0
KRAS	DNM2	0	812	1	133	0.1416490486257928	-10.0	1.0
