Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
AGO2	3	0	3	0	0.0	0.0	0.1609	0
MYC	6	1	5	0	0.2778	0.0362	0.1788	0
RAD21	3	0	3	0	0.0	0.0	0.1609	0
RECQL4	8	2	6	0	0.375	0.0474	0.1838	0
AKT2	8	1	7	0	0.2188	0.047	0.1774	0
ARID5B	1	0	1	0	0.0	0.0	0.1451	0
AXL	3	0	3	0	0.0	0.0	0.1603	0
CCNE1	5	0	5	0	0.0	0.0369	0.1876	0
CEBPA	4	0	4	0	0.0	0.0	0.1606	0
ERCC2	1	0	1	0	0.0	0.0	0.1451	0
KMT2B	3	0	3	0	0.0	0.0	0.1603	0
PAX5	1	0	1	0	0.0	0.0	0.1451	0
TP53	6	4	2	0	0.4444	0.0629	0.2003	0
AMER1	5	1	4	0	0.32	0.0629	0.2249	0
AR	5	2	3	0	0.48	0.0206	0.2043	0
BCOR	8	6	2	0	0.375	0.086	0.2454	0
PTPRD	3	0	3	0	0.0	0.0412	0.2057	0
ANKRD11	3	3	0	0	0.0	0.0416	0.2179	0
KMT2D	10	9	1	0	0.18	0.1209	0.2422	0
PREX2	4	4	0	0	0.0	0.0341	0.2139	0
SMAD4	16	6	10	0	0.4688	0.0817	0.219	0
KDM5C	6	4	2	0	0.4444	0.0321	0.2021	0
RBM10	9	7	2	0	0.3457	0.0383	0.2104	0
ARID1A	6	5	1	0	0.2778	0.0177	0.2048	0
BRCA2	17	12	5	0	0.4152	0.1479	0.2428	0
FAT1	2	1	1	0	0.5	0.0	0.1629	0
NTRK3	5	4	0	1	0.32	0.0074	0.2071	0
RPTOR	2	2	0	0	0.0	0.0082	0.2012	0
ARID1B	1	1	0	0	0.0	0.0	0.1857	0
ATM	4	4	0	0	0.0	0.0153	0.1994	0
INSR	10	7	3	0	0.42	0.0828	0.2467	0
PALB2	1	1	0	0	0.0	0.0	0.1595	0
AXIN1	2	2	0	0	0.0	0.0105	0.1903	0
BRAF	4	3	0	1	0.375	0.0239	0.1734	0
BCL2	8	0	8	0	0.0	0.0053	0.1827	0
CDKN2Ap14ARF	16	0	15	1	0.1172	0.0315	0.2066	0
CDKN2Ap16INK4A	18	2	15	1	0.2901	0.0684	0.2129	0
CDKN2B	16	2	13	1	0.3203	0.0258	0.2057	0
MALT1	8	0	8	0	0.0	0.0053	0.1827	0
PIK3C3	4	0	4	0	0.0	0.0	0.1493	0
PMAIP1	5	0	5	0	0.0	0.0014	0.1734	0
SMAD2	6	1	5	0	0.2778	0.0014	0.1734	0
CSF1R	1	1	0	0	0.0	0.0	0.1876	0
RNF43	6	6	0	0	0.0	0.1152	0.2501	0
SND1	1	0	0	1	0.0	0.0	0.1424	0
TERT	4	1	3	0	0.375	0.0154	0.1578	0
BRCA1	2	2	0	0	0.0	0.0107	0.1864	0
KMT2C	1	1	0	0	0.0	0.0	0.1511	0
FLT3	2	0	2	0	0.0	0.0053	0.1927	0
FOXO1	2	0	2	0	0.0	0.0	0.1872	0
JAK2	5	3	2	0	0.48	0.0282	0.1973	0
NKX2-1	4	1	3	0	0.375	0.0213	0.1876	0
POLD1	2	2	0	0	0.0	0.0	0.2095	0
RB1	6	4	2	0	0.4444	0.0217	0.1919	0
TSC2	5	5	0	0	0.0	0.0174	0.2109	0
ZFHX3	7	7	0	0	0.0	0.0884	0.2481	0
BRIP1	1	0	1	0	0.0	0.0	0.0068	0
PPM1D	1	0	1	0	0.0	0.0	0.0068	0
CARM1	1	0	1	0	0.0	0.0	0.1578	0
SMARCA4	7	4	3	0	0.4898	0.0297	0.1969	0
CCND1	4	0	4	0	0.0	0.0001	0.0272	0
FGF19	4	0	4	0	0.0	0.0001	0.0272	0
FGF3	3	0	3	0	0.0	0.0	0.0218	0
FGF4	3	0	3	0	0.0	0.0	0.0218	0
MCL1	2	0	2	0	0.0	0.0	0.0181	0
CCND2	8	3	5	0	0.4688	0.0673	0.2095	0
CDKN1B	4	0	4	0	0.0	0.0	0.1689	0
ETV6	4	0	4	0	0.0	0.0	0.1689	0
KDM5A	5	1	4	0	0.32	0.0134	0.1948	0
RAD52	4	0	4	0	0.0	0.0	0.1689	0
CCND3	1	0	1	0	0.0	0.0	0.0068	0
VEGFA	1	0	1	0	0.0	0.0	0.0068	0
CDK12	4	3	1	0	0.375	0.0163	0.196	0
ERBB2	5	3	2	0	0.48	0.0058	0.1853	0
RET	1	1	0	0	0.0	0.0	0.1573	0
CDK4	2	0	2	0	0.0	0.0	0.0136	0
ERBB3	2	0	2	0	0.0	0.0	0.0136	0
GLI1	2	0	2	0	0.0	0.0	0.0136	0
CDKN2A	18	7	10	1	0.537	0.0287	0.209	0
CRLF2	2	0	2	0	0.0	0.0	0.1658	0
KDM6A	8	4	4	0	0.5	0.0048	0.1969	0
KRAS	12	7	5	0	0.4861	0.1054	0.2347	0
MTAP	6	0	6	0	0.0	0.0004	0.1876	0
TEK	8	2	6	0	0.375	0.0002	0.175	0
HIST1H3C	3	0	3	0	0.0	0.0	0.1689	0
HIST1H3E	7	0	7	0	0.0	0.0417	0.1714	0
RYBP	3	0	3	0	0.0	0.0	0.1689	0
STAG2	2	0	2	0	0.0	0.0	0.1686	0
XIAP	3	0	3	0	0.0	0.0	0.1689	0
CRKL	2	0	2	0	0.0	0.0	0.0136	0
LZTR1	2	0	2	0	0.0	0.0	0.0136	0
MAPK1	2	0	2	0	0.0	0.0	0.0136	0
CSF3R	1	0	1	0	0.0	0.0	0.0068	0
STK40	1	0	1	0	0.0	0.0	0.0068	0
CTNNB1	1	1	0	0	0.0	0.0	0.0068	0
ROS1	1	1	0	0	0.0	0.0	0.0068	0
DNMT1	4	2	2	0	0.5	0.0017	0.1956	0
DOT1L	12	8	3	1	0.4861	0.0564	0.2317	0
EP300	10	9	1	0	0.18	0.0783	0.2195	0
GNA11	2	1	1	0	0.5	0.0	0.1795	0
NOTCH1	1	1	0	0	0.0	0.0	0.1795	0
NOTCH3	6	6	0	0	0.0	0.0526	0.2306	0
EIF1AX	1	0	1	0	0.0	0.0	0.0068	0
ZRSR2	1	0	1	0	0.0	0.0	0.0068	0
ELF3	1	0	1	0	0.0	0.0	0.1493	0
GNAS	4	3	1	0	0.375	0.0319	0.174	0
LATS2	2	2	0	0	0.0	0.0	0.1969	0
PTPRT	2	2	0	0	0.0	0.0	0.1831	0
RARA	3	2	1	0	0.4444	0.0	0.1754	0
ERF	1	1	0	0	0.0	0.0	0.1581	0
ERG	1	1	0	0	0.0	0.0	0.1428	0
FGFR1	2	0	2	0	0.0	0.0001	0.0136	0
NSD3	1	0	1	0	0.0	0.0	0.0091	0
WHSC1L1	1	0	1	0	0.0	0.0	0.0091	0
FGFR3	1	0	1	0	0.0	0.0	0.0068	0
WHSC1	1	0	1	0	0.0	0.0	0.0068	0
FLCN	2	1	1	0	0.5	0.0	0.1493	0
FLT1	2	1	1	0	0.5	0.0019	0.1744	0
FOXA1	1	0	1	0	0.0	0.0	0.1518	0
PIK3CA	1	1	0	0	0.0	0.0	0.1428	0
RTEL1	1	0	1	0	0.0	0.0	0.1428	0
H3F3C	1	0	1	0	0.0	0.0	0.0091	0
RECQL	2	0	2	0	0.0	0.0001	0.0136	0
HIST1H2BD	4	0	4	0	0.0	0.0	0.1417	0
HIST1H3D	4	0	4	0	0.0	0.0	0.1417	0
HIST1H3F	4	0	4	0	0.0	0.0	0.1417	0
HIST1H3G	4	0	4	0	0.0	0.0	0.1417	0
IL7R	2	0	2	0	0.0	0.0189	0.1747	0
RICTOR	5	1	4	0	0.32	0.0285	0.1813	0
INPP4A	1	1	0	0	0.0	0.0	0.1857	0
INPPL1	1	1	0	0	0.0	0.0	0.1788	0
JAK3	1	1	0	0	0.0	0.0	0.1903	0
PIK3CD	3	3	0	0	0.0	0.0095	0.2169	0
LATS1	1	1	0	0	0.0	0.0	0.1546	0
MGA	1	1	0	0	0.0	0.0	0.1546	0
NBN	1	0	1	0	0.0	0.0	0.146	0
NFKBIA	1	0	1	0	0.0	0.0	0.1518	0
NOTCH2	1	1	0	0	0.0	0.0	0.1664	0
NOTCH4	1	0	1	0	0.0	0.0	0.0068	0
STK19	1	0	1	0	0.0	0.0	0.0068	0
PIK3C2G	1	0	1	0	0.0	0.0	0.0091	0
TET1	1	1	0	0	0.0	0.0	0.1686	0
PTPRS	1	1	0	0	0.0	0.0	0.1541	0
TGFBR2	2	2	0	0	0.0	0.0107	0.1911	0
SETD2	1	1	0	0	0.0	0.0	0.1664	0
SRC	1	1	0	0	0.0	0.0	0.1664	0
SDHA	2	0	2	0	0.0	0.0	0.1516	0
TRIP13	1	0	1	0	0.0	0.0	0.1317	0
