Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	FLT1	0	22	97	1857	0.32842475651519615	-10.0	1.0
KRAS	CDK8	0	22	76	1878	0.4199722292480199	-10.0	1.0
KRAS	RECQL4	0	22	63	1891	0.48835116628007347	-10.0	1.0
KRAS	SMAD4	0	22	58	1896	0.5173803061092578	-10.0	1.0
KRAS	AGO2	0	22	57	1897	0.523380499432612	-10.0	1.0
KRAS	LATS2	0	22	55	1899	0.5355807486906736	-10.0	1.0
KRAS	BRCA2	0	22	39	1915	0.6434416932845118	-10.0	1.0
KRAS	RTEL1	1	21	108	1846	0.65526893760159	-0.2970180872964546	1.0
KRAS	FLT3	1	21	105	1849	0.6677999462700166	-0.254033431040687	1.0
KRAS	RARA	0	22	33	1921	0.6890016835882785	-10.0	1.0
KRAS	SRC	1	21	95	1859	0.7098531657496878	-0.10186197619022651	1.0
KRAS	EGFR	0	22	29	1925	0.7210684069480365	-10.0	1.0
KRAS	WHSC1L1	0	22	29	1925	0.7210684069480365	-10.0	1.0
KRAS	MYC	1	21	86	1868	0.7477893277959877	0.048696562228803635	1.0
KRAS	FOXO1	0	22	25	1929	0.7545567099692947	-10.0	1.0
KRAS	CDKN2Ap14ARF	0	22	24	1930	0.7631578745388928	-10.0	1.0
KRAS	CDKN2B	0	22	24	1930	0.7631578745388928	-10.0	1.0
KRAS	CDKN2A	0	22	24	1930	0.7631578745388928	-10.0	1.0
KRAS	CDKN2Ap16INK4A	0	22	23	1931	0.7718525784435306	-10.0	1.0
KRAS	GNAS	1	21	78	1876	0.7812567965708725	0.1957244708743678	1.0
KRAS	NCOA3	1	21	78	1876	0.7812567965708725	0.1957244708743678	1.0
KRAS	TOP1	1	21	74	1880	0.7977976751825082	0.2747461581572896	1.0
KRAS	RAD21	0	22	20	1934	0.7985076570064977	-10.0	1.0
KRAS	PTPRT	1	21	73	1881	0.8019054153121691	0.29514215186441756	1.0
KRAS	SOX17	0	22	19	1935	0.8075862970344785	-10.0	1.0
KRAS	SMAD3	0	22	18	1936	0.816763414046234	-10.0	1.0
KRAS	RB1	0	22	18	1936	0.816763414046234	-10.0	1.0
KRAS	AURKA	1	21	69	1885	0.8182043242893294	0.3795069285990974	1.0
KRAS	AKT2	0	22	16	1938	0.8354171561857122	-10.0	1.0
KRAS	FGFR1	1	21	64	1890	0.838221862320091	0.4918530963296747	1.0
KRAS	CYLD	0	22	15	1939	0.8448958449098409	-10.0	1.0
KRAS	CYSLTR2	0	22	14	1940	0.8544771379964473	-10.0	1.0
KRAS	ERBB2	1	21	58	1896	0.8615811771183362	0.6384448309919268	1.0
KRAS	VEGFA	0	22	13	1941	0.8641620926774993	-10.0	1.0
KRAS	PAK7	0	22	12	1942	0.8739517765286348	-10.0	1.0
KRAS	MAP2K4	0	22	12	1942	0.8739517765286348	-10.0	1.0
